,Type,i,Proposed ID,Tracefinder ID,Lipid Class,m/z,RT [min],Area (Max.),Score,Adduct,Polarity,1076_10_FBG,1062_8_FBG,1093_9_FBG,1060_8_RBG,1091_10_FBG,1092_9_RBG,1093_10_RBG,1082_10_FBG,1060_9_RBG,1101_9_FBG,1062_10_RBG,1091_8_RBG,1074_10_FBG,1101_10_RBG,1076_9_FBG,1092_9_FBG,1074_8_FBG,1091_10_RBG,1082_9_FBG,1076_8_RBG,1060_8_FBG,1093_9_RBG,1060_10_FBG,1082_10_RBG,1074_9_RBG,1091_9_RBG,1101_10_FBG,1093_8_FBG,1074_8_RBG,1102_10_RBG,1062_9_FBG,1076_9_RBG,1092_8_FBG,1062_10_FBG,1102_8_RBG,1074_10_RBG,1060_9_FBG,1082_9_RBG,1076_10_RBG,1091_9_FBG,1102_9_FBG,1102_9_RBG,1093_10_FBG,1101_8_FBG,1102_8_FBG,1082_8_FBG,1060_10_RBG,1076_8_FBG,1101_9_RBG,1091_8_FBG,1092_10_FBG,1082_8_RBG,1062_8_RBG,1102_10_FBG,1093_8_RBG,1074_9_FBG,1062_9_RBG,1101_8_RBG,1092_8_RBG,1092_10_RBG
Plasmenyl-PE_P-34:1_702.54333_10.19,lipid,l_510,Plasmenyl-PE P-34:1,,Plasmenyl-PE,702.54333,10.19,21.29871999924923,,,+,18.432246659066493,19.653847205230143,19.81732541587165,20.396837908652646,19.65394321048673,19.85054767055887,20.141102805668837,19.698954419709768,20.32460744029339,20.17708024330748,20.280485204986473,19.93939508304578,19.841263041998516,21.180496111852122,20.22053289794239,19.607251330316064,20.113316579032556,19.51100852907843,19.700346152365007,20.081194178412947,19.424881087003584,19.970981406408313,19.821699206426487,20.309776680081118,20.807897248352994,19.84108910120381,19.43928608375329,19.52400698005088,19.996558962129118,20.19829380441635,19.568154904052374,20.015818203222512,19.5878560657747,19.61672273168953,20.633158640763334,19.977362586683366,20.287550294799246,19.752796643386706,19.982344793865217,20.569252036345592,19.318455957064373,20.09684505681824,19.198966385806997,19.766210518435305,19.403281546156467,19.367396011772726,19.87158249511594,20.092972653883816,20.68233148088,19.690166336846847,19.812370156666383,20.237734255634763,20.353028754773547,19.609440993045254,20.065040012540116,19.341245349220763,20.16994896805029,20.284399551599897,20.05430421444975,19.773155829655085
unknown_848.27216_10.191,lipid,l_511,unknown,,unknown,848.27216,10.191,22.08790787503368,,,+,20.140827867720496,19.954412852164392,17.873841437560117,22.05949321002017,17.985753850250756,17.901292101637615,17.54334357501234,19.69657599087744,20.959228645167368,17.61390240014565,20.59040486548782,17.718883353683054,19.89701728686688,18.350792854918605,21.047175905766473,18.158486525074075,19.613242878182657,17.8202126217021,20.865870198996692,21.655767921733773,20.56187978827981,17.731623986004294,21.239131513313446,20.165428920724842,19.712216789813375,18.006595475118484,18.012351080208713,17.923111939063382,20.55980493434089,18.11289616302731,20.51440498720024,20.74559454387387,17.32075529588854,20.905342919597352,18.212884752249757,20.523855107053286,21.141183596322094,19.786088986352453,20.42476742053353,18.949038510638353,16.97840864471414,17.060570119866338,18.769951413212116,17.7125213688951,18.51933508882739,20.592805746065824,20.197151262760563,21.074058315939578,18.76009831473098,18.713830177703343,17.84619166064318,21.06696533479848,21.368918030640405,18.16493235516673,18.717093241632703,20.691515534025662,19.886799671869948,17.71983503034859,17.449505924936716,17.7721289935167
unknown_889.29828_10.192,lipid,l_512,unknown,,unknown,889.29828,10.192,21.150821710334757,,,+,19.34417720104946,19.334967640266715,16.97570615711765,21.123612546068962,17.334205519235656,16.28089733003531,17.027455370331165,19.147916339488045,20.19104477480571,16.77655762504664,19.83949917090566,17.165305064635763,19.17650049575952,17.442013579147574,20.259623898881163,17.474742889351884,18.86834080337976,16.275962929244745,20.168707252939363,20.701886227716713,19.834074615780857,16.653170219036213,20.597728828220756,19.411199911529234,19.049116451263217,17.049700068999808,17.018395684729466,16.71837154866684,19.867480515582745,16.489504339290743,19.66777735740293,19.738970794401794,16.370426811286507,20.18539474417869,16.53324384201691,19.775945455925683,20.338930359889307,18.812519916048416,19.58232785677187,18.167972222981582,16.03356667701408,16.236836714958724,18.05800901086814,16.786126549375943,17.692654709508695,19.910618153512786,19.475613408152977,20.2597248150601,18.00884578187684,17.781405463177926,17.09603178373055,20.259115565350182,20.477346042029062,17.00722915406857,17.904953928673617,20.086982157819303,19.176564997519097,16.30649410553206,16.287385811356486,17.057560518945728
Plasmanyl-PC_O-38:3_798.6405_10.258,lipid,l_513,Plasmanyl-PC O-38:3,,Plasmanyl-PC,798.6405,10.258,20.87550831501045,,,+,17.715655449324107,18.408345478061833,18.279896617159903,19.736206863838547,18.75532438251118,20.088140786589744,19.5733318247561,19.10272208164557,20.238244433871632,19.18945677576657,20.369202819519963,19.485925226789202,18.490818397737,20.510274915163524,18.958083926991563,18.59876697767296,19.230241736778552,18.875553178073336,18.38972075793158,19.728062266953568,18.078680746211088,19.804645890778072,18.91396777722278,19.863965725864475,20.03106693145165,19.798183367238057,19.022500472167394,18.307112894589764,19.081506137874733,20.14966521236189,18.232967685972408,19.819519269977942,18.819122018707116,19.052581394806403,20.575144531303028,20.230471751826965,18.578619057638402,19.934051379976154,19.94239512229992,20.16090431959057,18.970233063098217,20.134224002909527,18.477659888853463,18.646937067435115,18.86725044548028,18.632788497555502,19.743917893538963,18.566665314820337,20.32233100685217,18.330932014135076,18.82776184821263,19.54270814703473,19.92460298347313,19.076337541421957,19.865394953475864,18.518702568617652,20.021349940608363,20.0765757734864,19.776504832598853,19.501028516985052
Plasmanyl-PE_O-18:0_22:5_778.57715_10.282,lipid,l_514,Plasmanyl-PE O-18:0_22:5,,Plasmanyl-PE,778.57715,10.282,20.268709380833716,,,-,15.373336163945618,16.354355323008566,17.40935794916651,18.604366065916782,17.541907783225035,19.318953282082067,18.423311764170666,18.090308999955546,19.11866149618899,18.737364872040487,19.8580013631719,18.66414453347418,17.46581374904145,19.7387090474697,17.735770594292504,17.833274746750465,18.073259472822073,18.01859899404075,16.940461469446294,18.572163086618826,16.57636167760064,18.61749333731828,17.392482430019758,18.800803633228714,19.0560127559259,18.98580058243375,17.64964587316952,17.100883267918814,18.23087030916996,19.091958979244925,17.18852083848356,19.47299053011296,17.952104444795086,18.199660055282287,19.682303830793455,19.331972224605856,17.81575409103016,18.142745968819536,18.72348555137804,19.79963062221624,17.777109838457093,19.009029734983162,17.446337441909073,17.00753034450136,17.8000622940487,17.649450934355492,18.799141204112562,17.509693652829398,19.859417159598355,17.030867915006517,17.54537235107658,18.60606607973767,19.082387299381935,18.627124744059216,18.98640798597488,17.311934789265464,19.659794269736835,18.825974132171368,19.008709045594596,18.322378619290266
Plasmanyl-PE_O-18:0_20:4_752.56122_10.308,lipid,l_515,Plasmanyl-PE O-18:0_20:4,,Plasmanyl-PE,752.56122,10.308,22.819072384106576,,,-,20.078454817884044,20.59378175557778,21.231025096583327,21.53267546821308,21.145746947318496,21.660398881953157,21.52850708139953,21.848899660543506,21.787038231997553,21.69212162017185,22.061312959113607,21.580128729251776,21.18350876153164,22.492364750561507,21.513222464876126,21.305437046991297,21.338106539667056,21.270233737274687,20.77837154795751,21.91733693011114,20.7399895708712,21.615732796506602,21.356418681648062,21.755120213261343,21.981263320953765,21.903261449136547,21.052120518999224,20.997811747156625,21.377897196196805,21.874815835636912,21.118659001910736,21.80029971032868,21.413849407823395,21.479566558161082,22.49074395164127,22.023178122612347,21.62402998239875,21.63779838584632,21.71842092359382,22.069573968783004,21.317512500662257,22.06502850385496,21.144688241417363,21.359176170240453,21.244605928747223,21.431933181838616,21.5061756095714,20.80472317253901,22.118252439373002,20.555332287940235,21.55922203013228,21.331151111543033,21.752005179707243,21.550465312046533,21.617433703315587,20.490729348067074,21.861910092610444,21.75936214275226,21.490611787508357,21.55791192980402
unknown_912.633_10.316,lipid,l_516,unknown,,unknown,912.633,10.316,20.957306091765176,,,-,17.880139595031054,17.444222028499844,17.671628967899547,19.63669838228207,18.003488109983824,19.842914159108652,19.260325319482824,18.41307742691997,20.229978007602348,18.60430296807652,20.09226563354639,19.62014606284474,18.448301926879488,20.3377854611743,18.66888847374095,18.355527243989105,19.085914418865265,19.24783057932386,18.0451526381413,19.82500906805334,17.59148070628871,19.287308082738942,18.341976849677103,20.16375204143373,19.989422812610435,19.621279827779496,18.425040704646914,17.716971978242533,19.0851136112054,20.258723110280616,18.150556167984497,19.966347271512422,18.143397775934773,18.830053690885755,20.366259681534732,19.94205492905933,18.635981138490244,19.829001618750986,19.790066017746337,19.862606263901142,18.36748791029868,20.145000902223888,18.245651314653994,18.19065049389775,18.427679214337484,18.04141166637413,19.993311121319476,18.173184470530618,20.53410882743817,18.028167480722136,18.316154460051575,19.48258692527885,19.9524001859509,19.187090898244044,19.601912520807726,18.071346281202405,20.05172586744898,20.157410792214485,19.5793506860004,19.20172583040471
Plasmanyl-PC_O-18:0_18:2_772.6228_10.317,lipid,l_517,Plasmanyl-PC O-18:0_18:2,,Plasmanyl-PC,772.6228,10.317,25.490631659752687,,,+,22.296806235145837,22.349640887737475,22.79335641621148,24.37279033083438,22.90011998027413,24.628675004310455,24.104328850137495,23.186900225940065,24.812008544239678,23.25393426419921,24.781933137690242,24.065164807641406,23.114092125863653,24.99596536606045,23.122038756050777,22.892350114021582,23.729304877340162,23.787906215079868,22.787823111748395,24.508658990247,22.277233628350622,24.177197988946165,23.18439448652017,24.678909966028435,24.589830636625575,24.122893242784475,23.16805878486012,22.449410479738404,23.840290810894313,24.859738962128155,22.73269176346171,24.4724717717847,22.755467611945576,23.424384254567887,24.949091817163055,24.389085399398073,23.077725847332676,24.393959641880596,24.338230967803327,24.60145320772854,22.959002411787797,24.5601464834131,22.55602477646556,22.651376189474334,22.94310719822389,22.53637162282134,24.346847324002386,22.76851615632766,24.975891571635472,22.457427264655283,22.813375204155122,24.057515208476655,24.347074447548337,23.531076144080327,24.2137230929889,22.615246574658,24.499181128578734,24.628149877273287,24.11713667234461,23.812492084900697
Plasmenyl-PE_P-18:0_18:2_728.56067_10.359,lipid,l_518,Plasmenyl-PE P-18:0_18:2,,Plasmenyl-PE,728.56067,10.359,23.80143925810137,,,+,20.174196512798574,20.515687581693562,21.134852577429303,22.535797624784188,21.164337115598727,22.621107795839947,22.101332724142363,21.5674425653619,23.0015194704113,21.865693489958886,22.751760969139923,22.138469841172615,21.51424600957432,23.480815299679033,21.706329604676263,21.27164815099839,22.11758167102626,21.560472476553326,21.118500346286286,22.75736349894408,21.045222701369084,22.34851401961806,21.519537269969728,22.731583010960275,22.946464066175913,21.976046754733012,21.56482604982961,21.068168123520024,21.721247248105286,22.938564501083412,20.89377615410134,22.474916204137823,21.172856575052258,21.441237481498327,23.190441464345966,22.569562309910772,21.72944156433101,22.531188354390856,22.559037355859168,22.74518687295117,21.363335387746755,22.77075838237117,20.900621266797177,21.164148270673884,21.182702168481395,20.967336786814702,22.448804218247258,21.497410044839324,23.320809546583643,20.909626550957544,21.224253326836177,22.28709691510125,22.77765768602289,21.80408030899961,22.578470658548856,21.143814256029074,22.857570720727306,22.80771645613375,22.29545448219033,21.897278139999116
Plasmanyl-PC_O-40:5_822.64026_10.39,lipid,l_519,Plasmanyl-PC O-40:5,,Plasmanyl-PC,822.64026,10.39,20.980367287986255,,,+,18.900065890724502,19.246484001873824,18.80509315465299,19.793035688114678,19.359380615309647,20.084107696919343,19.40500458902363,19.44882392170954,19.78162328170202,19.661333261127925,20.221493897490475,19.308341250155994,19.9587184371655,20.475309640450707,19.729395821676196,19.36613482026307,19.863432621931647,19.120535581820512,19.26029890868184,20.235662654157316,18.413586557024466,19.479152396607997,19.827353308243044,20.408913773070086,20.24032326668919,19.938613622494188,19.414026748863595,18.80943404702144,19.587215877816405,20.517311408284236,19.717687597347116,19.63184558940649,19.27959708836311,20.156476254236015,20.548411917043857,19.76955854194132,19.90132441403173,19.776635508370237,20.160131341907178,19.925276755654426,19.76723470120717,19.944500567494373,18.738227252549425,19.194033748252565,19.957632698744305,19.262191853041745,19.33851446589317,19.207223150441067,19.082696522673196,18.707791217133135,19.545810566284946,19.633651149178316,20.360471888265728,20.282368128899744,19.43975795047663,19.302909871183722,20.487751773404728,20.363114175615415,19.663941258491917,19.768352652283085
unknown_395.38995_10.406,lipid,l_520,unknown,,unknown,395.38995,10.406,22.719910848414813,,,-,20.285906898636288,20.71823433580024,21.10040935457571,21.481609859096274,21.147891983804165,21.383065047122138,21.287416166248132,21.184084277766985,21.282711889279128,21.209763544600843,21.416942274145843,21.26330391033306,20.981827268328214,21.681759872483326,21.467753121490894,21.1376356197379,21.182278762409094,21.06785329667754,20.778259193480793,21.924410398271576,21.011185231130874,21.406176089605392,21.0796524097682,21.79524457218949,21.421035167406668,21.36272794301186,20.893842842229496,21.148070868874587,21.110886934984226,21.25844503671675,20.944983036220187,21.404231657348145,21.257135790452597,21.589441136552153,21.592836167505517,21.47845672403081,21.331465981332954,21.470627955820984,21.29691597983331,21.494344373635982,21.04500303978765,21.524952112059612,21.28817548537477,21.278279391453076,22.29864437918499,21.497767993540638,21.34249979097067,21.511393639543787,21.729755421731003,20.927608516783028,21.128985319333815,21.338627023335068,21.578063741379747,21.358019207969487,21.372464150638635,21.180254860698934,21.33254510533027,21.51827554927393,21.460805763718906,21.395287769189547
PE_O-40:5_778.57458_10.408,lipid,l_521,PE O-40:5,,Plasmenyl-PE,778.57458,10.408,21.426779807202077,,,+,18.203930926166873,18.839342766048574,18.983233350493013,20.033953862363962,19.3950704585345,19.916138044201904,19.844859487380656,20.037087635521676,20.348709860182954,19.51273641542801,20.470143885860914,19.79857248484041,18.89094544591732,20.545729855402588,19.25740849696569,19.473549881143658,19.8541592588276,19.445725875781154,19.210835253622825,19.98871241684327,19.040862279468115,19.9108018146429,19.49203351262653,20.188174169062226,20.2029804085477,19.709588884531648,19.450274270262035,18.849002048242607,19.598711364194216,20.33110489371425,19.386257914223975,19.535515784790643,19.799624740649897,19.287337323256583,21.11848414520235,19.629186310742863,19.62686575252199,19.963118117352103,19.7180149792183,20.43176318977385,19.606785844218816,20.69453730016621,18.687755115746537,19.011856579417163,19.3865969626406,18.239096641033086,20.246575621852624,19.36829957597752,20.351745018269916,18.669835272897785,19.183492534922287,19.673963600136144,20.61699826149203,19.79956189978674,19.95290609779796,18.9055759848666,20.527790900042792,20.128673989126245,19.68932099979815,19.852221285941628
SM_d40:2_785.65399_10.424,lipid,l_522,SM d40:2,,SM,785.65399,10.424,23.351253181857242,,,+,21.388189015721675,21.54363284737716,21.230830698163324,21.56193462892047,22.03533049189524,22.371526706542536,21.660340519377662,22.014701837420326,22.625725095079687,22.496856302457857,22.359629500074224,21.571731098579292,22.21611360008622,22.658275764765207,22.235287463216338,22.044904932539243,22.284889275585183,21.447033911407978,21.906693042291153,22.32632783771665,21.551158567233816,22.056234428704816,22.133213296617818,22.32576726092566,22.43800084554283,21.98436833768892,22.153147222444684,21.997885729523198,21.814124909644075,22.28308197161216,21.5648481720599,22.036582219978914,22.012095446284896,22.11865633781446,22.143678906476392,22.183335800470637,22.00110006047436,21.917646234735486,21.886667371868104,22.28199371594721,21.605454789143298,21.802729004927347,21.725932220843507,21.928487215700155,22.40596224086077,21.743911281663742,22.284838646082065,22.206500834494012,22.685949285523577,21.236750189673394,22.018684288201676,21.838397987453884,22.126069852783182,21.74952395067892,22.22737412592603,21.895918066348667,22.14578406490228,22.79341277878481,22.362088334932167,21.85008399285016
