,RT,m/z,Polarity,Area (Max.),ID,molec_class,Features Found,20211113_Ernie_nLipid_60min_r_1950_3.raw (F1),20211113_Ernie_nLipid_60min_r_1950_4.raw (F2),20211113_Ernie_nLipid_60min_r_1950_5.raw (F3),20211113_Ernie_nLipid_60min_15k_1950_1.raw (F4),20211113_Ernie_nLipid_60min_15k_1950_2.raw (F5),20211113_Ernie_nLipid_60min_15k_1950_3.raw (F6),mean,is_id,C,unsat,C_cat,unsat_cat
2058,18.01,287.23416,+,3980677.368,,,1,3980677.368,3615225.401,694180.1765,3418836.976,451713.5215,3016887.752,,False,,,,
2059,18.011,474.41559,+,1442494.016,,,1,1090405.568,1151700.564,1339270.025,1369433.754,1356604.84,1442494.016,,False,,,,
2060,18.013,518.40546,+,3787904.75,,,6,2607213.379,1868880.055,2447325.425,2797799.329,3787904.75,2754630.819,,False,,,,
2061,18.014,538.39185,+,7975070.992,,,1,1969418.107,7975070.992,5369794.904,4141124.908,615017.1902,918988.634,,False,,,,
2062,18.015,704.48639,+,17767986.31,,,6,11153759.98,9902912.955,12140408.28,10876581.94,13207715.75,17767986.31,,False,,,,
2063,18.017,283.16888,+,3481564.503,,,4,2282652.26,3481564.503,2444828.274,3269214.446,3276675.342,3354928.167,,False,,,,
2064,18.017,702.51569,+,881852.7605,,,1,843625.3892,845473.742,881852.7605,841058.0885,737159.63,782673.5873,,False,,,,
2065,18.017,499.34146,+,695988.7037,,,1,591014.3322,695988.7037,536055.4173,602732.3206,591431.313,493228.7132,,False,,,,
2066,18.019,423.34439,+,3868096.872,,,6,3585552.291,2837571.705,3868096.872,3157165.543,3299905.853,3608230.087,,False,,,,
2067,18.02,451.28152,+,1980049.349,,,2,1200846.266,1221108.63,1980049.349,1043491.695,1072010.747,1155185.73,,False,,,,
2068,18.028,466.32916,+,51564366.31,,,6,48288538.89,40860271.72,40359804.02,45568640.59,44720023.15,51564366.31,,False,,,,
2069,18.028,512.43115,+,4523812.805,,,2,3174308.88,2503758.477,2431487.769,3177645.854,2296787.905,4523812.805,,False,,,,
2070,18.035,297.18488,+,2423664.064,,,4,2418108.665,2372082.679,2423664.064,1457910.36,1502979.521,2174462.184,,False,,,,
2071,18.039,361.33121,+,2124393.276,,,1,1938049.221,1712479.302,1562623.591,2124393.276,1871504.259,1852051.907,,False,,,,
2072,18.044,636.42279,+,4142108.131,,,1,1205806.235,1060252.693,1120027.187,1594178.897,1771013.185,4142108.131,,False,,,,
2073,18.044,405.24466,+,2956401.1,,,3,2956401.1,2491324.189,1896390.412,1296723.459,1652827.35,1793326.261,,False,,,,
2074,18.048,610.46802,+,3826798.612,,,6,3826798.612,3516183.182,3423894.68,3447883.947,3502043.916,3812906.105,,False,,,,
2075,18.049,367.28171,+,11646182.45,,,4,7944383.022,7836795.751,11290344.77,9069541.572,9785665.432,11646182.45,,False,,,,
