,RT,m/z,Polarity,Area (Max.),ID,molec_class,Features Found,20211113_Ernie_nLipid_60min_r_1950_3.raw (F1),20211113_Ernie_nLipid_60min_r_1950_4.raw (F2),20211113_Ernie_nLipid_60min_r_1950_5.raw (F3),20211113_Ernie_nLipid_60min_15k_1950_1.raw (F4),20211113_Ernie_nLipid_60min_15k_1950_2.raw (F5),20211113_Ernie_nLipid_60min_15k_1950_3.raw (F6),mean,is_id,C,unsat,C_cat,unsat_cat
5261,24.036,1050.69373,+,6355551.661,,,6,5092874.177,4845031.994,5019628.71,5057330.254,5053871.488,6355551.661,,False,,,,
5262,24.042,818.30664,+,1754019.006,,,1,1257967.926,839527.1031,1754019.006,1311909.326,920564.3529,796362.5927,,False,,,,
5263,24.046,630.5097,+,1294391.414,,,1,1294391.414,1143196.428,739602.9753,564295.2954,625036.1018,716772.6364,,False,,,,
5264,24.049,528.46204,+,5529274.867,DG 28:1,DG,5,5529274.867,4470055.722,4599452.773,4076955.797,3990305.789,3984774.821,,True,28.0,1.0,28.0,1.0
5265,24.055,812.61407,+,6095864.591,PC 38:3,PC,6,5689422.317,5196159.333,4633803.243,4181993.491,6095864.591,5424413.158,,True,38.0,3.0,38.0,3.0
5266,24.055,827.66339,+,4965527.24,,,6,2627880.472,4296847.805,4053428.192,2000783.38,4402800.256,4965527.24,,False,,,,
5267,24.056,625.54083,+,9953461.272,,,6,8613370.499,6746740.664,3697790.563,7256144.228,7658154.09,9953461.272,,False,,,,
5268,24.063,904.59155,+,15356757.64,PI 38:4,PI,11,14272822.08,11095936.52,11890594.2,12120710.75,12069056.63,15356757.64,,True,38.0,4.0,38.0,4.0
5269,24.064,411.36224,+,7517632.551,,,1,7517632.551,6896052.686,5197459.263,5535340.61,4628530.521,5144662.184,,False,,,,
5270,24.071,732.53967,+,3119544.692,,,1,1515833.082,1709790.587,3119544.692,1338540.707,2616662.325,2926131.85,,False,,,,
5271,24.074,794.57043,+,298892332.8,PC 37:5,PC,6,296530261.0,264785993.9,295539995.7,275051173.2,269348699.9,298892332.8,,True,37.0,5.0,37.0,5.0
5272,24.074,816.54999,+,13270921.24,PC 39:8,PC,6,10717267.51,7062902.867,9185249.878,11361353.49,10668915.37,13270921.24,,True,39.0,8.0,39.0,8.0
5273,24.074,599.42242,+,1320940.958,,,1,1320940.958,1108384.315,839417.8007,706999.8261,716644.8137,879148.755,,False,,,,
5274,24.074,717.45129,+,1082509.062,,,2,1082509.062,935054.3951,726524.6667,805063.9068,558186.0762,956358.831,,False,,,,
5275,24.076,782.57208,+,2064407298.0,PC 36:4,PC,1,1898467224.0,1662176331.0,1912126457.0,1713496769.0,1572119474.0,2064407298.0,,True,36.0,4.0,36.0,4.0
5276,24.079,776.58325,+,715498564.7,PC[OH] OH-34:1,PC[OH],6,662324583.0,585950485.3,619405172.5,574804603.3,580556243.0,715498564.7,,True,34.0,1.0,34.0,1.0
5277,24.086,742.5744,+,31264316.05,Plasmanyl-PC O-34:3,Plasmanyl-PC,5,31264316.05,27707879.63,30760352.85,30026296.5,26902015.78,25419397.89,,True,34.0,3.0,34.0,3.0
5278,24.088,677.00031,+,11192197.03,,,1,1922558.94,10097170.02,2835797.19,5454689.079,3238984.125,11192197.03,,False,,,,
5279,24.089,752.52209,+,4478509.435,PC 34:5,PC,3,2842245.329,2929791.994,3678858.198,3594343.649,2260508.734,4478509.435,,True,34.0,5.0,34.0,5.0
5280,24.093,792.58862,+,526253468.5,Plasmanyl-PC O-38:6,Plasmanyl-PC,7,484776782.4,444840728.1,430487119.8,453046991.8,449861105.5,526253468.5,,True,38.0,6.0,38.0,6.0
5281,24.094,928.59094,+,81577123.12,PI 40:6,PI,12,73486599.68,62370820.29,65133218.56,68138098.68,63852062.96,81577123.12,,True,40.0,6.0,40.0,6.0
5282,24.096,691.57538,+,29673486.01,SM d33:0,SM,6,28255306.85,25731469.63,27478810.76,25359304.5,24657880.8,29673486.01,,True,33.0,0.0,33.0,0.0
5283,24.096,441.29755,+,7724224.77,,,1,5111426.811,6293965.583,5375467.299,6480773.678,7724224.77,6667277.99,,False,,,,
5284,24.097,939.82172,+,1216300.98,,,3,1031008.261,728823.3711,897568.3048,853392.533,1110384.818,1216300.98,,False,,,,
5285,24.099,933.54626,+,3735141.402,PI 42:9,PI,5,3115530.646,3184282.847,3077683.071,2727439.458,2907669.011,3735141.402,,True,42.0,9.0,42.0,9.0
5286,24.1,788.29767,+,28259460.11,,,4,28259460.11,24542343.51,14307212.95,19997898.05,18921255.28,12162239.02,,False,,,,
5287,24.105,806.57312,+,4389478807.0,PC 38:6,PC,4,2099087098.0,475242861.2,2998592805.0,2472250518.0,1902804307.0,4389478807.0,,True,38.0,6.0,38.0,6.0
5288,24.105,858.58612,+,9603754.535,,,3,7538033.906,4968316.282,7271704.495,7084551.789,7278527.407,9603754.535,,False,,,,
5289,24.113,831.69482,+,3319385.995,,,5,3134805.772,3319385.995,2573970.377,2797665.72,2507195.793,3151664.508,,False,,,,
5290,24.117,838.59467,+,1550310.939,,,1,1259792.861,1550310.939,1341364.939,859096.8417,1090929.398,880375.938,,False,,,,
5291,24.123,416.36472,+,1726585.067,,,1,1726585.067,371606.7239,260802.3482,184648.0902,199216.1948,225047.3449,,False,,,,
5292,24.129,718.53839,+,13813175.55,PC 31:1,PC,4,13614787.2,6020713.325,13071379.06,12498764.43,4971097.233,13813175.55,,True,31.0,1.0,31.0,1.0
5293,24.13,818.60333,+,18099439.45,Plasmanyl-PC O-40:7,Plasmanyl-PC,6,17441976.17,13702537.59,18099439.45,10609481.69,15499662.17,16222172.11,,True,40.0,7.0,40.0,7.0
5294,24.132,722.51263,+,2215385.125,,,2,1992636.477,2215385.125,2131512.623,1713561.134,2109263.058,2029395.082,,False,,,,
5295,24.135,413.26624,+,4862966.825,,,1,2816358.729,3364462.306,2989039.329,4733156.922,4862966.825,4135796.247,,False,,,,
5296,24.144,802.59747,+,21268105.39,PC[OH] OH-36:2,PC[OH],5,21268105.39,13989040.88,20203929.85,15132885.05,11049241.17,13809648.27,,True,36.0,2.0,36.0,2.0
5297,24.144,738.64764,+,13125104.42,SM dd-936:2,SM,3,11854345.09,9906332.27,11782961.42,9748453.504,9683901.126,13125104.42,,True,936.0,2.0,936.0,2.0
5298,24.144,764.54352,+,8578625.365,,,4,7141753.426,4096622.231,1115564.724,6654980.466,7980435.537,8578625.365,,False,,,,
5299,24.145,766.57465,+,168239485.9,Plasmanyl-PC O-36:5,Plasmanyl-PC,1,146043923.6,120713731.1,122507910.0,145531883.6,167851267.7,168239485.9,,True,36.0,5.0,36.0,5.0
5300,24.159,734.57001,+,639796.6228,,,1,428962.9043,282195.6863,415571.7278,601770.9233,519208.476,639796.6228,,False,,,,
5301,24.162,890.65662,+,1785779.47,,,2,1763951.581,1479085.011,1784056.395,1759736.945,1571770.469,1785779.47,,False,,,,
5302,24.167,1181.75122,+,40115353.93,GM3-NANA d36:1,GM3-NANA,6,34680609.04,32324391.3,32663714.46,34007338.54,33935276.09,40115353.93,,True,36.0,1.0,36.0,1.0
5303,24.172,1308.42371,+,782668.5153,,,2,684687.415,653771.1801,643887.1136,617885.6703,782668.5153,781072.9606,,False,,,,
5304,24.179,859.60339,+,41522920.25,,,4,41486303.42,32692977.03,37986935.49,37705162.06,35595863.3,41522920.25,,False,,,,
5305,24.179,884.61688,+,11829716.24,PC 44:9,PC,5,7811622.074,6080543.384,11829716.24,6997383.02,6942716.112,5648541.36,,True,44.0,9.0,44.0,9.0
5306,24.179,744.97076,+,2089983.338,,,2,1715673.275,2089983.338,882288.3647,310330.802,1262916.483,1800402.675,,False,,,,
5307,24.183,832.58514,+,2821610379.0,PC 40:7,PC,6,2779882831.0,2247171043.0,2821610379.0,2310087600.0,2193664301.0,2511858012.0,,True,40.0,7.0,40.0,7.0
5308,24.185,1168.90759,+,1165898.452,,,2,764741.8974,734310.7412,898784.872,1035051.199,1007955.681,1165898.452,,False,,,,
5309,24.187,706.54083,+,3364043458.0,PC 30:0,PC,6,3154800362.0,2694118871.0,2982066391.0,2978824852.0,2995134431.0,3364043458.0,,True,30.0,0.0,30.0,0.0
5310,24.187,728.52051,+,121718012.7,PC 32:3,PC,6,121718012.7,86913837.29,93813131.05,105455805.2,106523397.3,114489433.2,,True,32.0,3.0,32.0,3.0
5311,24.189,441.39392,+,10091100.35,,,5,8247982.075,8057512.704,8865288.808,9307203.944,9263177.016,10091100.35,,False,,,,
5312,24.192,1339.48877,+,2860217.931,,,2,2589659.642,2260099.112,2443664.201,1924126.933,2447591.236,2860217.931,,False,,,,
5313,24.196,1094.7417,+,1710770.932,,,5,1518864.348,1378192.966,1344123.66,1182309.769,1304117.118,1710770.932,,False,,,,
5314,24.202,826.59644,+,66711297.22,PC[OH] OH-38:4,PC[OH],6,65686204.87,52355274.13,59535678.4,60975687.94,59586978.66,66711297.22,,True,38.0,4.0,38.0,4.0
5315,24.204,746.51306,+,3045366.21,,,4,2613737.986,2665797.316,1833548.374,1948435.412,1700632.511,3045366.21,,False,,,,
5316,24.204,395.367,+,2822221.117,,,2,2822221.117,1937178.47,1823270.294,1777622.838,1887653.152,1593856.909,,False,,,,
5317,24.207,626.23938,+,6327862.674,,,2,5543061.542,6087847.066,1963048.81,6197177.48,6327862.674,742513.8296,,False,,,,
5318,24.208,790.31104,+,75875811.07,,,6,75875811.07,64189149.76,68944090.84,62472455.04,61521460.21,63190952.17,,False,,,,
5319,24.21,397.34637,+,7126943.703,,,3,7126943.703,5349888.446,5049188.199,4282215.178,4839585.619,4008168.295,,False,,,,
5320,24.21,931.39191,+,1988774.893,,,1,1988774.893,1603800.644,1687524.608,741538.6969,748462.8235,1098379.814,,False,,,,
5321,24.211,676.5285,+,1023120.7,Plasmanyl-PC O-29:1,Plasmanyl-PC,1,1023120.7,652500.9181,945833.9848,1006454.285,891148.5322,980385.107,,True,29.0,1.0,29.0,1.0
5322,24.216,998.289,+,33642968.54,,,6,28642430.81,23996439.01,33642968.54,29657205.94,29207837.95,32840258.17,,False,,,,
5323,24.218,306.19104,+,499049.9462,,,1,462786.9959,321058.0446,499049.9462,169497.8591,179175.0287,194742.2071,,False,,,,
5324,24.219,1001.28723,+,6951068.822,,,3,6375262.794,5368657.4,5879531.926,4638661.248,6365082.272,6951068.822,,False,,,,
5325,24.219,719.57019,+,3151639.45,,,1,655151.3463,3151639.45,693323.8786,421769.2032,603492.8381,601034.8742,,False,,,,
5326,24.22,732.27179,+,5640015.445,,,4,5640015.445,4910692.014,4907362.682,4616014.303,4395099.821,4190483.881,,False,,,,
5327,24.222,759.22278,+,2573175.043,,,1,2573175.043,693418.0373,1879868.223,1919374.796,1817439.522,603161.455,,False,,,,
5328,24.225,593.41211,+,2282742.799,,,1,2282742.799,1731788.916,1491789.379,1380758.551,1344480.934,1319712.455,,False,,,,
5329,24.229,586.4386,+,200727824.4,,,6,200727824.4,159019639.2,140976171.0,119522064.7,117496593.6,126529372.6,,False,,,,
5330,24.229,530.37561,+,1570559.894,,,1,1453868.547,1570559.894,1150327.527,660700.7091,665817.1893,734402.3058,,False,,,,
5331,24.23,818.56982,+,6694550.183,PC 39:7,PC,3,6063878.081,4528921.413,6694550.183,5027147.623,6252804.001,5209248.104,,True,39.0,7.0,39.0,7.0
5332,24.232,821.31702,+,34428889.98,,,6,25351923.83,34428889.98,19748885.46,18624617.21,17651378.06,23576930.36,,False,,,,
5333,24.232,792.55414,+,19926443.12,PC 37:6,PC,2,16151138.22,16872885.76,18702352.25,19926443.12,13983774.86,17357217.81,,True,37.0,6.0,37.0,6.0
5334,24.236,1293.33069,+,2127406.273,,,1,2127406.273,1445421.988,1294494.566,1437183.2,1228638.365,1627841.813,,False,,,,
5335,24.237,387.36203,+,3207275.698,,,3,3207275.698,2774284.224,2561029.41,2737495.856,3183936.212,2805880.14,,False,,,,
5336,24.237,866.62708,+,2726256.683,PC[OH] OH-41:5,PC[OH],4,2590247.971,2278192.888,2726256.683,2281519.65,2379111.564,2353631.789,,True,41.0,5.0,41.0,5.0
5337,24.248,852.61133,+,1347742.817,,,2,1192366.185,1335807.374,1198083.127,1267669.405,1166911.669,1347742.817,,False,,,,
5338,24.251,800.58105,+,51116795.81,PC[OH] OH-36:3,PC[OH],6,46720762.92,40006186.66,44707394.91,48008910.71,43315963.53,51116795.81,,True,36.0,3.0,36.0,3.0
5339,24.251,464.39465,+,7227390.348,,,3,5128516.303,7227390.348,3438749.499,5372644.737,3556330.466,4147668.432,,False,,,,
5340,24.251,775.0368,+,3313265.331,,,1,2099439.208,2062189.886,1625731.986,1802775.814,1188812.984,3313265.331,,False,,,,
5341,24.252,554.47815,+,4558520.409,DG 30:2,DG,3,4558520.409,3251807.066,2838687.017,2786231.93,3228478.268,3284338.32,,True,30.0,2.0,30.0,2.0
5342,24.256,770.56958,+,526910637.3,PC 35:3,PC,6,412600705.2,526910637.3,424587109.6,386082200.4,500892491.5,468823454.7,,True,35.0,3.0,35.0,3.0
5343,24.256,816.5896,+,34412611.19,Plasmanyl-PC O-40:8,Plasmanyl-PC,4,15032330.26,29700356.71,23664960.99,19199078.38,32590541.05,34412611.19,,True,40.0,8.0,40.0,8.0
5344,24.258,834.60028,+,255566568.5,PC 40:6,PC,1,227182448.7,227366647.8,237320469.4,214276512.1,210499931.0,255566568.5,,True,40.0,6.0,40.0,6.0
5345,24.261,469.36493,+,8159026.373,,,1,5455788.181,4881345.28,5208279.695,5268098.024,8159026.373,3875411.072,,False,,,,
5346,24.264,714.5072,+,3909888.237,PE 34:3,PE,3,3661253.423,3380355.873,3264510.347,2723860.664,3909888.237,2530292.789,,True,34.0,3.0,34.0,3.0
5347,24.264,678.50879,+,1032641.228,,,1,448756.7429,189539.2698,1032641.228,360574.222,333490.1169,360453.901,,False,,,,
5348,24.265,377.22971,+,2624414.005,,,1,1691063.089,1415620.666,1353532.136,2498327.857,2624414.005,1595381.67,,False,,,,
5349,24.268,798.60144,+,14537583.54,PC 37:3,PC,6,14056178.65,13187391.96,10368488.77,9707639.487,13248731.76,14537583.54,,True,37.0,3.0,37.0,3.0
5350,24.268,497.34131,+,2688819.813,,,1,1010276.103,1336600.668,2688819.813,1396638.099,1234663.456,1232192.701,,False,,,,
5351,24.269,756.55676,+,231315527.9,,,1,48337213.06,55767206.41,231315527.9,54204271.02,17482082.42,53713933.94,,False,,,,
5352,24.269,832.32361,+,35162136.69,,,6,35162136.69,29267572.84,22882564.59,24105777.79,23263195.39,26081478.62,,False,,,,
5353,24.269,786.6012,+,1876982.734,,,1,1265131.366,1005935.438,1876982.734,1211368.063,1101492.353,939006.8566,,False,,,,
5354,24.272,481.31415,+,1548506.091,,,1,1158995.892,1008175.781,1548506.091,1471562.024,1316172.43,1299125.963,,False,,,,
5355,24.273,884.60693,+,18013178.77,PC 44:9,PC,6,13230707.37,17111757.98,10318002.45,15741061.17,18013178.77,14756646.15,,True,44.0,9.0,44.0,9.0
5356,24.274,678.00055,+,2892612.101,,,1,2810811.277,2892612.101,1693678.381,2709862.714,2599983.328,573907.5166,,False,,,,
5357,24.278,427.25186,+,3129509.812,,,1,3129509.812,941619.6782,1172138.227,1363968.187,930344.3538,1145784.74,,False,,,,
5358,24.29,806.57269,+,1988213910.0,PC 38:6,PC,5,1988213910.0,1214859828.0,1918687631.0,1107232338.0,843335118.5,1055799000.0,,True,38.0,6.0,38.0,6.0
5359,24.29,766.57495,+,856309501.1,Plasmanyl-PC O-36:5,Plasmanyl-PC,6,856309501.1,591191666.1,753832025.3,795454050.1,806101892.3,833536017.6,,True,36.0,5.0,36.0,5.0
5360,24.29,355.28433,+,2428100.851,,,3,2176961.259,1643598.653,2201513.752,2342827.688,2428100.851,1975457.316,,False,,,,
5361,24.291,544.45734,+,23358107.97,,,6,18361896.05,14680839.36,16901911.32,20548188.17,21207558.23,23358107.97,,False,,,,
5362,24.292,862.62494,+,194394891.9,PC 42:6,PC,6,168872315.5,181048966.8,155172849.5,182359812.4,194394891.9,183455698.2,,True,42.0,6.0,42.0,6.0
5363,24.292,365.26617,+,2290739.127,,,1,911042.7719,1059192.264,1782730.715,1976543.391,2290739.127,1250272.749,,False,,,,
5364,24.295,834.59174,+,122995850.1,PC 40:6,PC,1,76632512.62,28251573.45,122995850.1,48260876.66,43836303.53,50533936.29,,True,40.0,6.0,40.0,6.0
5365,24.295,806.30811,+,74494198.92,,,6,74494198.92,62201328.22,43573620.23,51661456.93,68504258.24,60212115.53,,False,,,,
5366,24.297,754.5387,+,85033689.29,PC 34:4,PC,1,72447697.31,67093082.4,74648958.43,71599897.36,66277113.3,85033689.29,,True,34.0,4.0,34.0,4.0
5367,24.299,690.54498,+,4228579.731,Plasmanyl-PC O-30:1,Plasmanyl-PC,3,2691519.761,3210847.688,2620343.616,2508444.867,4228579.731,3865981.411,,True,30.0,1.0,30.0,1.0
5368,24.302,876.61139,+,6249199.531,PC[OH] OH-42:7,PC[OH],6,6249199.531,5099279.53,5556832.331,5302057.259,5355895.929,6083074.198,,True,42.0,7.0,42.0,7.0
5369,24.303,740.56104,+,43980472.77,Plasmanyl-PC O-34:4,Plasmanyl-PC,5,41810367.32,42876750.56,34155952.73,43980472.77,41113085.31,43819209.69,,True,34.0,4.0,34.0,4.0
5370,24.307,832.58533,+,339096980.1,PC 40:7,PC,3,139022293.5,176255913.5,239233478.6,296559684.4,339096980.1,319090881.2,,True,40.0,7.0,40.0,7.0
5371,24.31,792.58789,+,394271900.8,Plasmanyl-PC O-38:6,Plasmanyl-PC,6,394271900.8,340445190.7,382084234.6,372802803.4,364896326.1,390014535.4,,True,38.0,6.0,38.0,6.0
5372,24.311,630.50964,+,2757901.826,DG 36:6,DG,1,2757901.826,2091542.753,1751038.213,1746883.759,2424410.791,2078456.515,,True,36.0,6.0,36.0,6.0
5373,24.312,822.56482,+,14795028.61,PC[OH] OH-38:6,PC[OH],6,7875028.88,6744276.152,14795028.61,6523642.765,9054033.367,3728874.026,,True,38.0,6.0,38.0,6.0
5374,24.322,1365.50708,+,3001403.786,,,3,2688457.162,2148635.872,2592828.412,2193306.887,2078302.73,3001403.786,,False,,,,
5375,24.323,607.39056,+,33008941.52,,,6,33008941.52,26011811.55,23577390.11,20249120.86,20807479.21,19409876.24,,False,,,,
5376,24.327,732.55524,+,7719735625.0,PC 32:1,PC,6,7380033728.0,6824035847.0,7168739353.0,7110771884.0,7355561099.0,7719735625.0,,True,32.0,1.0,32.0,1.0
5377,24.328,376.39526,+,502879802.7,,,6,502879802.7,484826632.8,420539497.9,417323500.4,484611401.4,388586625.3,,False,,,,
5378,24.334,798.56213,+,5866962.484,PC[OH] OH-36:4,PC[OH],1,4667248.464,5866962.484,3686754.004,2738067.094,2665050.812,346169.9895,,True,36.0,4.0,36.0,4.0
5379,24.335,752.55981,+,30537861.76,,,6,28788444.86,12662911.52,22405118.53,14910522.26,30537861.76,23129302.46,,False,,,,
5380,24.338,739.5965,+,140688056.4,,,6,140078881.9,128318060.8,133074963.5,132963833.0,133649622.7,140688056.4,,False,,,,
5381,24.347,703.57581,+,8079981658.0,SM d34:1,SM,6,8079981658.0,7128876453.0,7176769945.0,7612695281.0,7711255160.0,7987071128.0,,True,34.0,1.0,34.0,1.0
5382,24.382,782.43079,+,13497123.78,,,1,7081443.219,6207952.568,6920680.865,13497123.78,7173774.93,11587955.2,,False,,,,
5383,24.383,782.78815,+,6041585.622,,,1,3684395.353,4991266.808,5647780.33,1930402.978,3374063.77,6041585.622,,False,,,,
5384,24.399,804.54913,+,277411050.0,PC 38:7,PC,6,206315575.0,151795243.6,233081963.2,255510688.5,262504523.0,277411050.0,,True,38.0,7.0,38.0,7.0
5385,24.399,782.35693,+,3989754.215,,,1,2331341.344,1042639.629,3386190.855,3989754.215,3627463.015,1886290.886,,False,,,,
5386,24.402,899.68317,+,10086472.42,,,1,9662641.943,8635122.237,10086472.42,7587830.458,9155592.344,9886519.503,,False,,,,
5387,24.406,782.75861,+,11874520.05,,,2,11774475.62,6015561.354,10390885.94,6007110.935,9287050.564,11874520.05,,False,,,,
5388,24.411,782.40192,+,8819111.123,,,2,6133147.55,4999215.038,8819111.123,6841593.265,6949208.088,3528174.704,,False,,,,
5389,24.418,782.5722,+,61276338940.0,PC 36:4,PC,6,58128454924.0,60968036163.0,56949716788.0,57453751079.0,57660963318.0,61276338940.0,,True,36.0,4.0,36.0,4.0
5390,24.427,782.73743,+,8786116.206,,,1,1628175.237,3113894.041,8786116.206,6892907.505,6460718.813,8662168.386,,False,,,,
5391,24.427,781.58276,+,7234066.774,,,1,7234066.774,4648995.114,5453914.328,5408136.616,5903112.492,6142069.718,,False,,,,
5392,24.428,536.16528,+,2449282933.0,,,6,41686018.29,64432061.59,515323931.1,1134350684.0,1510287083.0,2449282933.0,,False,,,,
5393,24.43,503.10721,+,21807650.5,,,4,848762.8168,752910.6472,7487291.025,14261597.53,17057647.04,21807650.5,,False,,,,
5394,24.438,782.71844,+,9822661.681,,,1,9498790.251,7045457.082,9179670.409,9822661.681,9132632.872,6242267.256,,False,,,,
5395,24.446,1384.45154,+,5281922.378,,,1,2817638.031,2730062.508,2187781.168,5281922.378,4729257.651,1927973.07,,False,,,,
5396,24.452,764.5235,+,235997194.3,PC 35:6,PC,6,233184375.1,187161563.2,210905831.6,188481826.5,201331860.2,235997194.3,,True,35.0,6.0,35.0,6.0
5397,24.466,369.35168,+,3856447612.0,,,6,3856447612.0,3196860545.0,2543118979.0,2113185285.0,1798200053.0,2265226576.0,,False,,,,
5398,24.471,257.2262,+,13688980.54,,,1,13688980.54,10072387.51,8301912.395,6563911.337,6829492.191,7312070.652,,False,,,,
5399,24.487,577.5191,+,40904309.77,Alkanyl-DG O-18:2_16:1,Alkanyl-DG,6,40904309.77,24698591.08,33418190.22,27312219.8,24599253.39,30929567.41,,True,34.0,3.0,34.0,3.0
5400,24.488,854.56927,+,29808148.85,PC 42:10,PC,6,29808148.85,20320499.88,27534288.89,21142995.23,18770277.98,25719544.01,,True,42.0,10.0,42.0,10.0
5401,24.489,837.54718,+,16040554.19,,,5,16040554.19,12577439.55,15340359.44,13138150.34,12898530.82,15257968.61,,False,,,,
5402,24.49,738.64764,+,8595129267.0,SM dd-936:2,SM,6,8595129267.0,7660854464.0,7361960872.0,6994199527.0,7028714342.0,7765812086.0,,True,936.0,2.0,936.0,2.0
5403,24.499,716.56775,+,6246597.75,Plasmanyl-PC O-32:2,Plasmanyl-PC,2,6246597.75,4910406.285,4454794.182,4054425.219,4277074.672,4958906.677,,True,32.0,2.0,32.0,2.0
5404,24.502,808.58667,+,23939866486.0,PC 38:5,PC,6,23939866486.0,22056168220.0,23059815566.0,22938965127.0,22013924070.0,23649817534.0,,True,38.0,5.0,38.0,5.0
5405,24.504,820.5835,+,234455449.5,PC 39:6,PC,6,220853037.0,228756224.8,201455485.6,204479047.9,204491017.0,234455449.5,,True,39.0,6.0,39.0,6.0
5406,24.505,679.44836,+,7700421.911,,,2,7700421.911,7344929.312,4803647.184,4328536.618,4326545.167,4040637.261,,False,,,,
5407,24.506,760.62921,+,81086919.82,Plasmanyl-PC O-35:1,Plasmanyl-PC,6,62923959.25,59427454.81,65870139.26,76688410.98,81086919.82,78662428.02,,True,35.0,1.0,35.0,1.0
5408,24.514,766.57489,+,58431271.85,Plasmanyl-PC O-36:5,Plasmanyl-PC,1,53987588.49,58431271.85,49312850.51,57437577.44,49900234.91,53028679.58,,True,36.0,5.0,36.0,5.0
5409,24.522,202.27089,+,10284121.94,,,1,9125658.161,7888435.989,9149590.979,9312868.502,9085814.388,10284121.94,,False,,,,
5410,24.522,860.61566,+,6855147.782,PC 42:7,PC,2,6627142.938,6624410.174,6735771.283,4858407.512,5233678.026,6855147.782,,True,42.0,7.0,42.0,7.0
5411,24.523,776.0329,+,10902290.85,,,1,7505174.12,10902290.85,9206562.998,5188357.39,8610745.188,2827757.655,,False,,,,
5412,24.524,884.61572,+,4783185.729,PC 44:9,PC,1,4776433.955,4783185.729,3496282.439,3834734.079,3274207.651,4334898.861,,True,44.0,9.0,44.0,9.0
5413,24.525,790.53784,+,37588433.46,PC 37:7,PC,6,37588433.46,28706304.16,35214460.22,32306032.2,29588389.55,34503844.77,,True,37.0,7.0,37.0,7.0
5414,24.527,818.60358,+,54281784.37,Plasmanyl-PC O-40:7,Plasmanyl-PC,3,54281784.37,46822941.2,44693628.68,45335891.25,43336660.93,50007501.85,,True,40.0,7.0,40.0,7.0
5415,24.538,846.54004,+,4650061.52,,,1,1016731.719,1297294.06,1781396.693,2914333.15,4650061.52,3292979.424,,False,,,,
5416,24.539,818.27783,+,3583816.677,,,2,2931130.614,3009135.813,2915844.552,2515753.32,3583816.677,2827839.499,,False,,,,
5417,24.54,830.56567,+,166267942.9,PC 40:8,PC,6,94661851.84,94971099.23,133132949.7,130609972.3,154760801.7,166267942.9,,True,40.0,8.0,40.0,8.0
5418,24.543,802.59814,+,28234685.62,PC[OH] OH-36:2,PC[OH],6,24960710.49,22362114.37,26228592.25,26474630.76,24062806.94,28234685.62,,True,36.0,2.0,36.0,2.0
5419,24.55,748.52747,+,35818964.81,,,6,35818964.81,29077932.35,27761594.91,28081312.36,31473608.99,30109709.5,,False,,,,
5420,24.561,834.60376,+,907852876.9,PC 40:6,PC,4,649970681.1,581145716.2,728390800.4,585597259.4,817001424.2,907852876.9,,True,40.0,6.0,40.0,6.0
5421,24.568,788.29547,+,13419001.98,,,6,13419001.98,8372180.833,9590109.702,6282024.856,5298271.372,6210336.78,,False,,,,
5422,24.571,536.16541,+,88253129.6,,,1,10736604.53,8186591.414,59339652.18,18071257.87,20575547.88,88253129.6,,False,,,,
5423,24.573,676.99939,+,9872316.668,,,4,9872316.668,2951523.791,8386138.612,2479919.712,3371650.286,6737064.348,,False,,,,
5424,24.574,729.59198,+,2224214210.0,SM d36:2,SM,6,1871846483.0,1701029528.0,2058711126.0,2149475866.0,2059195901.0,2224214210.0,,True,36.0,2.0,36.0,2.0
5425,24.574,732.55524,+,1511452428.0,PC 32:1,PC,6,1484378564.0,1350889989.0,1405036982.0,1437027774.0,1369170397.0,1511452428.0,,True,32.0,1.0,32.0,1.0
5426,24.575,826.59454,+,16788267.32,PC[OH] OH-38:4,PC[OH],6,14686570.24,12992072.03,15452768.59,13750812.24,12591348.04,16788267.32,,True,38.0,4.0,38.0,4.0
5427,24.576,904.59033,+,1004405837.0,PI 38:4,PI,12,848440716.3,717628383.3,897623550.0,887097817.7,833711725.6,1004405837.0,,True,38.0,4.0,38.0,4.0
5428,24.576,880.5907,+,19138187.54,PI 36:2,PI,11,15572263.19,15219665.02,16618736.18,15919348.45,16761461.05,19138187.54,,True,36.0,2.0,36.0,2.0
5429,24.579,751.57263,+,32202426.51,SM d38:5,SM,6,22796780.66,21249906.95,28066422.24,31129706.53,31070679.48,32202426.51,,True,38.0,5.0,38.0,5.0
5430,24.581,909.54565,+,42947107.64,,,6,42209691.34,38695299.5,41301954.63,41167233.17,39763683.01,42947107.64,,False,,,,
5431,24.584,583.42773,+,8257026.403,,,3,8257026.403,6774416.267,5373514.705,1321891.739,1608311.291,987934.6653,,False,,,,
5432,24.587,960.65308,+,2410149.595,,,1,2350895.639,2177282.061,2261626.99,1838976.191,2109649.448,2410149.595,,False,,,,
5433,24.591,796.5863,+,30526342.61,PC 37:4,PC,1,20637574.47,19164350.47,18402196.99,25700070.39,27182371.72,30526342.61,,True,37.0,4.0,37.0,4.0
5434,24.592,943.48334,+,3071668.254,,,1,3071668.254,2081293.611,2481600.994,2121445.83,1911967.302,2017586.427,,False,,,,
5435,24.601,744.55603,+,26328578.5,PC 33:2,PC,2,21802424.24,18279504.83,26328578.5,8701262.635,21624150.19,17817132.02,,True,33.0,2.0,33.0,2.0
