Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20211113_Ernie_nLipid_60min_r_1950_3.raw (F1),20211113_Ernie_nLipid_60min_r_1950_4.raw (F2),20211113_Ernie_nLipid_60min_r_1950_5.raw (F3),20211113_Ernie_nLipid_60min_15k_1950_1.raw (F4),20211113_Ernie_nLipid_60min_15k_1950_2.raw (F5),20211113_Ernie_nLipid_60min_15k_1950_3.raw (F6),
10.095,558.31183,+,1055564.855,,,1,743043.128,832665.342,849613.6891,1055564.855,89625.4791,88740.86014,
10.098,299.12088,+,8.598984464E7,,,1,5.56848963E7,413727.8471,419620.983,457440.1354,8.598984464E7,460997.36,
10.099,314.23209,+,9998351.792,,,3,8294985.196,5793050.981,9998351.792,7893510.433,217120.1491,214977.1358,
10.1,596.32819,+,1283126.624,,,1,1283126.624,1080165.701,1171499.184,91776.4456,862175.4136,1263891.447,
10.102,461.2359,+,4365550.941,,,1,361761.8849,4365550.941,4287223.799,344048.7838,3923420.104,346724.2351,
10.104,348.2103,+,1.106373287E7,,,4,295977.0229,4511886.118,1.106373287E7,4198879.816,1.057400615E7,7082444.371,
10.108,372.15848,+,1.032201372E7,,,3,1.032201372E7,239398.9679,3453074.251,8609861.124,269410.064,5556372.643,
10.108,213.03264,+,6493826.069,,,2,4367176.216,4127788.518,116437.7196,3996126.829,5061722.424,6493826.069,
10.11,358.22223,+,7696634.268,,,2,6689824.282,241975.3027,7378653.37,7696634.268,272309.3686,7681831.05,
10.11,450.26981,+,3031488.879,,,1,174389.9985,2894880.086,133030.6727,145020.3193,2304549.392,3031488.879,
10.112,494.29578,+,2002955.345,,,2,2002955.345,872455.3665,90943.49058,90591.06469,100906.8658,99910.89761,
10.115,517.2619,+,4909841.421,,,2,3319954.513,139169.3147,4121365.969,241873.5573,4909841.421,155069.7811,
10.121,476.24857,+,1098192.605,,,1,853379.2511,105088.8065,1098192.605,818486.8068,975308.3714,117095.4836,
10.131,599.39044,+,1.668803673E7,,,1,1.668803673E7,1.219836721E7,149323.685,1.569764729E7,1.635827859E7,164047.6224,
10.135,442.26205,+,690063.3599,,,1,52200.40721,35723.70588,73468.7621,429711.2855,690063.3599,572143.6869,
10.142,271.11481,+,3232814.355,,,1,2843757.124,151909.6503,154073.45,3232814.355,3041428.26,169265.734,
10.144,205.07935,+,5.658694588E8,,,5,2.515078792E8,9.539132456E7,9.417495856E7,2.492469557E8,3.976192215E7,5.658694588E8,
10.146,345.13992,+,831715.2073,,,1,373195.5213,831715.2073,115256.3702,564750.6189,40545.30545,69597.41907,
10.149,269.13834,+,4988003.897,,,1,1175103.923,4988003.897,2272852.99,2348104.245,973672.7034,1889854.057,
10.15,403.21573,+,1023867.209,,,1,344110.9529,1023867.209,530257.3506,619909.3066,251228.1605,421657.5305,
10.152,207.07491,+,3.37525468E7,,,1,3.04101613E7,3.037015116E7,3.315939252E7,3.37525468E7,440995.9899,436643.2834,
10.152,319.11493,+,3568148.086,,,1,1613232.115,3568148.086,213582.6052,416775.8349,1662016.53,1610805.804,
10.162,1051.71558,+,2013578.364,,,1,99577.40424,2013578.364,519983.3604,161041.2197,136353.2309,93250.48784,
10.169,245.07823,+,1.562570858E7,,,1,1732449.479,1.562570858E7,3818251.476,1449585.405,1106760.505,610349.392,
10.175,594.16101,+,1846374.878,,,2,867219.934,287185.565,449435.9761,261704.9703,105541.8372,1846374.878,
10.179,1134.7229,+,944002.2601,,,1,944002.2601,191527.2635,111747.8651,112342.438,126199.5794,122089.6845,
10.189,484.27515,+,967748.1915,,,1,967748.1915,669380.9038,822416.2621,73468.25195,944626.2894,857748.2796,
10.194,377.19171,+,2.802369781E7,,,1,335715.2615,288767.8175,292881.0238,2.802369781E7,1.807305612E7,321760.3128,
10.196,299.10999,+,1392543.386,,,1,1392543.386,186828.1,82650.22123,94816.89418,82988.43511,1067456.698,
10.206,305.14694,+,5647603.667,,,2,1547442.028,5647603.667,4410847.111,2587280.685,365929.4482,628905.1713,
10.212,590.22827,+,3273399.898,,,1,695309.7605,1054348.036,1479448.691,3273399.898,1632023.722,1006785.247,
10.213,439.11761,+,3058675.334,,,1,646553.1171,1176616.738,1059484.092,1396496.037,3058675.334,773315.202,
10.22,226.17998,+,3.081928658E7,,,1,218167.1822,3.081928658E7,190258.7325,538314.3586,440153.3363,225232.3557,
10.221,227.12569,+,5580164.204,,,1,1974005.734,4611320.901,2012380.529,5188349.21,5580164.204,284813.5123,
10.247,1165.74658,+,1.003593969E7,,,2,5132553.569,6601247.673,7150788.171,4315776.863,7746151.196,1.003593969E7,
10.253,466.17529,+,2.618431584E7,,,1,5105017.426,6307420.136,5968985.868,7398827.902,2.618431584E7,4963917.235,
10.263,294.20392,+,2665552.513,,,2,2665552.513,250862.0253,2594330.694,1005304.11,1012921.528,371255.3198,
10.268,414.30008,+,2405678.316,,,1,1128329.829,870022.8053,1008021.176,1132954.257,701493.8972,2405678.316,
10.281,265.10449,+,2045552.357,,,1,102950.0487,500210.6987,1291256.571,2045552.357,144992.7082,123747.3334,
10.283,363.14133,+,1268662.98,,,1,185354.6969,53800.4825,1268662.98,470984.6982,485345.044,669752.4182,
10.302,882.56885,+,1363431.138,,,1,1166425.422,178837.4069,119372.518,85045.10507,151902.8392,1363431.138,
10.314,307.11493,+,662434.9583,,,2,191516.7908,261823.5807,662434.9583,242204.5445,58020.74933,286190.6552,
10.318,568.02155,+,1992102.862,,,1,244934.9288,580282.9604,195718.6486,1992102.862,651454.6601,563109.4456,
10.334,249.10953,+,2819878.62,,,2,530752.942,1637999.344,2819878.62,1310706.809,1275199.676,1889918.832,
10.422,319.11502,+,763232.281,,,1,578027.0116,184853.0767,326461.9167,506229.0876,304614.4611,763232.281,
10.439,305.14679,+,4410847.111,,,1,2546805.681,449014.2163,4410847.111,639542.5095,933984.8754,3118105.81,
10.476,358.22217,+,7104416.009,,,2,598674.1211,793670.5312,930977.3376,1089628.136,7104416.009,5267989.516,
10.55,274.27377,+,6977115.387,,,2,3158068.885,2582979.408,4016736.198,5939066.015,4983219.654,6977115.387,
10.621,321.09198,+,785378.4043,,,3,588760.203,784751.2268,670095.5185,721442.8645,779488.1851,785378.4043,
10.691,274.27383,+,5939066.015,,,1,1840184.321,2500788.321,3953584.614,5939066.015,4983219.654,2256562.713,
10.711,305.14703,+,4300970.775,,,1,939619.1678,3311266.012,2384123.92,633859.9011,4300970.775,1383590.785,
10.724,907.26019,+,478422.9379,,,1,174900.7126,223875.82,251627.8917,122906.0006,478422.9379,145226.7988,
10.782,244.19052,+,6620170.235,,,1,6044114.252,6298552.952,305963.3362,886005.7067,6620170.235,322450.4183,
10.86,363.25278,+,1273143.211,,,1,1273143.211,327029.7895,540606.3517,505904.8575,243422.0409,629618.2685,
10.868,407.16745,+,177131.5752,,,1,36168.07755,177131.5752,61918.33074,29509.27273,33346.72594,142402.0638,
11.046,225.11047,+,8324189.103,,,1,364647.3586,3008833.896,5643823.231,4975302.062,8324189.103,7582764.491,
11.137,515.14929,+,1497250.08,,,6,1328077.5,1113606.299,1205711.615,1380429.277,1225060.719,1497250.08,
11.201,426.13712,+,843243.4518,,,1,843243.4518,237594.5922,415455.9132,69793.79136,194827.8426,143896.5487,
11.235,337.10452,+,3226228.762,,,1,1122748.243,1222221.429,2065545.409,3226228.762,1426877.438,2337163.304,
11.283,288.172,+,5515963.166,,,1,5515963.166,312445.754,314653.0628,363642.4397,285528.8519,92558.53923,
11.285,451.17282,+,2.491335833E7,,,1,1.685443769E7,2.491335833E7,1.815799201E7,1.825317957E7,1.785078848E7,1.494188969E7,
11.319,493.21771,+,6417393.514,,,1,4842210.523,5251765.75,6417393.514,4731056.922,4847183.435,5786645.031,
11.343,427.11771,+,767294.8906,,,1,612874.9348,299637.3681,767294.8906,630860.6862,634371.8851,502209.0239,
11.347,228.19557,+,7.304564882E7,,,6,3.372197461E7,6.679922318E7,6.500532176E7,5.629531543E7,5.151098039E7,7.304564882E7,
11.37,290.26889,+,7112093.209,,,5,4188561.364,3543143.946,5908235.97,6742248.789,7112093.209,6518032.824,
11.38,278.20883,+,8790567.653,,,2,3943607.305,4137130.486,5338775.499,6779409.209,8790567.653,7048736.917,
11.471,358.20114,+,5.673935957E7,,,4,4.010578157E7,5.673935957E7,4.653005095E7,5.463609739E7,5.108387883E7,4.501893379E7,
11.499,590.22797,+,5346162.97,,,1,3462767.019,4170242.533,3083128.12,3284657.117,5346162.97,2556761.509,
11.505,344.27975,+,4031039.715,AC 12:0,AC,1,2552867.333,2564419.719,3196033.199,4031039.715,3359355.578,3522527.93,
11.518,449.14874,+,2.9369251E7,,,1,2.446164812E7,1.782974859E7,2.595934058E7,1.888915885E7,1.883338479E7,2.9369251E7,
11.538,664.38251,+,3909111.314,,,1,3909111.314,2726433.283,2905061.879,1749718.494,1001948.896,2182022.185,
11.572,502.31583,+,5.235927993E7,,,2,4.017607602E7,1.606222155E7,5.235927993E7,5.173779904E7,1.969286851E7,5.075651474E7,
11.582,474.28458,+,2.55061318E7,,,1,2.003735551E7,6297411.764,2.173250111E7,2.373672234E7,1.972152631E7,2.55061318E7,
11.582,413.11636,+,1519266.51,,,1,256520.5285,1068863.971,1125617.992,920473.4984,1505114.292,1519266.51,
11.586,460.26883,+,5.651187255E7,,,3,5.651187255E7,2.231377782E7,4.953690912E7,4.348047691E7,2.4627618E7,4.672000788E7,
11.592,281.13788,+,1.862848378E8,,,4,1.44878721E8,1.297942322E8,1.202023327E8,1.231373384E8,1.438330694E8,1.862848378E8,
11.595,514.31628,+,2.905447474E8,,,3,1.828192679E8,2.905447474E8,1.50193601E8,1.26679998E8,1.159284105E8,1.132108411E8,
11.597,295.11719,+,9.558571638E7,,,5,8.203482381E7,6.825741994E7,6.164198579E7,6.583176212E7,7.370034219E7,9.558571638E7,
11.601,446.25339,+,3.682029642E7,,,2,3.682029642E7,2.009336216E7,2.967987053E7,3.489457382E7,1.665111912E7,3.668630006E7,
11.606,488.29999,+,7.965062563E7,,,2,5.642331093E7,4.155442837E7,5.566220236E7,7.965062563E7,2.903265615E7,6.360463181E7,
11.614,415.21219,+,1.1200435359E10,,,8,8.662947252E9,7.779222444E9,5.267289458E9,1.1200435359E10,5.386007802E9,5.031999777E9,
11.615,215.08295,+,3410593.304,,,1,3410593.304,3369882.346,1993397.318,2548452.226,2472341.154,2595118.247,
11.636,488.26395,+,9.851335979E7,,,2,9.851335979E7,1.231816149E7,3.007863334E7,5.253665505E7,5.473016827E7,5.199518966E7,
11.64,502.27979,+,1.215120989E8,,,6,7.424831666E7,2.460667284E7,1.215120989E8,8.444651516E7,4.011752808E7,5.734248612E7,
11.64,872.43854,+,2616548.332,,,1,1053766.447,1035426.9,2616548.332,2224843.179,1621319.491,1943605.999,
11.668,415.16928,+,1020310.501,,,1,1020310.501,405276.1481,186302.757,716274.3133,782947.2321,299911.846,
11.825,286.14355,+,2.431955927E8,,,4,1.210356488E8,7.293068938E7,1.029128231E8,8.221522497E7,7.96672976E7,2.431955927E8,
11.868,446.25339,+,4.267825448E7,,,2,3.511145577E7,7859646.21,2.874491761E7,4.267825448E7,2.712942994E7,2.846401965E7,
11.882,460.26898,+,9.201625654E7,,,2,9.201625654E7,4122766.636,4.192546403E7,7.740940413E7,1.994118537E7,5.113537732E7,
11.889,516.33136,+,3.630693153E8,,,2,7.106238969E7,1268402.629,5.272711391E7,3.630693153E8,6304606.995,2.181532271E8,
11.894,291.10144,+,6723997.146,,,6,4377044.465,6513881.432,6581610.429,5949936.04,5982524.092,6723997.146,
11.913,415.21194,+,1.3979202773E10,,,6,1.3350471504E10,1.3979202773E10,9.372362969E9,2.439484293E9,4.961189905E9,6.428314023E9,
11.915,474.28476,+,5.009214124E7,,,2,4.082092192E7,2.551328079E7,1414290.658,5.009214124E7,4.940040082E7,3.428649887E7,
11.924,488.2641,+,1.23790275E8,,,4,2.295584305E7,7.815687288E7,6.403248729E7,7.047883922E7,1.23790275E8,5.258425533E7,
11.948,385.09045,+,1508120.384,,,1,327770.0095,1508120.384,403313.8218,507550.2608,1330614.203,232051.3068,
11.956,281.13806,+,3.52267784E8,,,3,3.254009244E8,3.52267784E8,1.982817475E8,2.966315131E8,2.405791613E8,3.179079523E8,
11.962,415.33459,+,1476516.755,,,1,645161.4935,832009.4784,675228.4073,1476516.755,583664.6314,788291.9611,
11.963,488.30011,+,1.696399204E8,,,1,1.516296644E8,7.156254085E7,5.380708834E7,1.183478174E8,1.121215196E8,1.696399204E8,
11.967,502.31601,+,1.964834613E8,,,3,3.628419915E7,6.09373092E7,7.061100162E7,1.964834613E8,5.31684858E7,9.944780242E7,
11.968,295.11746,+,4.119372713E8,,,2,4.119372713E8,3.272454164E8,1.140647784E8,1.713723733E8,1.208940618E8,2.573707328E8,
12.1,453.18771,+,1.080688221E8,,,3,3.449098569E7,5.119146922E7,7.065602548E7,5.998711137E7,8.908243679E7,1.080688221E8,
12.112,502.27966,+,2.261360542E8,,,1,1.839261336E8,1.459867338E8,1.786988925E8,2.261360542E8,7.631101697E7,1.479645102E8,
12.221,385.20074,+,2.366759411E7,,,1,1.872699965E7,1.633930358E7,1.264839217E7,2.24209151E7,2.366759411E7,2.064502771E7,
12.249,514.3158,+,4.14704749E8,,,3,1.795090129E8,3.294889991E8,4.14704749E8,3.980054091E8,2.763305968E8,2.868525561E8,
12.265,517.13586,+,6708345.816,,,1,6708345.816,6334369.031,5706523.279,4756551.449,2099311.136,2559152.665,
12.275,295.11737,+,5.875331526E8,,,3,5.875331526E8,1.382009212E8,2.072957657E8,2.029172201E8,2.132145909E8,2.154205119E8,
12.277,415.21213,+,2.4544712956E10,,,7,2.4544712956E10,2.1580184235E10,1.6939141924E10,2.1678024621E10,2.3096141298E10,2.3010189134E10,
12.293,460.26883,+,1.515350026E8,,,1,8.599409334E7,1.186865461E8,1.301553835E8,1.030699097E8,7.670595892E7,1.515350026E8,
12.306,502.27979,+,2.147870741E8,,,6,1.909808296E8,7.05119428E7,1.786988925E8,1.988421045E8,5.143393765E7,2.147870741E8,
12.311,502.31583,+,2.289957283E8,,,6,1.043714056E8,6.200355278E7,1.870066326E8,1.423620049E8,4.46787045E7,2.289957283E8,
12.313,446.25305,+,8.627661368E7,,,3,8.627661368E7,8.035582938E7,7.78451508E7,7.755060638E7,6.399194671E7,6.60706169E7,
12.315,459.2179,+,2.801759954E7,,,1,2.130031281E7,1.891874352E7,1.82821862E7,1.688585309E7,1.541583548E7,2.801759954E7,
12.316,281.13788,+,5.742520713E8,,,5,5.742520713E8,4.630235792E8,5.199294145E8,3.735684262E8,4.409826751E8,4.147358015E8,
12.316,474.28458,+,1.062527061E8,,,7,5.813207573E7,4.967310405E7,1.062527061E8,6.160479757E7,4.052615066E7,7.528382906E7,
12.331,488.26352,+,1.766257655E8,,,4,1.766257655E8,1.156125188E8,1.003531639E8,1.086168921E8,9.955837595E7,1.478128416E8,
12.333,325.20071,+,3284063.067,,,2,2541884.989,1269771.655,2066882.714,3284063.067,3111867.034,2067819.864,
12.362,413.11517,+,2806424.725,,,1,2167151.603,1156078.054,811600.3261,2297687.018,2806424.725,2782926.622,
12.365,851.39636,+,3.272105051E8,,,6,3.272105051E8,2.68099744E8,2.67560228E8,2.897779733E8,2.595959935E8,2.96450237E8,
12.373,418.21744,+,2.239886418E7,,,1,1.616570986E7,1.448062993E7,1.587504046E7,1.021952499E7,2.239886418E7,1.152669937E7,
12.379,707.35553,+,2.3582898E7,,,1,1.353021563E7,1.230608658E7,9695879.149,9649054.146,1.111483426E7,2.3582898E7,
12.382,432.23773,+,8.208396104E9,,,1,8.208396104E9,2.580285361E9,3.166241088E9,5.510409839E9,1.672185623E9,6.781060924E9,
12.387,644.45245,+,3065717.207,,,1,2243485.98,2339761.304,2409906.986,2121508.263,3065717.207,1973452.169,
12.391,872.43732,+,7699103.866,,,1,4456196.682,4770931.729,7699103.866,5575852.615,1634933.474,4188100.831,
12.431,415.29337,+,746711.3664,,,1,351791.7208,228703.5297,164319.0573,207755.7017,320591.6789,746711.3664,
12.466,290.26889,+,7091330.612,,,1,7058943.74,6575460.851,5853124.117,6672121.002,6205767.906,7091330.612,
12.481,304.29953,+,7164581.851,,,5,5265482.092,6744752.845,7164581.851,6306165.425,5640162.618,5577381.127,
12.498,635.0647,+,2372587.46,,,1,1642724.37,1210374.639,1053295.291,1946111.005,1928402.966,2372587.46,
12.511,358.20078,+,1.194118453E8,,,5,1.194118453E8,9.554680052E7,1.013063274E8,1.025571857E8,8.712591287E7,1.149819988E8,
12.512,453.18787,+,5.665093903E7,,,2,3.875816078E7,4.162939869E7,4.601651544E7,4.610447779E7,5.665093903E7,5.078573226E7,
12.537,474.2486,+,1.614084957E7,,,1,1.556733799E7,1.308845134E7,1.429092334E7,1.032368689E7,6595279.533,1.614084957E7,
12.538,387.19302,+,4.809250775E7,,,1,5176364.377,4.809250775E7,2.873426701E7,3.025747776E7,9363175.413,2.822933639E7,
12.548,312.15958,+,2.015131405E7,,,2,2.015131405E7,1.246763238E7,8790809.472,8874502.246,8678320.58,1.51174416E7,
12.567,344.27942,+,8293402.546,AC 12:0,AC,5,7688265.494,8293402.546,7233758.434,7583068.9,7715433.486,8057990.68,
12.571,402.16583,+,917807.2488,,,2,596716.0884,764827.0186,687700.064,645554.708,833893.9904,917807.2488,
12.651,385.20105,+,8.292777856E7,,,9,7.853954778E7,6.889507028E7,4.879100498E7,3.826993639E7,6.910976913E7,8.292777856E7,
12.654,431.20679,+,6.383777897E7,,,5,2.768420384E7,2.641006643E7,2.931102709E7,5.559093121E7,2.445756897E7,6.383777897E7,
12.655,291.10117,+,1.004497898E7,,,5,8938408.638,1.004497898E7,5722751.935,8371332.162,8112216.776,5660578.049,
12.67,227.16154,+,1.479118842E8,,,1,2.049918375E7,1.419055129E8,2.828346825E7,1.479118842E8,3.413000178E7,1.388559361E7,
12.709,635.06464,+,1421817.219,,,1,835939.1632,725127.9002,1421817.219,747188.548,854848.3809,627787.3393,
12.713,305.14691,+,4107024.424,,,2,500916.5737,534370.794,4107024.424,3562552.991,1129309.478,646349.8614,
12.719,588.37433,+,3751976.494,,,4,2819909.074,2671487.645,3751976.494,2799872.901,2604363.185,2654716.424,
12.731,413.07401,+,929636.1269,,,1,354178.7258,478929.3934,307327.2839,458130.8114,929636.1269,702466.7473,
12.755,307.24777,+,5958331.26,,,1,3322575.15,3666528.155,4662633.562,4951527.361,5958331.26,5809046.641,
12.759,335.13208,+,7519385.408,,,2,7519385.408,5773693.164,6931065.946,5356586.9,4616749.043,6598580.226,
12.773,443.20639,+,2.348963068E7,,,4,1.090452104E7,1.878156592E7,1.135299754E7,1.33396004E7,2.348963068E7,1.225082434E7,
12.829,307.09406,+,669226.1849,,,1,588403.4965,490166.454,83764.42619,582390.8528,669226.1849,639309.1842,
12.861,387.19293,+,2.892550084E7,,,5,1.734538631E7,2.50927532E7,2.892550084E7,1.718619298E7,2.675899755E7,2.211671821E7,
12.864,293.15076,+,2.372707149E8,,,10,2.372707149E8,1.83728394E8,7.896502569E7,1.238499279E8,2.281681752E8,1.853424684E8,
12.865,457.22198,+,7.249880802E7,,,6,5.341088516E7,6.43624207E7,4.297664209E7,6.633609298E7,1.820774211E7,7.249880802E7,
12.883,429.22717,+,3.933954511E7,,,5,2.995635162E7,2.777405082E7,2.995164447E7,3.121169971E7,3.041631338E7,3.933954511E7,
12.929,309.20593,+,1.11038494E7,,,6,6379044.831,7022626.792,6672143.346,8477955.129,6034468.137,1.11038494E7,
12.953,546.26971,+,2.334470319E7,,,1,1.756154508E7,2.179026497E7,1.234965133E7,2.334470319E7,1.769229601E7,1.667487571E7,
12.971,377.13837,+,604404.6546,,,5,393967.4837,604404.6546,417866.0851,485201.083,431216.4384,422533.6365,
12.973,227.16168,+,1.482090734E8,,,5,7.08919722E7,7.719228903E7,5.276421267E7,1.482090734E8,7.218053152E7,5.752909088E7,
12.99,563.31342,+,1784744.853,,,3,1784744.853,1466469.913,1647063.357,1274403.815,1521660.148,1391546.007,
12.997,581.2699,+,2.561917005E7,,,5,2.561917005E7,2.091854931E7,9952351.822,1.231644452E7,1.128136053E7,1.506366151E7,
12.999,395.12784,+,6697938.94,,,6,6231156.123,4907287.436,5410357.498,6697938.94,6106334.44,6370405.364,
13.019,440.27701,+,714617.8182,LysoPC 12:0,LysoPC,1,656573.3013,520327.5254,714617.8182,537235.5923,618241.8575,621327.5811,
13.025,269.13809,+,7536751.029,,,1,7536751.029,4777801.24,3077159.172,5271668.003,1837023.076,3847129.138,
13.062,346.13516,+,644963.9961,,,1,148006.8282,52008.51681,210130.7618,296788.6914,110555.0421,644963.9961,
13.068,223.06381,+,1.143928837E8,,,4,860521.934,2579759.64,3.295910745E7,7.555710257E7,7.006057571E7,1.143928837E8,
13.069,337.07489,+,9.774716241E7,,,6,6651086.56,6121597.561,2.951213213E7,6.730249045E7,8.731283795E7,9.774716241E7,
13.071,281.05096,+,1.565179606E7,,,3,157264.5644,3433144.309,4912205.828,1.378053949E7,1.418068817E7,1.565179606E7,
13.071,357.27875,+,1979609.56,,,1,975664.6968,1143744.388,1979609.56,1047486.242,1500011.984,1453612.109,
13.071,381.08203,+,1490369.201,,,3,39621.26679,42675.77974,313221.2869,935533.3052,1096452.197,1490369.201,
13.072,207.03223,+,884902.1213,,,3,104687.1804,237154.0858,243649.3182,807971.9422,848623.3451,884902.1213,
13.094,304.29968,+,2.789726652E7,,,6,1.131335E7,2.199920357E7,1.305372834E7,2.210989705E7,9611760.677,2.789726652E7,
13.095,399.21671,+,1.185473582E8,,,2,1.185473582E8,8.170209308E7,8.693091705E7,6.260633887E7,4.454419371E7,1.922867434E7,
13.13,370.29507,+,4.945169294E7,AC 14:1,AC,5,2.441358426E7,2.553128378E7,3.959803836E7,3.711425722E7,4.794671502E7,4.945169294E7,
13.133,294.2063,+,3.038745111E7,,,6,1.9351449E7,2.736627203E7,2.877466133E7,3.038745111E7,2.363766026E7,2.792447915E7,
13.147,305.14703,+,2930898.986,,,1,2930898.986,367045.3837,376730.3601,501630.699,712959.5011,1942773.631,
13.151,221.11708,+,7.960793509E7,,,1,3.822152728E7,4.319777385E7,5.345070387E7,4.269338633E7,4.01260554E7,7.960793509E7,
13.215,400.2692,+,771566.3611,,,1,267747.8248,298490.7239,324553.7098,771566.3611,268591.6793,351253.1897,
13.224,572.37909,+,4032675.44,,,1,2239109.365,2061343.46,2961946.299,4032675.44,1983140.832,2223663.976,
13.23,253.10696,+,1087763.241,,,1,541546.4545,529885.9896,1087763.241,118738.4344,432438.125,308147.6862,
13.243,602.33264,+,1.312388587E7,,,5,1.06352022E7,1.312388587E7,9458634.206,1.143071707E7,1.152235719E7,1.146819809E7,
13.246,635.17047,+,1295626.028,,,1,733526.2687,724430.4568,646671.6614,1295626.028,796812.742,854020.8315,
13.254,594.27057,+,2697219.841,,,1,2505142.866,2340020.223,2298065.731,1865055.568,2662326.625,2697219.841,
13.273,331.18777,+,1.074507293E7,,,3,4293126.169,3919149.377,2874876.747,1.074507293E7,4177786.82,3347388.409,
13.281,454.31595,+,1.596070156E7,,,1,1.424493341E7,1.379542692E7,1.596070156E7,1.311750971E7,1.071243276E7,7767575.623,
13.282,465.34537,+,634462.5174,,,4,483914.2433,382982.6247,580928.2538,634462.5174,384694.2928,375405.9751,
13.302,335.21915,+,1.532662094E7,,,3,1.237047416E7,1.155564452E7,1.532662094E7,1.243284606E7,1.150215428E7,1.125951889E7,
13.308,269.1723,+,1299843.246,,,1,1028089.822,1182591.682,1299843.246,747716.4111,351691.2259,768310.0008,
13.323,373.25848,+,647902.922,,,1,491234.9708,258989.1903,319958.3565,502581.8705,359412.7721,647902.922,
13.345,399.21637,+,8.106230779E7,,,6,4.192467582E7,4.838658787E7,5.180616961E7,3.395524718E7,6.73469013E7,8.106230779E7,
13.363,221.13228,+,3.632852048E7,,,3,1426946.824,1.824157289E7,3.32398359E7,3.632852048E7,2.360994874E7,2.705360071E7,
13.368,494.30322,+,1044242.961,,,5,475984.8647,798854.8984,771314.5377,981994.1424,622620.9547,1044242.961,
13.389,498.32153,+,6703665.751,,,2,1068715.711,695857.7109,5941700.665,6703665.751,680356.6572,5377144.196,
13.394,395.12778,+,3272348.333,,,1,2630584.035,3115019.473,2539579.871,2518889.135,2377737.149,3272348.333,
13.396,263.12769,+,8316939.984,,,1,5527630.319,8076936.029,1362320.549,4647906.618,6052632.423,8316939.984,
13.401,602.33246,+,1.738978419E7,,,6,1.728025786E7,1.396025598E7,1.607155581E7,1.638605258E7,1.38809982E7,1.738978419E7,
13.407,484.30536,+,9938652.505,,,2,1576330.328,1007610.533,6656793.912,6912713.096,675683.8834,9938652.505,
