Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20191118_KAO_1uLPool.raw (F1),20191118_KAO_2pt5uLPool.raw (F2),20191118_KAO_5uLPool.raw (F3),20191118_KAO_5uLPool_20191118202447.raw (F4),20191118_KAO_5uLPool_20191119024733.raw (F5),20191118_KAO_methodBlank.raw (F6),20191118_KAO_methodBlank_20191119031929.raw (F7),20191118_KAO_T550M.raw (F8),20191118_KAO_T551M.raw (F9),20191118_KAO_T552M.raw (F10),20191118_KAO_T553M.raw (F11),20191118_KAO_T562M.raw (F12),20191118_KAO_T568M.raw (F13),20191118_KAO_T569M.raw (F14),20191118_KAO_T570M.raw (F15),20191118_KAO_T571M.raw (F16),20191118_KAO_T582M.raw (F17),20191118_KAO_T650M.raw (F18),20191118_KAO_T651M.raw (F19),20191118_KAO_T652M.raw (F20),20191118_KAO_T653M.raw (F21),20191118_KAO_T690M.raw (F22),20191118_KAO_T691M.raw (F23),20191118_KAO_T692M.raw (F24),20191118_KAO_T713M.raw (F25),20191118_KAO_T714M.raw (F26),20191118_KAO_T715M.raw (F27),20191118_KAO_waterBlank_20191119035125.raw (F28)
1.811,620.32324,+,992548.2091,,,22,98712.3243,298686.5246,675480.6427,637073.8281,727406.9621,4619.68399,4692.423507,655687.9789,940540.3158,385183.8053,172353.1663,891165.3289,631910.3266,824146.9512,437734.2176,544522.5553,648941.5461,992548.2091,766774.2197,359572.666,416560.4936,848893.2366,804631.5402,414056.221,575043.3634,548509.6148,572431.7481,1217.464229
1.818,718.53088,+,2275302.618,,,26,1522019.859,825741.4152,336996.5411,342085.2792,360977.7149,691892.5434,651947.6352,1566199.255,981792.6498,1148800.265,1549931.202,1418362.035,1205626.926,1222468.292,1408766.177,2153657.146,1194289.046,1195175.33,1375108.307,1113188.855,982246.9806,1385888.007,1428009.273,1487133.019,2136100.543,1202625.668,2275302.618,1622.604044
1.83,674.50452,+,3142564.233,,,26,2176030.417,1538147.231,520689.1922,486415.5382,442133.4335,956079.2427,972310.8527,2087705.281,1376010.899,1634352,2091359.372,1963601.065,1619078.426,1646965.676,1911392.405,3142564.233,1795022.707,1771915.048,1812208.135,1698951.397,1313530.082,2058049.862,2069175.321,2011924.394,2893831.493,1702196.056,3061132.914,1617.431834
1.841,630.4787,+,4060299.793,,,27,2831935.471,2023814.465,636335.078,483337.5128,629072.0889,1221417.376,1222069.542,2093097.716,1610289.69,2154851.536,2555145.594,2496877.855,2139377.03,2180050.32,2393546.316,4060299.793,2373908.333,2218391.185,2490482.424,2344278.459,1670530.607,2701722.233,2608038.099,2720483.287,3764274.781,2412625.009,3968942.797,1633.307424
1.853,586.45215,+,4666920.375,,,27,3240940.813,2309684.923,736381.3753,703724.1668,758087.3901,1377721.584,1373445.103,2716087.326,1744036.085,2593689.055,3001339.389,3028055.852,2345059.29,2447712.821,2793120.091,4500647.008,2788386.37,2474682.631,2777767.531,2640731.406,1866855.253,3017599.574,2977394.561,2619822.39,4182400.646,2728452.969,4666920.375,1647.098273
1.864,542.42621,+,4248414.219,,,27,3254127.804,2202771.431,663333.8497,615599.4602,673236.0405,1319951.909,1356310.445,2454700.566,1449633.54,2518817.64,2715436.973,2930476.872,2255384.509,2321433.634,2569312.891,4174610.589,2708240.562,2393882.764,2624735.227,2776997.224,1778739.146,2957983.122,2748791.206,2487832.755,3904030.827,2555259.41,4248414.219,1664.534265
1.871,453.22046,+,853952.8984,,,4,80769.21732,79573.8682,14905.37594,13450.31598,20101.24157,31784.55052,131602.0373,290668.5074,137400.3257,258049.5685,112130.7081,146008.9824,322556.8959,242315.8721,598712.5437,509394.4745,403925.9482,767916.6213,439430.762,202386.5541,101223.54,611968.9321,584761.0475,209839.5444,667689.4778,421117.1171,853952.8984,1866.981208
1.872,498.39993,+,3633004.804,,,25,2818632.061,1677853.169,465203.9516,494100.6215,461444.4187,1073518.654,1130905.372,2134837.061,1336691.148,2067944.962,2394365.888,2454298.092,1921054.256,1567615.163,2186404.089,3349476.819,2374536.715,2027526.224,2001571.105,2346627.12,1432975.629,2480299.354,2346566.469,2421450.133,2828424.536,1782757.592,3633004.804,1631.376251
1.879,454.37363,+,3468114.058,,,27,2571477.553,1529421.898,383609.8327,379807.6294,438770.6144,960060.487,1046771.691,1844083.279,1142000.949,2016244.864,2219073.534,2388928.265,1834542.7,1849909.392,2026187.354,3019771.585,2269492.174,1847118.341,2323477.694,2236057.252,1248371.485,2312964.647,1735478.27,2227197.703,2844871,2128983.398,3468114.058,1723.4517
1.889,410.34741,+,1783024.234,,,23,1229714.382,1059331.556,132404.6226,112760.9779,152335.7053,567463.628,563290.3194,942280.0885,521106.8509,1086117.054,1328275.139,1359379.64,927421.5974,1041868.879,1151968.373,1564109.719,1215292.824,898453.7574,970108.2202,1193754.923,677209.6452,1236691.183,1167971.977,971014.1662,1491034.696,1100447.367,1783024.234,1741.572314
