i,RBG,FBG,all
l_173,601.0587941852793,924.5393530127219,1812.2642976928073
l_174,507.49865227621194,1227.178337918139,1749.8580053704097
l_175,-76.12103100816981,1867.4325713417447,2040.6989143745768
l_176,583.264939602026,288.8607792818132,882.1685520788143
l_177,899.476901289596,-76.57308013821387,1232.6668937999289
l_178,928.1046224116327,1313.4361708581257,2214.472543056828
l_179,797.5303132634467,1265.689516729954,2578.354644204538
l_180,131.14460360952677,1613.0423118299543,1844.4610202504516
l_181,736.7884839161192,956.0067194856463,1464.8400192893496
l_182,-2052.472384530507,-211.1977559296346,-2142.581356179459
l_183,-1729.7546312174795,1602.7102101067603,1402.97813841718
l_184,723.8274800923363,1622.728585440221,2549.222008168338
l_185,270.7618744185421,-21.855365471487065,357.91612794719435
l_186,1356.6066990171967,535.1203436110213,1710.0543411823173
l_187,2459.2154706155557,81.17432170289574,2065.0894015386093
l_188,1465.3429511292572,556.2503526516456,1966.799406709748
l_189,883.0713477513077,569.073059028487,1802.197075879836
l_190,840.1007109670344,150.68279386200425,1162.3505185633235
l_191,-738.425222089436,-1230.814971117438,-1120.1412183208865
l_192,-718.9769726404679,-1137.3042908156433,-1173.3276060005676
l_193,1364.9312138917319,-194.95741964904167,662.3794463553528
l_194,489.95219342914953,305.3581902538877,1211.7200450581233
l_195,430.7035016711483,-350.8512913243227,32.650238086583386
l_196,951.6342862968171,520.7963534760571,246.00649247135667
l_197,918.5142871791095,243.87771113320537,1404.17984416599
l_198,-2732.7728016269843,-1307.0928517890886,-3801.79245956176
l_199,-593.7937175863041,-492.6027838485206,600.841744239372
l_200,-1826.6363854102456,-707.6816558644729,-1705.078006749599
l_201,-1131.109219702412,-1184.290213726875,-1672.5414981554206
l_202,853.6428202566223,-79.54455862459217,836.4782847150924
l_203,-898.9162472774432,501.0970078661625,1259.1644286744456
l_205,5.701301764117773,222.52024122888628,966.7495697908454
l_204,85.12912090202926,100.64280145248009,1095.145150650579
l_206,989.5086227570312,1291.933625661315,1708.6736722800758
l_207,-130.322691373445,909.001133339116,1091.1490757010392
l_208,173.51845254600545,-1389.817352413383,-1254.770059377852
l_209,1884.2184533117486,290.53675674309346,1950.5742622179582
l_210,512.1322899474792,-1278.9356521396553,-155.18885170856743
l_211,2650.7261362219856,2004.8669729119556,2567.273083383318
l_212,1815.0658479861218,-452.14490300945687,1227.4043990528533
l_213,-16.287794518397906,-311.2566256157113,429.363640790473
l_214,4.953686246609913,-182.17104090162834,826.6655591489885
l_215,-12.252766750390554,-1018.8784562839862,-75.69276903044211
l_216,518.8596150443817,925.5632526542157,316.82388311823166
