,variable,value,dummy
95,FBG,0.5554776112620449,dummy
96,FBG,0.19275220160253548,dummy
97,FBG,0.12963186415337016,dummy
98,FBG,0.030840893045680398,dummy
99,FBG,0.03788855023000324,dummy
100,FBG,0.31415246218597076,dummy
101,FBG,0.05614305324362493,dummy
102,FBG,0.13828243601883652,dummy
103,FBG,0.1047457015651424,dummy
104,FBG,0.08196113384036416,dummy
105,FBG,0.37802096178324884,dummy
106,FBG,0.18430491405505753,dummy
107,FBG,0.09428485828380645,dummy
108,FBG,0.08396779164072525,dummy
109,FBG,0.15451697533293854,dummy
110,FBG,0.08322233923742368,dummy
111,FBG,0.05067418187250695,dummy
112,FBG,0.305976271339398,dummy
113,FBG,0.11169893063187364,dummy
114,FBG,0.08744528372413185,dummy
115,FBG,0.05701860311038449,dummy
116,FBG,0.031530699185904065,dummy
117,FBG,0.40154109041649527,dummy
118,FBG,0.16889697252118183,dummy
119,FBG,0.23398941448450442,dummy
120,FBG,0.04092909381811257,dummy
121,FBG,0.30125424439004106,dummy
122,FBG,0.41092687850940884,dummy
123,FBG,0.10959356040583403,dummy
124,FBG,0.05539700778388032,dummy
125,FBG,0.1649748368424714,dummy
126,FBG,0.16353528114393182,dummy
127,FBG,0.19519534316915155,dummy
128,FBG,0.12192401147445314,dummy
129,FBG,0.3992909473405428,dummy
130,FBG,0.05510213308180506,dummy
131,FBG,0.17071949075745044,dummy
132,FBG,0.042040767563758664,dummy
133,FBG,0.46038806118971554,dummy
134,FBG,0.14988091674082707,dummy
135,FBG,0.22352357690052896,dummy
136,FBG,0.03487129296066158,dummy
137,FBG,0.16909573438417289,dummy
138,FBG,0.22332579360479307,dummy
139,FBG,0.18897065162408255,dummy
140,FBG,0.2442674107411202,dummy
141,FBG,0.16708882891989352,dummy
142,FBG,0.17583447907016247,dummy
143,FBG,0.3341099462704598,dummy
144,FBG,0.1611076104385745,dummy
145,FBG,0.17198174339083908,dummy
146,FBG,0.04599314720491732,dummy
147,FBG,0.24317496081169687,dummy
148,FBG,0.12739930281552428,dummy
149,FBG,0.06681085321109398,dummy
150,FBG,0.5142796427567998,dummy
151,FBG,0.09212494330783035,dummy
