,variable,value,dummy
160,FBG,0.17027824472507566,dummy
161,FBG,0.24941696125639537,dummy
162,FBG,0.3874107397429036,dummy
163,FBG,0.2108553759495797,dummy
164,FBG,0.44675568658050097,dummy
165,FBG,0.31261301282007964,dummy
166,FBG,0.02450773011749018,dummy
167,FBG,0.3083608705151291,dummy
168,FBG,0.13705494786856434,dummy
169,FBG,0.09142308189352853,dummy
170,FBG,0.18763006051215883,dummy
171,FBG,0.3045576401308329,dummy
172,FBG,0.19487383651291376,dummy
173,FBG,0.28313468956887083,dummy
174,FBG,0.2816509095205922,dummy
175,FBG,0.06269156468682963,dummy
176,FBG,0.25901772403805384,dummy
177,FBG,0.21502679916243084,dummy
178,FBG,0.1522286227828933,dummy
179,FBG,0.36431621546133025,dummy
180,FBG,0.2912698534792459,dummy
181,FBG,0.15288030764294055,dummy
182,FBG,0.2270277587973489,dummy
183,FBG,0.2971779381176064,dummy
184,FBG,0.1007443877901976,dummy
185,FBG,0.34282537700327137,dummy
186,FBG,0.1701625988388394,dummy
187,FBG,0.14917115273066986,dummy
188,FBG,0.1868347491239332,dummy
189,FBG,0.3171441824843615,dummy
190,FBG,0.11668078511487127,dummy
191,FBG,0.3527582739942927,dummy
192,FBG,0.15482674393941362,dummy
193,FBG,0.3409932367437835,dummy
194,FBG,0.16063621032160133,dummy
195,FBG,0.1731214284880366,dummy
196,FBG,0.21079246179696898,dummy
197,FBG,0.3307402278107537,dummy
198,FBG,0.2036269553975926,dummy
199,FBG,0.13388692146549644,dummy
200,FBG,0.22606415737816063,dummy
201,FBG,0.2049997852321336,dummy
202,FBG,0.14325573942803407,dummy
203,FBG,0.4624961638446858,dummy
204,FBG,0.21589563143778476,dummy
205,FBG,0.15735950268645127,dummy
206,FBG,0.11651440125320335,dummy
207,FBG,0.3098692919059746,dummy
208,FBG,0.3354700581915422,dummy
209,FBG,0.14341660524806074,dummy
210,FBG,0.07018780060296746,dummy
211,FBG,0.21341992647770505,dummy
212,FBG,0.20566458546171992,dummy
213,FBG,0.2931007649512582,dummy
214,FBG,0.26325123457240496,dummy
215,FBG,0.18584789772395868,dummy
216,FBG,0.2619295015186393,dummy
217,FBG,0.5569807521803599,dummy
218,FBG,0.13099351280646218,dummy
219,FBG,0.3127995089400247,dummy
220,FBG,0.26111172184970377,dummy
221,FBG,0.19990396919729803,dummy
222,FBG,0.36277439064404077,dummy
223,FBG,0.3277401356604957,dummy
224,FBG,0.20009833519194853,dummy
225,FBG,0.18718204090415505,dummy
226,FBG,0.18720681676089465,dummy
227,FBG,0.2126244461954774,dummy
228,FBG,0.4429532158722734,dummy
229,FBG,0.15190209559435272,dummy
230,FBG,0.3615579791414128,dummy
231,FBG,0.19525122973156275,dummy
232,FBG,0.258684667946468,dummy
233,FBG,0.32971967819274467,dummy
234,FBG,0.33656560949446096,dummy
235,FBG,0.07849632062291394,dummy
236,FBG,0.16688658596733716,dummy
237,FBG,0.1703489282137499,dummy
238,FBG,0.16090678973783504,dummy
239,FBG,0.21986251695887524,dummy
240,FBG,0.16328883473310885,dummy
241,FBG,0.31437633439599527,dummy
242,FBG,0.22450651555078205,dummy
243,FBG,0.1784067216879209,dummy
