File,Feature Groups,Avg. Peak FWHM (min.),Peak Capacity,Identified Lipids,Avg. MS2 Purity,Avg. Lipid Mass Error(ppm)
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210413_10wk_RBG.raw (F52),1203,0.091,211.582,212,41.635,0.323
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210327_8wk_FBG.raw (F53),1264,0.092,219.336,237,47.084,0.637
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210330_8wk_RBG.raw (F54),1360,0.092,208.88,244,43.45,0.299
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210402_9wk_FBG.raw (F55),1258,0.092,212.51,226,45.505,0.42
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210406_9wk_RBG.raw (F56),1452,0.093,213.838,261,47.131,0.899
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210410_10wk_FBG.raw (F57),1183,0.092,209.282,216,45.221,0.49
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210413_10wk_RBG.raw (F58),1359,0.092,216.043,255,44.048,0.458
20210729_AJ_Toh_RatBloodGlucose_T1102M_20210327_8wk_FBG.raw (F59),1357,0.092,219.315,245,47.924,0.616
20210729_AJ_Toh_RatBloodGlucose_T1102M_20210330_8wk_RBG.raw (F60),1383,0.095,215.052,292,47.32,0.42
20210729_AJ_Toh_RatBloodGlucose_T1102M_20210402_9wk_FBG.raw (F61),1336,0.091,218.527,244,47.2,0.606
20210729_AJ_Toh_RatBloodGlucose_T1102M_20210406_9wk_RBG.raw (F62),1447,0.095,215.073,284,47.643,0.385
20210729_AJ_Toh_RatBloodGlucose_T1102M_20210410_10wk_FBG.raw (F63),1418,0.091,221.868,266,47.355,0.498
20210729_AJ_Toh_RatBloodGlucose_T1102M_20210413_10wk_RBG.raw (F64),1329,0.094,217.414,273,47.65,0.243
20210729_AJ_Toh_RatBloodGlucose_Water_R1.raw (F65),9,0.088,187.852,0,100.0,0.391
20210729_AJ_Toh_RatBloodGlucose_Water_R2.raw (F66),12,0.114,121.798,0,NaN,-0.743
20210729_AJ_Toh_RatBloodGlucose_Water_R3.raw (F67),13,0.113,122.929,0,NaN,-0.686
