MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
2712,16.857,1,TG 18:1_18:1_20:4 [M+NH4]+;,924.802,924.802,0.0,706,794,100,TG 18:1_18:1_20:4 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,265.2526 | 287.2369 | 603.5347 | 625.519 | 
2713,16.858,1,TG 17:0_18:1_22:6 [M+NH4]+;,936.802,936.802,0.0,78,1000,0,,true,true,LipiDex_HCD_Acetate.msp,253.2526 | 265.2526 | 311.2369 | 591.5347 | 637.519 | 649.519 | 
2729,16.951,1,TG 16:1_16:0_18:1 [M+NH4]+;,848.77,848.7707,-0.8247,821,947,100,TG 16:1_16:0_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,237.2213 | 239.2369 | 265.2526 | 549.4877 | 575.5034 | 577.519 | 
2732,16.972,1,TG 17:1_17:1_18:1 [M+Na]+;,879.741,879.7418,-0.9094,39,1000,0,,true,true,LipiDex_HCD_Acetate.msp,597.4853 | 611.501 | 
2733,16.974,1,TG 18:1_18:1_22:5 [M+NH4]+;,950.817,950.8177,-0.7362,44,1000,0,,true,true,LipiDex_HCD_Acetate.msp,265.2526 | 313.2526 | 603.5347 | 651.5347 | 
2736,16.993,1,TG 16:1_16:0_18:1 [M+Na]+;,853.726,853.7261,-0.1171,178,999,0,,true,true,LipiDex_HCD_Acetate.msp,571.4697 | 597.4853 | 599.501 | 
2737,16.994,1,TG 18:2_18:1_18:1 [M+NH4]+;,900.801,900.802,-1.1101,896,905,100,TG 18:2_18:1_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,263.2369 | 265.2526 | 601.519 | 603.5347 | 
2740,17.015,1,TG 16:0_18:2_18:1 [M+NH4]+;,874.786,874.7864,-0.4573,895,910,67,TG 16:0_18:2_18:1 [M+NH4]+(67) / TG 16:1_18:1_18:1 [M+NH4]+(33),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 263.2369 | 265.2526 | 575.5034 | 577.519 | 601.519 | 237.2213 | 603.5347 | 
2741,17.017,1,TG 18:2_18:1_18:1 [M+Na]+;,905.756,905.7574,-1.5457,526,641,100,TG 18:2_18:1_18:1 [M+Na]+(100),true,true,LipiDex_HCD_Acetate.msp,623.501 | 625.5166 | 
2744,17.037,1,TG 16:1_18:0_22:5 [M+NH4]+;,924.802,924.802,0.0,183,661,0,,true,true,LipiDex_HCD_Acetate.msp,237.2213 | 267.2682 | 313.2526 | 577.519 | 623.5034 | 653.5503 | 
2749,17.059,1,TG 14:0_16:0_18:1 [M+NH4]+;,822.755,822.7551,-0.1215,850,875,68,TG 14:0_16:0_18:1 [M+NH4]+(68) / TG 16:1_16:0_16:0 [M+NH4]+(32),true,true,LipiDex_HCD_Acetate.msp,211.2056 | 239.2369 | 265.2526 | 523.4721 | 549.4877 | 577.519 | 237.2213 | 551.5034 | 
2760,17.12,1,CE 18:2 [M+NH4]+;,666.618,666.6189,-1.3501,896,992,100,CE 18:2 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,71.0855 | 81.0699 | 95.0855 | 109.1012 | 121.1012 | 135.1168 | 147.1168 | 161.1325 | 175.1481 | 189.1638 | 203.1794 | 215.1794 | 229.1951 | 233.2264 | 243.2107 | 257.2264 | 259.242 | 287.2733 | 369.3516 | 
2764,17.14,1,TG 16:0_16:0_18:2 [M+NH4]+;,848.77,848.7707,-0.8247,875,878,93,TG 16:0_16:0_18:2 [M+NH4]+(93) / TG 16:1_16:0_18:1 [M+NH4]+(7),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 263.2369 | 551.5034 | 575.5034 | 237.2213 | 265.2526 | 549.4877 | 577.519 | 
2768,17.16,1,TG 16:0_18:2_18:1 [M+Na]+;,879.741,879.7418,-0.9094,773,996,100,TG 16:0_18:2_18:1 [M+Na]+(100),true,true,LipiDex_HCD_Acetate.msp,597.4853 | 599.501 | 623.501 | 
2772,17.182,1,TG 18:2_18:2_18:0 [M+NH4]+;,900.801,900.802,-1.1101,824,855,75,TG 18:2_18:2_18:0 [M+NH4]+(75) / TG 18:2_18:1_18:1 [M+NH4]+(25),true,true,LipiDex_HCD_Acetate.msp,263.2369 | 267.2682 | 599.5034 | 603.5347 | 265.2526 | 601.519 | 
2776,17.203,1,TG 16:0_18:2_18:1 [M+NH4]+;,874.785,874.7864,-1.6004,988,992,83,TG 16:0_18:2_18:1 [M+NH4]+(83) / TG 16:1_18:1_18:1 [M+NH4]+(10) / TG 16:1_18:2_18:0 [M+NH4]+(7),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 263.2369 | 265.2526 | 575.5034 | 577.519 | 601.519 | 237.2213 | 603.5347 | 267.2682 | 573.4877 | 
2777,17.205,1,TG 18:2_18:2_18:0 [M+Na]+;,905.756,905.7574,-1.5457,705,899,76,TG 18:2_18:2_18:0 [M+Na]+(76) / TG 18:2_18:1_18:1 [M+Na]+(24),true,true,LipiDex_HCD_Acetate.msp,621.4853 | 625.5166 | 623.501 | 
2780,17.223,1,TG 18:0_20:4_20:3 [M+Na]+;,955.772,955.7731,-1.1509,184,890,0,,true,true,LipiDex_HCD_Acetate.msp,649.5166 | 651.5323 | 671.501 | 
2781,17.225,1,TG 18:1_18:0_22:6 [M+NH4]+;,950.816,950.8177,-1.7879,543,552,100,TG 18:1_18:0_22:6 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,265.2526 | 267.2682 | 311.2369 | 605.5503 | 649.519 | 651.5347 | 
2789,17.267,1,TG 16:0_18:0_22:6 [M+NH4]+;,924.803,924.802,1.0813,214,709,0,,true,true,LipiDex_HCD_Acetate.msp,239.2369 | 267.2682 | 311.2369 | 579.5347 | 623.5034 | 651.5347 | 
2804,17.351,1,TG 16:0_16:0_20:3 [M+Na]+;,879.742,879.7418,0.2273,34,1000,0,,true,true,LipiDex_HCD_Acetate.msp,573.4853 | 623.501 | 
2805,17.353,1,TG 17:0_18:2_18:1 [M+NH4]+;,888.801,888.802,-1.1251,295,944,0,,true,true,LipiDex_HCD_Acetate.msp,253.2526 | 263.2369 | 265.2526 | 589.519 | 591.5347 | 601.519 | 
2809,17.376,1,TG 18:2_18:1_18:1 [M+NH4]+;,900.802,900.802,0.0,623,994,100,TG 18:2_18:1_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,263.2369 | 265.2526 | 601.519 | 603.5347 | 
2812,17.395,1,TG 16:0_18:2_18:1 [M+NH4]+;,874.786,874.7864,-0.4573,766,983,100,TG 16:0_18:2_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 263.2369 | 265.2526 | 575.5034 | 577.519 | 601.519 | 
2813,17.397,1,TG 15:0_18:1_18:1 [M+NH4]+;,862.787,862.7864,0.6954,609,663,75,TG 15:0_18:1_18:1 [M+NH4]+(75) / TG 16:0_17:1_18:1 [M+NH4]+(25),true,true,LipiDex_HCD_Acetate.msp,225.2213 | 265.2526 | 563.5034 | 603.5347 | 239.2369 | 251.2369 | 577.519 | 589.519 | 
2816,17.416,1,TG 16:0_17:0_18:2 [M+Na]+;,867.741,867.7418,-0.9219,19,1000,0,,true,true,LipiDex_HCD_Acetate.msp,587.501 | 597.4853 | 611.501 | 
2817,17.418,1,TG 18:1_18:1_22:4 [M+NH4]+;,952.833,952.8333,-0.3149,42,1000,0,,true,true,LipiDex_HCD_Acetate.msp,265.2526 | 315.2682 | 603.5347 | 653.5503 | 
2825,17.464,1,TG 15:0_16:0_18:1 [M+NH4]+;,836.771,836.7707,0.3585,138,998,0,,true,true,LipiDex_HCD_Acetate.msp,225.2213 | 239.2369 | 265.2526 | 537.4877 | 563.5034 | 577.519 | 
2837,17.531,1,TG 18:1_18:0_20:4 [M+NH4]+;,926.817,926.8177,-0.7553,22,1000,0,,true,true,LipiDex_HCD_Acetate.msp,265.2526 | 267.2682 | 287.2369 | 605.5503 | 625.519 | 627.5347 | 
2840,17.553,1,TG 17:0_18:2_18:1 [M+NH4]+;,888.803,888.802,1.1251,832,941,100,TG 17:0_18:2_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,253.2526 | 263.2369 | 265.2526 | 589.519 | 591.5347 | 601.519 | 
2841,17.555,1,TG 18:0_18:0_20:5 [M+Na]+;,931.766,931.7731,-7.6199,43,1000,0,,true,true,LipiDex_HCD_Acetate.msp,629.5479 | 647.501 | 
2844,17.575,1,TG 16:0_17:0_18:2 [M+NH4]+;,862.786,862.7864,-0.4636,34,1000,0,,true,true,LipiDex_HCD_Acetate.msp,239.2369 | 253.2526 | 263.2369 | 565.519 | 575.5034 | 589.519 | 
2849,17.601,1,TG 17:0_17:0_20:4 [M+NH4]+;,900.802,900.802,0.0,185,1000,0,,true,true,LipiDex_HCD_Acetate.msp,253.2526 | 287.2369 | 579.5347 | 613.519 | 
2864,17.692,1,TG 16:0_18:1_18:1 [M+NH4]+;,876.801,876.802,-1.1405,880,884,100,TG 16:0_18:1_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 265.2526 | 577.519 | 603.5347 | 
2865,17.693,1,TG 16:0_18:1_18:1 [M+Na]+;,881.757,881.7574,-0.4536,62,1000,0,,true,true,LipiDex_HCD_Acetate.msp,599.501 | 625.5166 | 
2877,17.757,1,TG 16:0_16:0_18:1 [M+NH4]+;,850.786,850.7864,-0.4702,890,899,100,TG 16:0_16:0_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 265.2526 | 551.5034 | 577.519 | 
2880,17.777,1,TG 18:1_18:1_18:1 [M+NH4]+;,902.817,902.8177,-0.7754,999,1000,100,TG 18:1_18:1_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,265.2526 | 603.5347 | 
2884,17.799,1,TG 18:1_18:1_18:1 [M+Na]+;,907.771,907.7731,-2.3134,693,1000,100,TG 18:1_18:1_18:1 [M+Na]+(100),true,true,LipiDex_HCD_Acetate.msp,625.5166 | 
2888,17.82,1,TG 16:0_16:0_18:1 [M+Na]+;,855.741,855.7418,-0.9349,359,910,100,TG 16:0_16:0_18:1 [M+Na]+(100),true,true,LipiDex_HCD_Acetate.msp,573.4853 | 599.501 | 
2896,17.862,1,TG 16:0_16:0_16:0 [M+NH4]+;,824.772,824.7707,1.5762,981,1000,100,TG 16:0_16:0_16:0 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 551.5034 | 
2900,17.884,1,TG 16:0_18:1_18:1 [M+NH4]+;,876.802,876.802,0.0,820,982,55,TG 16:0_18:1_18:1 [M+NH4]+(55) / TG 16:0_18:2_18:0 [M+NH4]+(45),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 265.2526 | 577.519 | 603.5347 | 263.2369 | 267.2682 | 575.5034 | 579.5347 | 
2901,17.886,1,TG 16:0_18:1_18:1 [M+Na]+;,881.757,881.7574,-0.4536,774,971,61,TG 16:0_18:1_18:1 [M+Na]+(61) / TG 16:0_18:2_18:0 [M+Na]+(39),true,true,LipiDex_HCD_Acetate.msp,599.501 | 625.5166 | 597.4853 | 601.5166 | 
2912,17.947,1,TG 16:0_16:0_18:1 [M+NH4]+;,850.786,850.7864,-0.4702,757,834,100,TG 16:0_16:0_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 265.2526 | 551.5034 | 577.519 | 
2916,17.97,1,TG 18:1_18:1_18:1 [M+NH4]+;,902.817,902.8177,-0.7754,823,1000,67,TG 18:1_18:1_18:1 [M+NH4]+(67) / TG 18:2_18:1_18:0 [M+NH4]+(33),true,true,LipiDex_HCD_Acetate.msp,265.2526 | 603.5347 | 263.2369 | 267.2682 | 601.519 | 605.5503 | 
2921,17.992,1,TG 18:1_18:1_18:1 [M+Na]+;,907.772,907.7731,-1.2118,625,1000,100,TG 18:1_18:1_18:1 [M+Na]+(100),true,true,LipiDex_HCD_Acetate.msp,625.5166 | 
2925,18.014,1,CE 18:1 [M+NH4]+;,668.634,668.6346,-0.8974,929,1000,100,CE 18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,71.0855 | 81.0699 | 95.0855 | 109.1012 | 121.1012 | 135.1168 | 147.1168 | 161.1325 | 175.1481 | 189.1638 | 203.1794 | 215.1794 | 229.1951 | 233.2264 | 243.2107 | 257.2264 | 259.242 | 287.2733 | 369.3516 | 
2937,18.077,1,TG 16:0_18:1_18:1 [M+NH4]+;,876.801,876.802,-1.1405,829,992,100,TG 16:0_18:1_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 265.2526 | 577.519 | 603.5347 | 
2949,18.142,1,TG 17:0_18:1_18:1 [M+Na]+;,895.773,895.7731,-0.1116,68,1000,0,,true,true,LipiDex_HCD_Acetate.msp,613.5166 | 625.5166 | 
2952,18.161,1,TG 17:0_18:1_18:1 [M+NH4]+;,890.817,890.8177,-0.7858,908,929,100,TG 17:0_18:1_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,253.2526 | 265.2526 | 591.5347 | 603.5347 | 
2960,18.208,1,TG 16:0_17:0_18:1 [M+NH4]+;,864.802,864.802,0.0,773,928,100,TG 16:0_17:0_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 253.2526 | 265.2526 | 565.519 | 577.519 | 591.5347 | 
3000,18.435,1,TG 16:0_18:1_20:1 [M+NH4]+;,904.835,904.8333,1.8788,651,683,37,TG 16:0_18:1_20:1 [M+NH4]+(37) / TG 18:1_18:1_18:0 [M+NH4]+(63),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 265.2526 | 293.2839 | 577.519 | 605.5503 | 631.566 | 267.2682 | 603.5347 | 
3009,18.482,1,TG 16:0_18:1_18:0 [M+NH4]+;,878.818,878.8177,0.3414,973,996,100,TG 16:0_18:1_18:0 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 265.2526 | 267.2682 | 577.519 | 579.5347 | 605.5503 | 
3012,18.501,1,TG 16:1_18:0_18:0 [M+Na]+;,883.772,883.7731,-1.2447,43,1000,0,,true,true,LipiDex_HCD_Acetate.msp,599.501 | 629.5479 | 
3020,18.546,1,TG 18:1_18:1_20:1 [M+NH4]+;,930.85,930.849,1.0743,471,987,100,TG 18:1_18:1_20:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,265.2526 | 293.2839 | 603.5347 | 631.566 | 
3024,18.566,1,TG 16:0_16:0_18:0 [M+NH4]+;,852.801,852.802,-1.1726,786,817,100,TG 16:0_16:0_18:0 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 267.2682 | 551.5034 | 579.5347 | 
3032,18.61,1,TG 18:1_18:1_18:0 [M+NH4]+;,904.833,904.8333,-0.3316,777,818,39,TG 18:1_18:1_18:0 [M+NH4]+(39) / TG 18:2_18:0_18:0 [M+NH4]+(52) / TG 16:0_18:2_20:0 [M+NH4]+(9),true,true,LipiDex_HCD_Acetate.msp,265.2526 | 267.2682 | 603.5347 | 605.5503 | 263.2369 | 607.566 | 239.2369 | 295.2995 | 575.5034 | 631.566 | 
3044,18.681,1,TG 16:0_18:1_18:0 [M+NH4]+;,878.818,878.8177,0.3414,488,811,100,TG 16:0_18:1_18:0 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 265.2526 | 267.2682 | 577.519 | 579.5347 | 605.5503 | 
3079,18.886,1,TG 17:0_18:1_18:0 [M+NH4]+;,892.834,892.8333,0.784,35,1000,0,,true,true,LipiDex_HCD_Acetate.msp,253.2526 | 265.2526 | 267.2682 | 591.5347 | 593.5503 | 605.5503 | 
3127,19.176,1,TG 18:1_18:0_18:0 [M+NH4]+;,906.849,906.849,0.0,540,723,100,TG 18:1_18:0_18:0 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,265.2526 | 267.2682 | 605.5503 | 607.566 | 
3140,19.248,1,TG 16:0_18:0_18:0 [M+NH4]+;,880.833,880.8333,-0.3406,872,925,100,TG 16:0_18:0_18:0 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 267.2682 | 579.5347 | 607.566 | 
3233,19.86,1,TG 18:1_19:0_19:0 [M+NH4]+;,934.881,934.8803,0.7488,85,1000,0,,true,true,LipiDex_HCD_Acetate.msp,265.2526 | 281.2839 | 619.566 | 635.5973 | 
3239,19.902,1,TG 18:0_18:0_18:0 [M+NH4]+;,908.866,908.8646,1.5404,538,1000,100,TG 18:0_18:0_18:0 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,267.2682 | 607.566 | 
