feature_name,gluc_pval,sampling_pval,cross_pval,fdr_gluc_qval,fdr_sampling_qval,fdr_cross_qval,full_model_ll,no_gluc_tol_ll,no_feeding_ll,no_cross_ll,full_model_params,no_gluc_tol_params,no_feeding_params,no_cross_params
l_440,0.16477449040995173,3.0993027330301555e-09,0.0789010213761847,0.28591250320432504,2.132468454160589e-08,0.47979599970658793,-46.672890759508455,-48.476068224198364,-66.26497943509213,-48.21658832881498,"{'Intercept': 18.639256586818107, 'bg_type[T.RBG]': 1.7372632365204739, 'bg': 0.005821296694966884, 'bg:bg_type[T.RBG]': -0.005619879134606551}","{'Intercept': 18.986804169776182, 'bg_type[T.RBG]': 1.4330663074841303}","{'Intercept': 19.07275514946763, 'bg': 0.004587210561418987}","{'Intercept': 18.950909360959233, 'bg_type[T.RBG]': 1.3395607730846133, 'bg': 0.0006012251046423975}"
l_441,0.011808595959661078,0.005566412504271855,0.868588451600431,0.03321408016666886,0.014220701767570258,0.9490825027663331,-13.771138833477671,-18.210066375036796,-18.9621433406628,-13.78482596852212,"{'Intercept': 20.055117562639538, 'bg_type[T.RBG]': -0.3819384675588693, 'bg': 0.0011683348572556276, 'bg:bg_type[T.RBG]': 0.00030191874182721595}","{'Intercept': 20.12487039899235, 'bg_type[T.RBG]': -0.13525188901116403}","{'Intercept': 20.005577028713716, 'bg': 0.0003758580101702186}","{'Intercept': 20.038374531125562, 'bg_type[T.RBG]': -0.36057255834513013, 'bg': 0.0014487745978714085}"
l_442,0.0009532663896088758,0.014063973738947308,0.8935649237823835,0.004287216288683668,0.03277797928092038,0.9601359846243125,-8.079793229590216,-15.03540939556428,-12.343932034884737,-8.088743739536973,"{'Intercept': 25.697692176143278, 'bg_type[T.RBG]': -0.310661557061358, 'bg': 0.0014807081033950376, 'bg:bg_type[T.RBG]': 0.00022204715340160344}","{'Intercept': 25.78609456299408, 'bg_type[T.RBG]': -0.032583713892220256}","{'Intercept': 25.658550139066104, 'bg': 0.0008093139502595853}","{'Intercept': 25.685378457344342, 'bg_type[T.RBG]': -0.2949479273209987, 'bg': 0.0016869584531667304}"
l_443,0.0007842168258854297,6.805427691815085e-16,0.10056448147334987,0.003649055390359395,1.6789962319663788e-14,0.5454442711446993,-6.1123794920778565,-13.263204504299019,-41.036020496211925,-7.460663739479564,"{'Intercept': 19.951595655283484, 'bg_type[T.RBG]': -1.2624796433046743, 'bg': -0.0009665971597250401, 'bg:bg_type[T.RBG]': 0.0026670853848221312}","{'Intercept': 19.89388711985588, 'bg_type[T.RBG]': -0.8387788060519212}","{'Intercept': 19.70602464689369, 'bg': -0.0016842575362052553}","{'Intercept': 19.80369130731766, 'bg_type[T.RBG]': -1.073737785636261, 'bg': 0.0015107473369832258}"
l_444,0.01867261677030002,1.52336541902174e-09,0.5804441726682432,0.04945952325507383,1.1538824906362038e-08,0.8712488525046057,-21.35149026449149,-25.332187436646556,-41.65383412260657,-21.504248828089537,"{'Intercept': 20.33711810113268, 'bg_type[T.RBG]': -1.0056378646426265, 'bg': 0.0004603946614156339, 'bg:bg_type[T.RBG]': 0.0011457992725023743}","{'Intercept': 20.36460494129333, 'bg_type[T.RBG]': -0.6874271537257624}","{'Intercept': 20.189480433019774, 'bg': -0.001226412017017519}","{'Intercept': 20.27357731790037, 'bg_type[T.RBG]': -0.9245529903307952, 'bg': 0.0015246798688635863}"
l_446,0.0035460287601746356,0.018406339156782702,0.5574710247500838,0.01267907177809854,0.041661530437436076,0.866563870156071,-15.03953483057554,-20.68146179134221,-19.03459498488555,-15.211585796348395,"{'Intercept': 24.31705421692393, 'bg_type[T.RBG]': -0.39112330110742066, 'bg': 0.0006474330437923311, 'bg:bg_type[T.RBG]': 0.0010947545129272318}","{'Intercept': 24.355707768063503, 'bg_type[T.RBG]': -0.05480969594197882}","{'Intercept': 24.22781462772553, 'bg': 0.000731008542604026}","{'Intercept': 24.256344142421398, 'bg_type[T.RBG]': -0.3136507156264108, 'bg': 0.001664304900719591}"
l_445,0.6391682148322094,0.03508161325408348,0.8844082377966371,0.7488761920049021,0.07308316778021975,0.957000643279945,-9.032429571307723,-9.480017183556974,-12.382507695984579,-9.042997725375194,"{'Intercept': 25.44517953076854, 'bg_type[T.RBG]': 0.28076929040708043, 'bg': 0.000634458213909958, 'bg:bg_type[T.RBG]': -0.00024514450044221467}","{'Intercept': 25.48305844852293, 'bg_type[T.RBG]': 0.3266814980609012}","{'Intercept': 25.482734778915393, 'bg': 0.0011905873343708503}","{'Intercept': 25.458774122715866, 'bg_type[T.RBG]': 0.2634211287494357, 'bg': 0.0004067537007648118}"
l_448,0.00011435415553114135,1.5960610108134832e-13,0.05605265707928965,0.0007654636690010895,2.505815786977169e-12,0.4321559766782733,-7.113089795772929,-16.18930009347273,-36.57915727907181,-8.938335704841968,"{'Intercept': 22.982687223052054, 'bg_type[T.RBG]': -1.1667155462592045, 'bg': -0.00118996425223985, 'bg:bg_type[T.RBG]': 0.0031680473346315935}","{'Intercept': 22.911643051737173, 'bg_type[T.RBG]': -0.6699329488611028}","{'Intercept': 22.72127047461018, 'bg': -0.001051857600995779}","{'Intercept': 22.80700181829518, 'bg_type[T.RBG]': -0.9425220717935547, 'bg': 0.001752702928355122}"
l_447,6.475070476491895e-05,1.3912974809739714e-11,0.25136588449340147,0.00046788479970299177,1.5501746771884184e-10,0.7184811261164595,-22.562543881662606,-32.207509854706174,-47.56074315328867,-23.22039205607694,"{'Intercept': 24.489421068931122, 'bg_type[T.RBG]': -1.2598712941151122, 'bg': 0.00025024974445473844, 'bg:bg_type[T.RBG]': 0.0024365009819076995}","{'Intercept': 24.504361673813346, 'bg_type[T.RBG]': -0.6965485107192735}","{'Intercept': 24.255390212498824, 'bg': -0.0007223845588530294}","{'Intercept': 24.354303876546542, 'bg_type[T.RBG]': -1.0874472224475111, 'bg': 0.0025134139960020317}"
l_449,4.850079451835543e-06,4.601608621176918e-13,0.09644016349270301,5.621535042496633e-05,6.622481740643781e-12,0.5335391062848861,-14.67261159576939,-26.90912706709669,-43.07981186207196,-16.054335718526453,"{'Intercept': 28.759849079368486, 'bg_type[T.RBG]': -1.263586708574401, 'bg': -0.00040139812642466834, 'bg:bg_type[T.RBG]': 0.0031148692826666498}","{'Intercept': 28.735884496226237, 'bg_type[T.RBG]': -0.6556077584098259}","{'Intercept': 28.492227685162398, 'bg': -0.0006121332564947776}","{'Intercept': 28.587112685973132, 'bg_type[T.RBG]': -1.0431564898230836, 'bg': 0.002491874177226983}"
