i,pls,cca
l_69,0.33848185643540735,3.4284376390191618
l_70,-1.5483345770784926,-15.682870395204766
l_71,1.31059320538123,13.274825099135384
l_72,2.0212383454500333,20.472855821554685
l_73,-1.867266069759619,-18.913287627495627
l_74,0.7624584019198449,7.722839818515898
l_75,1.4771132731011498,14.96148545875489
l_77,0.9760399928780367,9.886177371292431
l_76,-1.293308153439667,-13.099744061419907
l_79,0.44742383050257334,4.531896121014617
l_78,0.033812324210389565,0.3424802954716116
l_80,-1.91821833278714,-19.42937629192477
l_81,-1.4374604698869353,-14.559842961286995
l_82,-0.09466817815085614,-0.9588835073586467
l_83,-0.8484252982849824,-8.59358666368352
l_84,-0.6982331072595507,-7.072311182037835
l_85,-0.18139093987483343,-1.8372837698471804
l_86,-0.482923147937727,-4.891464219991344
l_87,0.8424174070222837,8.532733386031838
l_88,-0.2613627770361721,-2.6473089012085618
l_89,-0.6100962904019261,-6.1795839516176585
l_90,1.381313572426332,13.991140360602623
l_91,-0.6508132297183944,-6.5920011883282035
l_92,-1.2695036639970614,-12.858633723049573
l_93,-1.393572946416611,-14.115313049895187
l_94,0.046644144246921315,0.4724534408582367
l_95,-2.238435745076268,-22.672819251410413
l_96,0.08167052957497258,0.8272283838756699
l_97,1.493345113409791,15.125890383110118
l_98,1.4693260708611746,14.882606537118216
l_99,-0.6120334267762103,-6.199204764970444
l_100,1.792869739658587,18.15973973238212
l_101,1.5792484911238946,15.995997366832116
l_102,-0.04980782003244324,-0.5044957015294494
l_103,-1.3993649850386012,-14.173985984721213
l_104,0.8877352647950262,8.991751848299254
l_105,-0.5961875341661427,-6.0387039341642375
l_106,-1.095970771955894,-11.100941097068176
l_107,-0.28617768934365617,-2.8986562877563062
l_108,-0.9619536111192013,-9.743501265910682
l_109,-0.577479317556501,-5.8492107963592765
l_110,0.6289394300798231,6.370446454709039
l_111,0.5100709877042727,5.166438480167242
l_112,-0.35781280896729273,-3.6242371016106603
l_113,-0.5061792484314824,-5.127020866626839
l_114,-1.112471685304247,-11.268078254017317
l_115,0.6555256983505368,6.6397335115927385
l_116,0.0117835295282244,0.11935318942241231
l_117,-0.5734595945601316,-5.808496668283174
l_120,-0.227197304153652,-2.3012504639171514
l_119,-0.16764149638047543,-1.6980178156081156
l_118,-0.5997231369715474,-6.074515843153155
l_121,-0.3694159937429092,-3.7417651514124786
l_122,-0.6648346667254328,-6.734021069249115
l_123,-0.19842157375125613,-2.009786417371534
l_124,-1.2272399645853591,-12.43054797732353
l_125,-2.540036924684044,-25.72769552855559
l_126,-3.0804849073978633,-31.20182079930445
l_127,-1.5305328047036426,-15.502561602672747
l_128,-0.9098135321250387,-9.215378743547308
l_129,-0.2783345707614227,-2.81921025633309
l_130,0.5737874763215364,5.811820366407438
l_131,1.3171812179542732,13.341555993940132
l_132,0.15684458049679298,1.5886603249539277
l_133,-1.176328610156746,-11.914873972193963
l_134,-1.1373907228770361,-11.520478180828123
l_135,-0.2764800712912672,-2.8004283672985246
l_137,-0.38035054416690667,-3.8525174543139538
l_136,-1.542594943522096,-15.624738614083212
l_138,-1.3775121823012562,-13.95263693713564
l_139,-0.3156854143284058,-3.1975347292146172
l_140,0.6008950726254405,6.086386819369079
l_142,0.1056750444899369,1.0703694444713963
l_141,0.11120862685589805,1.1264184892846718
l_143,0.14321350665710425,1.4505920036444935
l_144,0.3326769004216673,3.3696415448350536
l_145,-0.5976265942374337,-6.053280234154678
l_146,-0.4345495732360718,-4.401493888557368
l_147,0.49789320014112265,5.043095688298419
l_148,-1.4274963052055407,-14.458920224772099
l_149,0.5815141792405301,5.890079635679284
l_150,1.4041703695576169,14.222654287523559
l_151,0.2991563958176878,3.0301152071075625
l_152,-0.3139516825196809,-3.1799745372821593
l_153,0.09981634090232605,1.0110258291381484
l_154,0.461476993498209,4.674238029105522
l_155,-3.164121538323372,-32.04896682971273
l_156,-2.9997609587837615,-30.384177763686413
l_157,0.8129932607431223,8.234700350376306
l_158,0.5147329394012475,5.213661882547874
l_159,-0.9253849958399609,-9.37310315442318
l_161,-1.1769472150480476,-11.921143790972378
l_162,-1.1639308679435614,-11.789300018533504
l_160,-2.6255586849159527,-26.593931944881593
l_163,-2.0543089255975033,-20.80782136568054
l_164,-1.5223358906514048,-15.419536022384296
l_165,0.23918145854491485,2.4226351890879645
l_166,-1.1213168028463136,-11.357666941316282
l_167,0.3212035172047639,3.2534282402695127
l_168,0.4171276158952853,4.225027854057713
l_169,1.1633783723406812,11.78369952039285
l_170,0.7809527013216334,7.910163734319124
l_171,-2.5103425337606384,-25.426924119826708
l_172,0.016010986164305272,0.16217378607523789
l_173,0.6074271759672303,6.152550921864344
l_174,0.5856866210832615,5.932341557701388
l_175,-0.06417302485086589,-0.6499986703862097
l_176,0.47209954212878613,4.7818333095394205
l_177,0.9423511565583323,9.544947381732651
l_178,0.8809471083643798,8.922994591623706
l_179,0.8659526197122932,8.771120226766644
l_180,0.1370689387969286,1.3883534618609517
l_181,0.7472387547855688,7.568681468125778
l_182,-1.4185133679329032,-14.367931666791472
l_183,-1.4417291474750316,-14.603082271899295
l_184,0.7890433416933632,7.992115092170458
l_185,0.3344206321659508,3.387301869722039
l_186,1.4217274208879676,14.400487341790628
l_187,1.8930200639479817,19.17414944363945
l_188,1.468612356856941,14.87537965997415
l_189,0.9874778713532912,10.002032450349589
l_190,1.1205742756910988,11.350145893954569
l_191,-0.8857053838157414,-8.97118793675642
l_192,-1.4540438283065404,-14.72781707521849
l_193,1.207778716107443,12.233426776128704
l_194,0.6029903127480029,6.107610200447456
l_195,0.7552508566489466,7.649835289242073
l_196,0.7235878442566561,7.329124992239566
l_197,0.9583237155087634,9.70673576313064
l_198,-1.9211757851867866,-19.459331814800805
l_199,-0.8886115400630523,-9.00062706374064
l_200,-1.4859831226880136,-15.05132520557657
l_201,-0.7293601183368333,-7.387588276556019
l_202,1.2849140377261095,13.014722983009298
l_203,-0.9570902220406332,-9.694239106365783
l_205,0.10916716926344551,1.105740609634083
l_204,0.10044159844651983,1.0173610545584792
l_206,1.120634139469722,11.350750970661059
l_207,-0.28875643675238843,-2.9247754814386377
l_208,0.24738352553959098,2.505715440194295
