,pval_sex,pval_animalvar,qval_sex,qval_animalvar,ID,superclass,molec_class,fa_carbons,fa_unsat,RT,m/z,signif_sex,logqvalsex,log2fcM-F,i
vl_5361,3.8028647971079926e-06,0.2261776574786738,7.633386792740408e-05,0.3699601345512283,Unidentified,Unidentified,Unidentified,,,16.173,1011.81885,True,4.1172827308455995,-1.040068025185981,vl_5361
vl_5369,0.4771433403221361,0.13993483138215496,0.6813408531325394,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.225,961.80237,False,0.16663557002419152,0.21143272529086232,vl_5369
vl_5371,0.2735058106716146,0.17008176762275873,0.5069220836474919,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.226,1010.71417,False,0.295058788679271,0.5341259912410798,vl_5371
vl_5377,0.6859071807214925,0.15126822647197666,0.8177554292835073,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.235,935.78687,False,0.08737656380335922,-0.13993565566783062,vl_5377
vl_5387,0.08027193321724761,0.24648960723948887,0.23822638245118646,0.3779507311005496,Unidentified,Unidentified,Unidentified,,,16.271,591.57477,False,0.6230101441189851,1.0359848108530123,vl_5387
vl_5391,0.019628111467388656,0.34527608817686595,0.08055552066913411,0.4462676136666534,Unidentified,Unidentified,Unidentified,,,16.274,715.62598,False,1.093904690949507,1.1337385339324157,vl_5391
vl_5394,0.10154796562852467,0.21123392232759963,0.2859922297293144,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.285,565.55933,False,0.5436457662818807,0.9700460768319488,vl_5394
vl_5395,0.039084900456387725,0.2627071529790964,0.13874511287412236,0.38363584244566457,Unidentified,Unidentified,Unidentified,,,16.286,689.61041,False,0.8577823054246084,0.9843608824384589,vl_5395
vl_5407,0.5260470912421534,0.1856286019842276,0.7125840352531747,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.33,846.75275,False,0.14716391181817565,0.2743124487587352,vl_5407
vl_5409,0.1674316354487162,0.09431364444387898,0.38509276153204725,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.336,1043.7561,False,0.4144346445978194,-0.8883912804953944,vl_5409
vl_5421,0.49095420943859325,0.1122862425441656,0.6893394379135799,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.405,549.49036,False,0.16156687430098338,-0.4855912908194213,vl_5421
vl_5436,0.8095671894296019,0.12787791987334565,0.8928693078224581,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.484,987.81964,False,0.04921210555190515,-0.05694878181733998,vl_5436
vl_5440,0.8374348351213097,0.11715758400298266,0.9072895564022825,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.492,601.52264,False,0.04225408815607685,0.09654889075857298,vl_5440
vl_5441,0.07144279654190235,0.1472055028056189,0.21668364665456094,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.494,1007.73657,False,0.6641738641101874,-0.6421521004396631,vl_5441
vl_5444,0.07811603465806503,0.15854637041971376,0.2324531058288512,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,16.495,961.80249,False,0.633664646790764,-0.45302921773100024,vl_5444
vl_5202,0.4849973007852725,0.12558650532823593,0.6873389217804119,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.437,687.57465,False,0.1628290627025303,0.11297092086632432,vl_5202
vl_5196,0.042067801193531325,0.2678910993928979,0.14697105227107146,0.38602102195384846,Unidentified,Unidentified,Unidentified,,,15.425,713.6109,False,0.8327681963874973,1.066154309735193,vl_5196
vl_4968,0.2278010346915359,0.25668383338610756,0.46400801162261185,0.3812201508791168,Unidentified,Unidentified,Unidentified,,,14.546,1335.08655,False,0.3334745207954352,-0.1596551784336988,vl_4968
vl_5179,0.2956700184001443,0.148533145381082,0.528621934879995,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.348,790.69818,False,0.2768548200168357,0.5030053299735826,vl_5179
vl_4969,0.2614567420437268,0.1599704418753709,0.49811181771846824,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.547,960.80725,False,0.3026731544952092,-0.21241588436751258,vl_4969
vl_4970,0.2183700057282819,0.13609616297008123,0.451461584876448,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.548,694.6366,False,0.3453791981433068,-0.2270383900289552,vl_4970
vl_4971,0.1890273698180276,0.1531255556966631,0.4107996383446899,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.548,711.62592,False,0.38636994741403563,-0.2071452104351792,vl_4971
vl_4972,0.26859536130798367,0.14093190138494427,0.504301494700704,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.548,686.60632,False,0.297309744632249,-0.19608436099868243,vl_4972
vl_4974,0.18816359036139985,0.11768887835162953,0.4105673126778826,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.549,693.64362,False,0.38661562995011545,-0.2082619201452438,vl_4974
vl_5000,1.7228610546273515e-11,0.12678793938587832,2.1133762270095514e-09,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.651,1063.72485,True,8.675023182185953,-2.529340892899395,vl_5000
vl_5015,5.816379985892356e-09,0.1089889024691374,2.564916898709192e-07,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.673,1037.70935,True,6.590926701123971,-2.185485368314911,vl_5015
vl_5078,0.09635553027916785,0.1430332818308378,0.2758205942306789,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.915,713.64307,False,0.559373310216613,-0.2954436655247683,vl_5078
vl_5085,0.5912354024179354,0.310255468072964,0.7567273309395494,0.42078874293925334,Unidentified,Unidentified,Unidentified,,,14.933,944.65833,False,0.12106058020994218,0.49984642735432416,vl_5085
vl_5097,0.3110728030548454,0.21839169423751192,0.5425345569866498,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.993,929.79926,False,0.2655725940128241,0.3807167793776287,vl_5097
vl_5100,6.275330666256814e-05,0.12828813748434675,0.0008202302576231078,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,15.001,1033.80408,True,3.086064213984924,-1.4536042577162398,vl_5100
