,ID,molec_class,pval_sex,qval_sex,log2fcM-F,qval_significant,more_abundant_in_females
vl_6395,TG 58:3,TG,0.2991199151579198,0.5018861585304566,0.6231951873929766,False,False
vl_6200,TG 55:3,TG,0.183319033640243,0.3805309711368969,0.8120284421553379,False,False
vl_6068,TG 48:0,TG,0.1535678307827989,0.3492242871256873,0.5050268562121722,False,False
vl_6461,TG 58:2,TG,0.1603241903888289,0.357617252914376,0.6970227351641185,False,False
vl_6458,TG 18:2_18:1_24:0,TG,0.2434196746952218,0.4551515810869237,0.6659873851622251,False,False
vl_6396,TG 52:0,TG,0.3778713613646273,0.5777775009252688,0.3213780583009722,False,False
vl_6191,TG 51:1,TG,0.1437180637714394,0.3394725106958455,0.6949115013768079,False,False
vl_6183,TG 53:2,TG,0.1993762279080037,0.401292280375345,0.7375896133462376,False,False
vl_6202,TG 49:0,TG,0.0636044985718651,0.1896134108368809,0.6159821355161803,False,False
vl_6290,TG 50:0,TG,0.3163902432256422,0.5167375900295588,0.4044514953131006,False,False
vl_6431,TG 18:2_18:1_23:0,TG,0.2338999773229281,0.4434743570042717,0.7485033210044492,False,False
vl_6379,TG 60:4,TG,0.1553626058896738,0.3492242871256873,0.8120677265391123,False,False
vl_6454,TG 56:1,TG,0.1789131747858221,0.3749526991199828,0.6070412463526758,False,False
vl_6436,TG 57:2,TG,0.3001941973268676,0.5019119912978316,0.5709511718360929,False,False
vl_6334,TG 53:1,TG,0.5294116821852856,0.6875860649799818,0.3778276633020923,False,False
vl_6343,TG 51:0,TG,0.3060356821583684,0.5080942674012842,0.3968168331022106,False,False
vl_6057,TG 50:1,TG,0.2455263491355679,0.4572867956395253,0.5255826774833814,False,False
vl_5224,TG 60:12,TG,0.0014821735884483,0.0098258780548885,-0.6974360933383288,True,True
vl_5025,TG 18:3_18:2_20:5,TG,0.5605681896513364,0.7047992623202479,-0.2160684088395079,False,True
vl_6274,TG 56:3,TG,0.2124565165416605,0.4187292675290939,0.5747361693232484,False,False
vl_2642,Alkenyl-DG P-18:0_20:4,Alkenyl-DG,0.0050342711289404,0.0257972380012733,0.3799329933458004,True,False
vl_4920,TG 18:2_20:5_20:5,TG,0.0353635953664714,0.1201601735032792,-0.4394196501419181,False,True
vl_6282,TG 52:1,TG,0.5152266982307536,0.6824587554466943,0.3003008054422089,False,False
vl_5616,TG 54:5,TG,0.1507026525100935,0.348453937998948,0.633335302971247,False,False
vl_5958,TG 53:3,TG,0.4694176998368921,0.646269860841744,0.4183694925357706,False,False
vl_6010,TG 56:5,TG,0.3677348468933783,0.5702993949759156,-0.3742287607341339,False,True
vl_6022,TG 16:0_18:0_20:4,TG,0.1945309032980327,0.3957409792414914,0.8641253514220324,False,False
vl_5736,TG 54:5,TG,0.9958886160152328,0.9960646817586102,-0.0021505350495409,False,True
vl_5720,TG 49:2,TG,0.3332403435957674,0.5345378100317894,0.333033154441793,False,False
vl_5718,TG 51:3,TG,0.3255906872015874,0.5267235007971074,0.3979898731754119,False,False
vl_5071,TG 14:0_22:6_22:6,TG,0.0004279993389638,0.003497787701187,-1.3161794143679764,True,True
vl_5645,TG 50:3,TG,0.831739027105663,0.8909475680182696,0.1090941398898301,False,False
vl_5644,TG 18:2_18:2_18:2,TG,0.781955611413743,0.864987070735389,-0.1271464981680097,False,True
vl_5642,TG 58:8,TG,0.7295006823644088,0.8252585284981617,-0.1467602392003684,False,True
vl_5637,TG 16:0_18:1_22:6,TG,0.2385287367589673,0.4486611953323434,-0.3481888681106326,False,True
vl_5596,TG 50:3,TG,0.4863951912540799,0.6579337263181028,0.3350051598652719,False,False
vl_5587,TG 14:0_16:1_16:0,TG,0.2749357886695399,0.4799983934783127,0.427651770378894,False,False
vl_5583,TG 52:5,TG,0.4548549466036229,0.6375798767186244,0.3445087546599161,False,False
vl_5572,TG 18:2_18:2_18:2,TG,0.9342155818186334,0.9605600559263172,0.0408304359944899,False,False
vl_5187,TG 60:12,TG,6.052434810912416e-05,0.000708359037129,-0.9929990813438144,True,True
vl_5559,TG 17:0_18:2_22:6,TG,0.3310011171962795,0.5327488269984262,-0.4521146845616783,False,True
vl_6270,TG 54:2,TG,0.3867462441134133,0.5849249677548729,0.4440209251085854,False,False
vl_6391,TG 54:1,TG,0.5219872799041192,0.6834861068357804,0.319427992131839,False,False
vl_5935,TG 49:1,TG,0.3435722342203834,0.5428441300682058,0.4392983089155962,False,False
vl_5620,TG 52:4,TG,0.568133132738476,0.7114798016328603,0.2503486125434087,False,False
vl_5603,TG 48:2,TG,0.3293959500996092,0.5310669399565128,0.3739321180768797,False,False
vl_5545,TG 56:7,TG,0.9459427270097184,0.9652892413403802,0.0271453148909834,False,False
vl_5892,TG 58:7,TG,0.2204157536349741,0.4255685019265895,-0.4065585983084752,False,True
vl_5621,TG 16:0_16:0_18:1,TG,0.5600839425539111,0.7047992623202479,0.2545003009585365,False,False
vl_5182,TG 18:2_22:6_22:5,TG,0.020148111726935,0.0764016396685375,-0.9384992277744112,False,True
vl_5897,TG 56:6,TG,0.0456403632235333,0.1466782233869787,-0.6124832837649166,False,True
vl_5174,TG 14:0_18:2_20:5,TG,0.5421406807169582,0.6952070999896489,-0.2808543353936308,False,True
vl_5103,TG 54:8,TG,0.988970534121858,0.9921101231190702,0.0083630993302179,False,False
vl_6043,TG 52:2,TG,0.2736644582009913,0.4786603438644644,0.5084789882135965,False,False
vl_5101,TG 18:2_22:6_22:6,TG,2.9842628649599164e-05,0.0003929279438863,-1.2396636857528982,True,True
vl_5024,TG 60:13,TG,9.836442815038916e-05,0.001024719537215,-0.9086169217617908,True,True
vl_5485,TG 18:0_22:6_22:6,TG,1.6073715954095704e-09,8.963460426166313e-08,-1.8860435994437983,True,True
vl_5104,TG 18:3_18:2_22:6,TG,0.0733282807326408,0.208754384788419,-0.5690289660078385,False,True
vl_5856,TG 54:4,TG,0.1485736805069644,0.3452153164720643,0.4196540738407073,False,False
vl_5535,TG 58:8,TG,0.4299765113437214,0.6140273321024343,0.3791218832083949,False,False
vl_5837,TG 50:2,TG,0.3535749038708935,0.5525328540648633,0.3760699649052341,False,False
vl_5741,TG 52:4,TG,0.7546247309148922,0.8446094981196196,0.1521569246441778,False,False
vl_5748,TG 17:0_18:1_22:6,TG,0.5465166433917541,0.6963679810959448,-0.2881163360670093,False,True
vl_5804,TG 50:2,TG,0.1403819696960702,0.3340563798886361,0.675840279099905,False,False
vl_5809,TG 48:1,TG,0.1628039738469987,0.3583597343673627,0.513025147058201,False,False
vl_5830,TG 52:3,TG,0.4135444524818944,0.6022121980842333,0.3269470423461342,False,False
vl_5822,TG 54:4,TG,0.1405996788771791,0.3340563798886361,0.6186026126935218,False,False
vl_946,LysoPC 20:2,LysoPC,0.000148322273287,0.0013785246576091,0.406306079303981,True,False
vl_2375,PC 18:2_20:4,PC,0.6049451260639754,0.7418990679283942,0.1219828858225753,False,False
vl_3153,PC 39:5,PC,0.0400808940168689,0.1328555507971738,-0.4586890460995327,False,True
vl_2018,PC 34:5,PC,0.9537260396300568,0.9691109433380102,-0.0088309179033423,False,True
vl_3154,Plasmanyl-PC O-16:0_18:2,Plasmanyl-PC,0.6956422423280324,0.8093522167006176,0.0738151902750701,False,False
vl_2027,PC 40:9,PC,0.6974333015050328,0.8093522167006176,-0.0585388432406297,False,True
vl_3287,PC 18:0_20:4,PC,5.583902250132036e-09,2.2024829891093658e-07,-0.6494219165909811,True,True
vl_3167,PC 42:6,PC,0.0672977092586996,0.1963022411607607,0.3825874878546571,False,False
vl_2735,PC 32:1,PC,0.0018789812641169,0.0117283004938013,0.4384175636711696,True,False
vl_2070,PC 44:12,PC,1.5633692436081272e-06,3.024640903960213e-05,-0.8654873589521443,True,True
vl_1974,PC 42:11,PC,0.0015460715154222,0.0099928489782663,-0.5648969640146184,True,True
vl_2392,PC 38:8,PC,0.7634145937350998,0.8515821767558682,0.0430632557558681,False,False
vl_2813,PC 41:6,PC,0.0304335766568848,0.1052957323749154,-0.4393646664611523,False,True
vl_4074,PE O-40:3,Plasmenyl-PE,0.3873615083874934,0.5849249677548729,-0.0977195155031935,False,True
vl_3306,PC 16:0_18:1,PC,6.04056516000459e-09,2.2024829891093658e-07,0.7092020660097695,True,False
vl_3175,Plasmenyl-PC P-18:0_18:2,Plasmenyl-PC,0.2514020456526226,0.459903418114564,-0.2115125573279144,False,True
vl_2483,PC 35:4,PC,7.585968659468583e-06,0.0001218898015114,0.6490388351604359,True,False
vl_3119,PC 38:4,PC,0.630014020797389,0.7601919217584476,-0.0795463481170593,False,True
vl_2379,PC 16:1_18:2,PC,9.026129019764976e-05,0.0009507522567485,0.8767003974253846,True,False
vl_2340,PC O-36:5,Plasmenyl-PC,0.9431325599744124,0.96496133514625,0.0097501822089434,False,False
vl_948,LysoPC 17:0,LysoPC,3.648642184010747e-11,2.8824273253684903e-09,0.5502552488271668,True,False
vl_3388,PC 18:2_18:0,PC,0.2212833017391301,0.4263751423753971,-0.1493120145959352,False,True
vl_4070,Plasmanyl-PC O-20:0_18:2,Plasmanyl-PC,0.2903530613251777,0.4950624139141518,-0.1678986639876853,False,True
vl_3258,PC 16:0_16:0,PC,0.0003395719396708,0.0028742339179285,0.2864785053743155,True,False
vl_3278,PC 40:5,PC,0.003041793009732,0.0170628388948281,-0.4612027914221706,True,True
vl_4096,Plasmenyl-PE P-20:0_18:2,Plasmenyl-PE,0.0001091319984877,0.0010890224691196,-0.4580425280964242,True,True
vl_2762,PC 40:7,PC,8.143313436286053e-08,2.4124566054997437e-06,-0.9748117888923886,True,True
vl_4017,PE O-40:4,Plasmenyl-PE,0.0482130967344041,0.153892308768401,-0.3425399516952616,False,True
vl_3379,PE 18:0_20:4,PE,0.7115526653105197,0.8161889554069242,0.1295620670083437,False,False
vl_2667,PC 30:0,PC,0.9423549046707712,0.96496133514625,-0.0085940878598975,False,True
vl_2167,PC 36:6,PC,0.7137348565741984,0.8161889554069242,-0.0625083695055472,False,True
vl_3085,Plasmenyl-PE P-18:1_20:4,Plasmenyl-PE,0.2036125957595398,0.405514161302613,-0.2798076612621827,False,True
