,ID,molec_class,550,551,552,553,562,568,569,570,571,582,650,651,652,653,690,691,692,713,714,715,superclass,ttpval,log_qval_tt,last_meal_rab_mean,last_meal_rod_mean,log2_fc_last_meal,log2_fc_rod-rab2rod,fa_carbons,fa_unsat,fa_carbon:unsat,is_sum_comp,Type,dummy,i
dl_173,PI 16:0_22:6,PI,18.287395576726766,17.9738667735986,16.718944541946122,16.968246971932462,18.058061185043012,17.84188775943111,18.542014413943477,16.784378599263196,18.166034917504657,18.044591878664438,18.34180642364822,18.38507776105111,16.970045378498675,17.164710396358977,17.942587208112002,18.44046792875312,17.128926158382914,17.310392033140623,18.676187044368092,18.025794050087345,Phospholipid,3.505709667315863e-09,7.270938316088582,17.006520582788998,18.20967484007169,-1.2031542572826908,-0.17143637815873447,38.0,6.0,38:6,False,lipid,True,dl_173
dl_179,PC 34:5,PC,16.257825601876046,17.641714208086377,16.278748011912267,15.954902833642851,18.651635452259544,17.95337786728886,18.293084820177597,15.642093799790064,17.46513753800848,17.765316355733265,17.874014407088485,17.789758688098523,15.983525540790847,15.30113089296321,18.07662340493474,16.615677106796237,16.22328315685291,16.403586208841567,16.35952025504529,17.604037074456205,Phospholipid,4.40771079630609e-05,3.7787008019504493,15.96961006354196,17.56520944460382,-1.5955993810618594,0.33169367870583244,34.0,5.0,34:5,True,lipid,True,dl_179
dl_183,PI 16:0_20:4,PI,22.00031821707824,21.478942078227295,21.364880274976958,21.67258422177547,21.983284352112307,21.78838193985143,21.726369335498,21.564381137072697,21.897143918149187,21.49764455371189,21.932667924719553,21.914995354801373,21.67780466317862,21.425799107073097,21.921388120012956,22.51986925018141,21.739467201680814,22.04249651725939,22.293014701347353,21.718682810935334,Phospholipid,0.05420798618617778,1.10578466840243,21.641059017573863,21.897900196663564,-0.25684117908970094,-0.282662399195619,36.0,4.0,36:4,False,lipid,True,dl_183
dl_187,PC 40:9,PC,17.02343754015577,17.776353952324154,17.898056468039883,17.6293673979857,17.679609463424534,17.40051724648918,17.760634254370085,17.801618366996312,17.40841237289957,17.166324826461146,17.537326325575915,17.113877221145888,17.875913389630238,17.459359140250736,17.395633271318808,17.390761874929655,17.271430924190263,17.46547926831407,17.253621594807733,16.754852133576765,Phospholipid,0.05417466168178377,1.10578466840243,17.62874642220103,17.358566313652247,0.27018010854878227,0.2183150235062712,40.0,9.0,40:9,True,lipid,True,dl_187
dl_192,SM d32:1,SM,18.839432281105875,19.309878744327587,18.966573439943634,19.087183420485722,19.50294814155937,19.36943424327465,19.560139059261395,18.805692164787917,19.47096938223603,19.065471366522353,19.24105327284974,19.067345305381334,19.109464269146496,18.931202209556048,19.109542454708276,18.757813184528462,18.85871063053275,19.05358200445392,19.063084985191416,18.87127971128416,Sphingolipid,0.0754398267339967,0.977622121345744,18.973201162700924,19.171414779402358,-0.1982136167014339,0.2842573074314245,32.0,1.0,32:1,True,lipid,True,dl_192
dl_194,PI 16:0_18:2,PI,21.65362907261239,21.33037498251709,22.06691075189869,21.951801686248672,21.514394171675935,21.427663430488135,21.765784954565802,22.183653491791038,21.455583865347982,21.24908092129917,21.61602999435128,21.53136780619684,22.03558986246889,22.03710513951586,21.47642520467154,21.892432262247034,22.170988465019207,22.20867044140532,21.964750701826784,21.371669309065627,Phospholipid,7.0892628966127565e-06,4.437868357093085,22.093531405478238,21.557629744374278,0.53590166110396,-0.15689663232082296,34.0,2.0,34:2,False,lipid,True,dl_194
dl_196,PC 42:11,PC,16.89670390232286,16.3582181672171,15.94391529988618,16.45947552481224,16.84912630202843,16.734259624618463,16.44818251121311,17.340890423468736,16.78644230187582,16.577047720741263,17.12048752328067,16.353924329949738,17.232201035840028,17.434474300302067,16.41915542783791,16.950917749920077,17.288622581712662,17.28683791261908,17.203598163339596,16.376614110517735,Phospholipid,0.134001782044877,0.7608360744810856,16.998059582663,16.69805214114329,0.3000074415197105,-0.07316661794804347,42.0,11.0,42:11,True,lipid,True,dl_196
dl_201,SM d40:7,SM,18.35648659799486,17.315791834016434,15.058525306624839,15.781747290971916,17.661946639596902,17.308471518507346,16.89760301934503,14.390012913359001,17.822308932836595,17.205426237781776,16.993932103084394,17.38374180873896,15.919718394907921,15.916471018229586,16.325834588103387,17.4883069174497,15.121438835752324,14.434713008887941,18.090770426297023,17.193636424724875,Sphingolipid,2.4309071152540525e-07,5.675928326855517,15.231803824104789,17.38801977295979,-2.1562159488550012,0.2636822095639353,40.0,7.0,40:7,True,lipid,True,dl_201
dl_202,PC 18:2_20:5,PC,21.165247969546556,21.45242195265559,20.330589338249645,20.106926473060266,21.40235595146319,21.20358475278447,21.697513040175984,20.100787770232202,21.31410584640487,20.946677407209876,21.27555841970253,21.108352545080955,20.66808672447963,20.3256119778706,20.997766439977998,21.529563512437846,19.585941971387705,19.82997280480777,21.131103547664416,20.387034862475833,Phospholipid,2.3179944377317388e-06,4.818578658129503,20.13541672286969,21.200868172890775,-1.0654514500210865,0.24013776738253156,38.0,7.0,38:7,False,lipid,True,dl_202
dl_203,PI 36:3,PI,20.66171316946817,20.5016659926829,20.70773018822741,20.58886286704141,20.340217520957587,20.494002699192993,20.558552714229542,20.865670473067844,20.50529956804297,19.951914122996985,20.453436458519263,20.42109416786053,20.312438813339377,20.608179640240905,20.278561766236805,20.555790873624442,20.790327220967203,20.677367458180374,20.805460268627066,20.110288956413516,Phospholipid,0.041281252513111336,1.2020245571593111,20.650082380152075,20.433692175296365,0.2163902048557098,-0.006957921751055807,36.0,3.0,36:3,True,lipid,True,dl_203
