new_index,1102_8_RBG,1093_9_RBG,1060_8_FBG,1060_8_RBG,1060_9_FBG,1060_9_RBG,1060_10_FBG,1060_10_RBG,1062_8_FBG,1062_8_RBG,1062_9_FBG,1062_9_RBG,1062_10_FBG,1062_10_RBG,1074_8_FBG,1074_8_RBG,1074_9_FBG,1074_9_RBG,1074_10_FBG,1074_10_RBG,1076_8_FBG,1076_8_RBG,1076_9_FBG,1076_9_RBG,1076_10_FBG,1076_10_RBG,1082_8_FBG,1082_8_RBG,1082_9_FBG,1082_9_RBG,1082_10_FBG,1082_10_RBG,1091_8_FBG,1091_8_RBG,1091_9_FBG,1091_9_RBG,1091_10_FBG,1091_10_RBG,1092_10_FBG,1092_8_FBG,1092_8_RBG,1092_9_FBG,1092_9_RBG,1092_10_RBG,1093_8_FBG,1093_8_RBG,1093_9_FBG,1093_10_FBG,1093_10_RBG,1101_8_FBG,1101_8_RBG,1101_9_FBG,1101_9_RBG,1101_10_FBG,1101_10_RBG,1102_8_FBG,1102_9_FBG,1102_9_RBG,1102_10_FBG,1102_10_RBG
m_10,28.897541053685654,28.523716485408837,29.097076030036565,28.62171827808299,28.484623377711397,28.858553282566447,29.05493010528917,28.862178585205434,28.84276542089028,28.953044059811127,28.936094576209673,28.985555161116736,29.010524553319108,28.842854075153113,28.845392429989925,29.45324695604966,28.857635745499067,28.95411643887812,29.056654257391678,29.393701433822386,28.292375883722933,28.779155400730648,28.21725474088739,28.554802531980588,29.1370936259826,28.706762295663285,28.536186682825356,29.094352538682898,28.374102136034715,28.885305025629034,28.46250588552041,28.511069119699293,29.133940881240758,28.80855146244556,29.438620595075665,28.678738406272977,28.715647943322466,28.402927100564437,28.911684878818665,28.77549474272096,28.73504548827423,28.627318513940278,28.621293432635053,28.470363574911612,28.87443761738626,28.449236202210756,29.667819551834295,28.543972171222617,28.498399697898364,28.448113281466245,28.989208539372214,28.704128020316823,28.897484910515015,28.720224715543324,28.823257792665846,29.02690712723212,28.535858592721173,29.007843424433133,28.75188257029295,28.57518865824622
m_11,27.466069629249205,27.835455282265475,27.628585706728256,26.243920126086014,27.462677346406995,27.79923239233714,28.548173906464598,27.30821196441248,28.734043739986397,28.347439821604414,28.08092386924849,27.871684577873282,29.396486002522046,27.192343911875145,28.17873758011692,27.51377393858018,28.027234986965126,27.295415197749286,28.92523718416958,27.52635618053611,28.23162729654584,28.794142973178182,26.711676877762006,27.362684466004897,28.932499714953913,28.015409585621136,26.36655425817442,27.527678939269425,28.48210158725014,28.59281435941796,28.396626279159243,27.858837162444537,28.84637561088761,27.292094740495326,29.119959363048185,27.10998806911512,29.043705310097327,26.978111682245547,28.135608376302986,27.956114419917988,26.677873662677175,28.889204434968512,26.97077296129005,26.7677356144348,28.800489343445843,26.78391485527935,29.009848709872884,28.28261799418778,27.163209685524773,26.77033501972375,27.96455391029827,28.904076366183663,27.9615870885042,28.682624953233603,27.942929954481492,28.100191635492507,28.960338078235747,28.163669139462513,28.931921420930603,27.507423790383722
m_12,28.8701438410857,29.080597760554486,28.899744487412438,29.28804707630708,29.167341256830134,29.007507844823863,28.862343014122718,29.151159484394768,29.297701219568374,29.0928502144242,29.251991369163957,29.09219619935613,28.494975636591967,29.037050314812586,29.312177756848104,29.094826337525454,29.2248912850321,28.91748039168508,28.957035168451608,29.201532567076192,29.19805859939651,29.161080169142423,29.369847620241476,29.35372014085552,28.996962596599968,29.165044572146584,29.27649582733562,28.3734182175201,28.95113650959186,29.282628815300544,29.196181378054128,28.906367215665174,29.221550807520888,29.16055812610872,29.35535150855295,29.03979496849651,29.119573340841104,28.189707819401377,29.038281927715435,28.676211831373084,29.105780619974745,29.176027178902835,29.09061402825004,28.730324812036017,29.134544768439756,28.83679896678685,29.270035932483772,29.096077097815154,28.946505443931333,28.950162088094846,29.02718742041452,29.32454225060019,28.97638759488052,29.267794616063266,28.81374345635409,29.382365048526154,28.934902680917777,29.070228627770764,29.197843027991055,28.698312009441143
m_13,28.24930659170549,28.5501952190119,28.946213398087274,28.997786870634975,28.428182527901704,28.878242808186638,28.241240056016334,28.547850765554628,28.808647410454718,28.610910745869294,28.893907571830187,28.736728617653014,28.41324150034644,28.501247327712214,28.83845941259532,28.63537305562431,28.74010884551271,28.670096094310086,28.404400333800748,28.78653097241816,28.50620100027743,28.814863846619176,29.31382545624522,28.911638408542043,28.53301024647029,28.50449446037709,28.566164010304984,27.8617605987438,28.453919799823904,28.701266901398768,28.840337376398406,28.80682025362062,28.72142544903552,28.722735465830254,28.87911727124832,28.662818326919957,28.63721968153626,27.71514004996548,28.531232135034113,28.56442803554843,28.640255315833677,28.62949699695507,28.57565774022366,28.804770531149174,28.60224660173415,28.569046479723614,28.778111701473197,28.569959830035497,28.473581778230816,29.105186079995327,28.533282921443114,28.95082602332171,28.38490189314352,28.70327164388896,28.638995012948115,28.917582638316787,28.506667133534027,28.38631777707786,28.886367866235506,28.234157143889643
m_14,25.986107458014267,25.338741787924057,25.745420648345547,25.70833598663402,24.968693434455556,25.025386954396453,25.30967540608317,25.164287782089083,25.71606523275643,25.495053960922625,25.596933491921376,25.40864655764178,24.85925896456611,25.591683160035704,25.72249665321376,26.3200458277575,25.763584314748634,26.315450715955127,25.732040636771075,26.088466346599287,23.757233433683222,23.582008585487568,24.66050295289567,25.594561546710487,25.391982800408954,24.31621724800659,24.931281056639648,29.273314506817247,25.33669271763291,25.71246351854536,25.46054045142972,24.90119060953213,25.658552983391786,26.10104498237241,26.326559076797935,26.910587261540876,26.24922682971345,25.99928013968524,25.498671302014735,25.27449791567694,25.318844813004215,25.308657309416073,25.460440350341784,24.984841509864268,25.596758331113776,25.28073483094952,25.607995203841888,25.647029500242194,25.189614286709276,26.118322834133316,25.398426998260504,25.51414236416276,25.862978491788517,25.87408500787347,25.497411951027278,25.38509793500053,25.582217887997864,25.549363523565674,26.19540889569225,25.720201537874132
m_15,28.3746123534519,28.32984349902147,28.209053631406892,28.14086673014814,28.304793812584617,28.789136448038416,28.400587000317927,28.209209869242763,28.180082679096152,28.34019618153341,28.147737584323124,28.31365673932644,28.38546594431204,28.339406917733662,28.260068200574647,28.19035495245916,28.137268096936868,28.285718578010457,28.272512605782165,28.30599664254759,28.162900071899564,28.321337700835514,27.38551372556355,28.29405224891412,28.32877314078931,28.27665048172277,28.225223672244276,28.441230291322206,28.442801694126544,28.28408154055226,28.283940523062196,28.380224696924053,28.262817710231072,28.284310489984033,29.004189166007,28.33493091471332,28.269431386177878,28.10928620358898,28.360707268980697,28.48699190378065,28.238823023860647,28.380090081084443,28.310246838506227,28.437999356973624,28.334026516338444,28.44156374377747,28.47668197827427,28.290621988504014,28.296910565181097,28.39460881838961,28.296555596058347,28.332103479201255,28.314192520252156,28.32204242958246,28.39411690763492,28.266818933375212,28.355231348679,28.310702976834023,28.29870071513173,28.18771761704497
m_16,27.71974349035661,27.467283130343954,28.597086198496132,28.62855802574695,26.982375974499785,27.628534796784702,27.955267287571385,27.842987331421543,27.70839646978333,27.31738185625381,27.68968379578497,27.484869793756793,27.978172551193158,27.709249304202803,27.252484817031863,29.104812203951706,27.766148612144676,27.13863708401872,27.419953328653943,28.357582525343194,25.734924158007928,27.25070271895181,25.856692966742592,25.516795971721425,28.40186638649767,26.976242615403457,27.227234087841325,28.032336416196436,26.97479260286688,27.63542411579323,27.110497035755525,26.609286999030378,28.551810194943908,27.74311891250538,27.606624173879077,27.648801068174922,27.631494184441113,27.45504031805362,27.563413534622867,28.02246905804366,27.539869045177227,27.524036076184704,27.495892528336334,27.456085015721968,27.795487739303073,27.390101913498377,28.42008202057796,27.75873848154302,27.192508274709237,27.339011942424214,27.710294615810014,27.56138493948192,27.34169244510332,27.78744069788877,27.306368668131423,27.952376760365713,27.319464143781822,27.42979787446443,27.47693383024141,27.499905424918147
m_17,28.055905607915335,27.767265782658548,26.63371909416948,26.84954255822113,26.936324847750075,28.42516143537818,26.875322035715907,27.544811197549176,26.655892275668023,28.550084131102295,26.84369671487406,28.067473373651897,27.588207671388197,27.755843021925013,27.906024569332608,28.120892058429735,27.46351237165801,27.951761698053936,27.393938288659864,27.99636005727948,27.62814467927957,28.4306034745491,27.261213384100476,28.50604614510885,27.53791243943462,28.619176793310615,26.366641498621018,27.232229158493336,27.10209417593089,28.228247714363473,27.23786326731995,28.177508416360688,26.348693723864233,27.02825171802579,27.657322835291954,27.792278532084453,26.81460613205281,27.04434187737949,26.394053763746545,27.177249530459125,27.2967534532237,26.77826093539052,27.452990329133627,27.42172752604211,27.425900720695882,27.367257776628417,27.14365825490653,27.238361257811036,27.544449462315676,26.759103711954083,28.394336196106046,27.268290568003895,28.02106817512439,27.175177124217587,28.346874160393952,27.274473120426276,27.63824782478307,28.23384575463708,27.732555234067434,27.931202894468925
m_18,27.952715747851887,27.914984681727436,27.79489537158775,27.72273366588481,27.866124526877048,28.340776170978977,28.00929768867852,27.789973452413303,27.73541600237919,27.926970624403893,27.689969463160317,27.904688091653426,27.98330472015819,27.918929296998915,27.81798451916203,27.78186970577909,27.689025973561424,27.8751405982421,27.840742301403445,27.88429735366803,27.684983951397655,27.8944782099444,28.230182762615375,27.870459816093366,27.911194506955912,27.826295017451166,27.783734671684932,28.03152348376033,28.01629723420164,27.8490547177556,27.850210640593613,27.999489200115363,27.836225566514663,27.869630697907567,28.604717570183514,27.910416630668017,27.834462279407482,27.671544297240505,27.94616431635816,28.058959811083923,27.818745541921913,27.981738887723235,27.874229601640184,28.050982549505367,27.926201907693734,28.007747006907163,28.033762679532927,27.878338724125012,27.889025146927413,27.999634163182133,27.85306073659436,27.910240165792008,27.89890756842673,27.89757778261612,28.012962400690295,27.833971282588777,27.92944926733196,27.89637362718342,27.892934811312855,27.769777791159978
m_19,27.73062741894245,28.15814801448268,27.878988916414773,27.99742171394909,27.85099464653345,28.199400325004152,28.108113808455133,27.941871634157543,28.031480104257852,27.845098336146602,28.004266840803503,27.929949766886153,27.435723325884304,28.000261655398436,28.22042626545533,27.652197710907423,28.10851903607423,27.733122892884207,28.12394090048806,28.008467182536783,28.07097706277294,27.919951700183006,27.161411811497256,28.043079437050952,27.809012765776206,27.834173687445606,27.936482827865124,28.03820020475684,27.814694387148293,28.02027815530368,27.934824434420502,27.742978592935295,28.03686221427052,27.970185716886007,28.878392749904545,27.77924175865806,27.997332368441985,27.834686914142907,27.931032059782254,27.995052643005863,28.10132793736343,28.14909580258813,27.960125121089426,27.41458017948572,28.082417128131112,27.705115495601923,28.164226755831997,27.946332045512136,28.10295833308462,27.370798547171603,27.89208633023789,27.700559903210443,27.876164094549345,27.909457903322338,27.488919196727,28.084298618456877,27.770161605910324,28.01287916978885,27.86297509830344,27.689225836735794
