i,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
l_11,0.32788359046890697,-0.3838267900041432,0.03040092621718566,0.1293399106112158,-0.48812277692321077,0.08194006979146493,0.1314954314431375,0.12104342309301726,-0.09086059928339395,-0.051050115015205885,-0.08864231540906019,-0.2922213105735394,0.15287719574685685,0.17146698793874976,0.009988543529849413,-0.10310814900722441,-0.08121364624256633,-0.0748295931012089,-0.25944052809636814,-0.08221143375564058,0.01432591425092925,-0.01789106328083696,-0.08181037940756648,-0.12878431901271503,0.1516726302187164,-0.06352682391792544,0.005016495512821492,0.0919288550458216,0.03584682182431061,-0.05903240385116218,0.06269821154842001,0.06621378725662337,0.006337164965008704,-0.024954460932768437,-0.021858322982002867,0.14828893774899796,0.04630655535749288,0.007454454199684392,-0.04215761668051104,0.12883073299242812,-0.09775508787519441,0.06385142729183756,0.07187387261459365,0.05038768903689346,-0.08060472123264713,0.11347516605031456,-0.03804952324764436,0.018524156983140784,-0.08937497804027399,-0.06715597245314078,-0.0414879244416515,0.024536251438610032,0.05203399550388586,0.04389120691557392,0.11495784930557258,-0.05492439320572488,0.011487903162987123,-0.03287042714306049,0.13473617731471316,8.702465693329307e-16
l_12,-0.29193303852124813,-0.24239846668588425,0.09653919350869358,0.16848281636256968,-0.7413378630226207,0.04401595759282767,-0.014587462752858807,-0.02017910273465997,-0.3394787033431915,-0.10692493454267646,-0.0011040432173640177,-0.10044220823219857,-0.1208563798745682,0.05135391204987108,0.0017265651673382706,0.13157054137796143,0.05860555305155287,0.0722632643040143,-0.005646951736706727,-0.19998189511980097,0.03157894010656531,-0.11300224689262815,0.06565908534304524,-0.023064062348164723,0.0018992062891424325,-0.054281742353898176,-0.02934727862895714,0.006885775407775753,0.024803135081083484,-0.027270824513837413,0.016236348026206077,-0.05995862467928567,0.07739520296502539,-0.039961946960635236,0.0037484677190750475,0.054190618518031565,-0.018686876067243754,-0.02549907115159066,-0.040073368429076425,0.054071496775103645,-0.0047566907283467285,-0.010193209050778036,0.06730080717516061,0.06139262228226936,0.001276282806004138,-0.03721635674442766,-0.01284011215799197,0.004176613166541045,-0.0026602909774660916,-0.03011245418747908,-0.025666216095737753,-0.04025355461176647,0.021234643268766975,-0.008060222904864018,-0.026239374729737742,0.057647373694849735,0.015701665412333424,-0.037347106120656455,0.002443755773909485,-9.43983146187454e-16
l_13,-0.12960233732072712,-0.15551594410950315,-0.01162984633152713,0.29048320799515803,-0.3854223601783376,0.1455977500042866,-0.0760185650954964,-0.14935214328069243,-0.33808936328212197,-0.2410495676052373,-0.15047357048836624,-0.044226607950267983,0.17898720480051405,0.1308944824672547,-0.09731902402802099,0.01752102820416567,0.05732671929064348,-0.029111519778335128,0.10494141906763604,-0.32095906774404637,0.06303035204928596,-0.15600173524135277,0.04284990560236201,0.03382690163727171,0.11148730248990409,-0.02147551785825773,0.18480330369458545,-0.20018469922668083,0.14043132367812247,0.0030227558338733586,-0.027761972162468094,0.010022636891846784,-0.05476760727262605,-0.0528214488520609,-0.0704791187714052,0.05334465774288463,-0.12376121512662754,0.11840102829046409,-0.033836109031139545,-0.18581498464550947,-0.02003880757615929,-0.001290391785367512,-0.08979336989506298,0.023178634930733074,0.1353949068889709,-0.20117530549541085,0.024019560366612815,0.039201971060453616,0.09118976899926427,-0.012224866722103643,0.05211574983833601,-0.06723260705476711,0.06862588849490411,0.012543673262730213,0.024012858677148984,0.06660914708185438,0.07085878546889508,0.033236972117291264,0.015974423258414527,1.294329026914939e-15
l_14,-0.016391525740100443,0.011927758844252803,0.07102026209008806,0.04366523492171121,-0.03925007307287738,0.20933893832680575,0.36656236305502315,-0.09119509670435563,-0.6583922670841487,-0.05087104340043523,-0.24212566019645665,0.008458530827853073,-0.13092158498435136,-0.04137472313370704,-0.05288292153751585,0.08204933677395233,-0.14984366558713713,-0.09760990054564361,0.05375343475776183,-0.004398596954588504,-0.09105502253335716,-0.050315526237635355,0.214908564927283,0.05884339337160184,-0.21414116482876974,-0.07748100237086748,-0.06296232998014553,0.06163766822033097,0.07192876295841953,-0.032446008705375826,-0.06815252197005307,0.01255377675527768,-0.06892114933293583,-0.09612539154260537,0.008632303220011156,-0.018345179537023956,0.04870605717691739,-0.042330337161586885,-0.004087017275291307,-0.008807808603946074,0.06850636243156186,-0.05193767099429861,0.139562608197837,-0.07127748139299973,-0.1382018458617045,-0.059257533813414684,0.1136761290917424,0.02324711749588796,-0.07619010457166078,-0.03953268725550188,0.13836659111293662,-0.012970094596352757,0.061140666724381815,0.036625923846538205,-0.06721771699880008,0.0663299466579692,-0.05614869474286676,-0.02968807344412244,-0.031404967274099756,3.353557870708184e-17
l_15,0.21207577075915351,-0.024055277635343042,0.010807858289722767,0.11137290817514933,-0.17614181951808636,-0.01825593799966133,0.4108680807612824,-0.14963717808149812,-0.5972652334350037,-0.043644637352292244,-0.27519567505035714,0.12112007093761458,-0.15415921523605688,0.00504566097900724,0.0017288389424219026,0.06899520741318146,-0.15764882513436282,-0.069401434495194,0.12685147854968554,0.01812797197231624,-0.029271606828929493,-0.07265924273112263,0.19066138896859744,0.011278497383403823,-0.2042952359938686,-0.13788423439774816,-0.12508873167222445,-0.033979059633860845,0.09512857797780844,0.10966906394370449,-0.04371334266304479,0.11310843182813385,-0.049507749396722533,0.03158526040430723,0.002557772711596745,0.01829261493694633,-0.026122579621678393,-0.049701062670777306,-0.048625848590347145,-0.053867000106826324,0.09747672827220707,0.014518246831603375,-0.0220474347585062,0.04863370582633388,-0.04816593470905809,-0.01733691772055836,0.023278344501029023,0.08587931278342192,0.012251978706896042,0.033837430604104726,0.01329105629980732,0.017184060497148813,0.06354795984451281,-0.012199108197669818,-0.04120701939573578,0.06163950571702716,-0.04619557114526434,0.08767489469033203,-0.010222711404172904,-6.625950588264354e-16
l_16,0.2241885907340225,0.029497871326207466,0.009533878413089177,0.12942180236254625,-0.2511365181680577,-0.028308466170575645,0.4474322183953303,-0.2768654769019397,-0.5331238047580715,-0.07870356495445847,-0.21084819854732326,0.047101250896818596,-0.07328281243433361,0.036392928546811816,-0.10363421592442049,0.05258101704479081,-0.06397762952427834,-0.13398162883343315,0.2218190280409514,-0.006473632313366824,-0.06129949873424432,-0.06481420953988407,0.18919904357020553,0.010584083228758225,-0.1828184529668497,-0.14400560308410937,-0.06656469304050779,-0.02015120211933963,0.07966580099287901,0.13131073678639674,-0.04525779127380439,0.05434120665608486,-0.01889899734668189,0.023863853070357405,-0.017781659096720255,-0.012224063341406544,0.0002012474959917812,-0.0616993917571758,-0.039631674780102794,-0.04462228702262201,0.06713182912572836,0.03396320356134813,-0.022613689609373287,0.08225190647644576,0.003341948060014985,0.01880104349524794,-0.006850824792365981,0.03852193071533492,0.007841587376978897,0.04466719213492173,0.048633495478209936,0.0520886413821322,0.03434266491922481,-0.03199949735849531,0.02809137284382895,0.056559093718471745,-0.043981946362196316,0.09564335670348609,-0.014836207863082634,8.512432921100961e-18
l_17,0.23689791838558738,-0.020817369364293594,0.17426031877614706,0.33559893047805806,-0.29047678314146363,-0.11287414821778763,0.35176339266236284,-0.37824977766529094,-0.013815980111190323,0.01751208399633546,-0.1345340690755651,-0.3197126487549887,-0.00015547194226484708,0.09817188185619659,-0.0702850089330609,-0.10922425267035556,0.07522183832691609,0.18955564576194353,0.20078616750858772,-0.0042946427936714415,0.06627378106941754,0.0865722215154488,-0.12916906838750833,-0.03485893430043464,0.1380985320636928,0.013799599637472305,0.08612909760646355,-0.0695972067127786,0.08648117945455258,-0.03569067737424183,-0.06912156493501574,-0.045965262370716846,-0.06936126247828953,0.07288761829404915,0.01819401781073176,-0.10680814040131154,0.17786666649846744,0.02532413173223349,-0.0005942617741925315,-0.060216084910331695,-0.0867787119951805,0.08040943600528094,-0.036048206374326326,0.036260781223155965,-0.048087755777463215,0.05371419006281468,0.01738922862120754,0.09525731944211742,-0.039400068269583616,-0.03697331145114609,-0.09418596896300803,-0.11358235788256227,-0.09152855585909485,-0.03744165055142976,0.027812471038459262,0.02344637328847958,0.07308033079414532,0.10432920653304717,-0.07940879433924065,-3.732388703768723e-16
l_18,-0.03736839529487769,0.012429288452674405,0.20669583930540503,0.24935403113100346,-0.36716046821765147,-0.1946978925776258,0.268578346777123,-0.17994091612403598,-0.19560225086316574,-0.08405101968975166,-0.05839256325197631,-0.2216809949989289,0.08729581829527411,-0.014839336718602261,-0.06970251964961724,-0.08368633155967796,-0.08683736782842334,0.2610394709842823,0.2225402829153202,-0.013827812223242133,-0.05212482125453947,0.0442733840577315,-0.12659316327489578,0.16621738133998723,-0.04206549396921408,0.12685216787448955,-0.14000829241821966,0.032459437131803624,-0.07597006655596104,-0.2643264943150519,-0.02549843409617627,0.22397238928356444,0.08760518899884863,0.07965923549627055,0.1925321976983347,0.029366727450840933,0.09303652949630686,0.08813072652509696,-0.15362117952607637,-0.049785151294771464,0.04544895909384585,-0.13439443855017205,0.029102957661415244,0.022064912263676132,0.1073957139428359,0.033681715494266226,-0.07888159713051875,0.03700294053101684,-0.07980382307245235,-0.09069018563752258,0.020795830397760576,-0.06866567825684579,0.05871322963779956,-0.09348931315179929,0.0465715173627254,0.027793024121437564,-0.017469858270315178,-0.07395236492059207,0.013201635973174896,2.2242189951403425e-16
l_19,0.12294679226057971,0.0024333366378260267,0.18855793236526663,0.3762045401196961,0.03784128650718052,-0.29454863823396527,0.22802700110313773,-0.3433890276527836,-0.07715586759225374,0.31133513101714994,0.0607733438319519,-0.05458360241857359,0.022249975686028572,-0.05356968559033897,-0.08698100204577179,-0.0013695634910967282,0.005579894574408952,0.0807732435281733,0.299502788939687,-0.10082244775030486,0.09306472239736846,0.11623213001883835,-0.1157171788541262,-0.01416368355550496,-0.198690046237894,0.08812835579723888,-0.02963463500995679,0.12807817607941419,-0.1524215616764068,-0.1211667388455307,0.04459832918399842,0.0947382911035726,0.021812686178267177,-0.08676981434566229,-0.1286070553401157,0.06462690077014922,0.029615594845208693,0.04526447840780584,0.09020252807310478,-0.184546707528889,0.007469249657887374,0.20877448950340236,-0.029388289553491053,0.039116263547684445,-0.05742672599241751,-0.014517687114513941,0.03342090303125212,0.053675756304235156,0.016275051835411156,0.06470938992827825,-0.08462908232360616,-0.14644988301387454,0.0020367460532900307,-0.09004545562862484,-0.06758570785656154,0.027927746786047446,-0.12071371053398174,-0.02732229995690033,-0.03659084073305392,2.092666625722457e-15
l_20,0.2945204073838265,-0.012161130018005206,0.031150572744151738,0.4380533396547339,-0.4140104624086503,0.08036884434517283,0.2003664054408853,-0.059992227829757494,0.001909607179121963,-0.07233171421794354,-0.20024774853846433,-0.31378417319205015,-0.2152803741181708,0.1313395865758675,-0.03273510823567486,-0.02823783171141914,0.13806609960320992,0.026149242204264827,0.21860448547916211,-0.13986632190335213,0.04757819119521696,0.023958238602139297,-0.10249923899354262,0.034987649679860566,-0.04690888944969666,-0.1140124333870994,0.13728331296881288,0.006051556234685517,0.031570661288038634,-0.060574828693246326,0.05389621498914994,0.0009532578067070766,-0.032404562621647495,-0.07281124579630453,-0.004288567106137105,-0.07309173514246203,0.1549704890865083,-0.1131164320947866,-0.0345822931430631,-0.07922470931582042,0.018335734002861048,0.130286913138569,0.1796943963091859,0.11932109871194546,-0.11919216501603998,0.09101293699828253,0.038609365414660465,-0.019291296113768872,0.08991817974053404,-0.024102159364275982,-0.011253726437880819,-0.08037137430812086,0.02993955209880671,-0.02188914264945789,0.019887441367398857,-0.008745149095491157,-0.031088533244214157,0.025691313104813335,0.00978677407784788,1.1115420053789784e-15
