feature_name,gluc_pval,sampling_pval,cross_pval,fdr_gluc_qval,fdr_sampling_qval,fdr_cross_qval,full_model_ll,no_gluc_tol_ll,no_feeding_ll,no_cross_ll,full_model_params,no_gluc_tol_params,no_feeding_params,no_cross_params
l_716,9.075977421864886e-09,3.2122464831884575e-14,4.6008281547161924e-05,1.6853992481248019e-07,2.6044834161814394e-13,0.001016988846849774,-59.42914415910201,-77.94677891680857,-90.49836492965032,-67.73208167040988,"{'Intercept': 21.571095312553815, 'bg_type[T.RBG]': -4.16558601658333, 'ogtt': 0.0002331715698628083, 'ogtt:bg_type[T.RBG]': 0.0015792281462386876}","{'Intercept': 21.950662486697375, 'bg_type[T.RBG]': -1.5948473748689445}","{'Intercept': 19.488302304261865, 'ogtt': 0.001022785642982621}","{'Intercept': 20.28572599169621, 'bg_type[T.RBG]': -1.5948473748689422, 'ogtt': 0.0010227856429824273}"
l_717,1.5905435806299263e-11,1.1095437210419623e-19,2.2247738514749377e-05,1.0102897535644356e-09,2.3656567978265047e-18,0.0006098705462693996,-60.463438717828026,-85.32779890834618,-104.1086066160242,-69.45668775964427,"{'Intercept': 20.19650441474618, 'bg_type[T.RBG]': -5.009306612882007, 'ogtt': 0.0005389653576781956, 'ogtt:bg_type[T.RBG]': 0.0016822555161133356}","{'Intercept': 21.073856477415656, 'bg_type[T.RBG]': -2.270855382254174}","{'Intercept': 17.691851108304828, 'ogtt': 0.001380093115735061}","{'Intercept': 18.827278799431745, 'bg_type[T.RBG]': -2.2708553822541724, 'ogtt': 0.0013800931157349104}"
l_718,0.007295013246486982,3.207560183951001e-12,0.0018867181379890513,0.017498624824456858,1.936872880308874e-11,0.010025729920944897,-90.72453824363603,-95.64510252481409,-117.19004877872524,-95.55284154539024,"{'Intercept': 17.394369267863958, 'bg_type[T.RBG]': -0.7589835765036204, 'ogtt': -0.0011261344289020354, 'ogtt:bg_type[T.RBG]': 0.0019688673797320097}","{'Intercept': 15.561196968449082, 'bg_type[T.RBG]': 2.4460273432569037}","{'Intercept': 17.014877479612107, 'ogtt': -0.00014170073903508815}","{'Intercept': 15.791863807983841, 'bg_type[T.RBG]': 2.4460273432569046, 'ogtt': -0.000141700739035372}"
l_719,7.406705584788228e-08,2.0481188373099935e-08,6.102039818686562e-05,1.1027052193904543e-06,7.088379222513744e-08,0.0010433883927595735,-77.20740792392074,-93.62570291787168,-94.91116693634902,-85.24276574298449,"{'Intercept': 22.397558557901487, 'bg_type[T.RBG]': -4.628761787524156, 'ogtt': 0.0001785502243339972, 'ogtt:bg_type[T.RBG]': 0.002084503681803334}","{'Intercept': 22.688210647832605, 'bg_type[T.RBG]': -1.2355128916185611}","{'Intercept': 20.083177664139093, 'ogtt': 0.0012208020652360835}","{'Intercept': 20.700934109948275, 'bg_type[T.RBG]': -1.2355128916185594, 'ogtt': 0.001220802065235872}"
l_720,2.027363975784035e-12,3.6647403325365677e-07,0.0006560715545147237,1.8036559340173234e-10,1.1123034366064416e-06,0.004791160166952526,-76.57926082643728,-103.50354552723464,-91.39859899517094,-82.38413320977735,"{'Intercept': 18.323422184587915, 'bg_type[T.RBG]': -3.9304900093779507, 'ogtt': 0.0012124135639631128, 'ogtt:bg_type[T.RBG]': 0.0017197576741501957}","{'Intercept': 20.297043542617505, 'bg_type[T.RBG]': -1.130991078300576}","{'Intercept': 16.358177179898668, 'ogtt': 0.0020722924010385204}","{'Intercept': 16.92367271904887, 'bg_type[T.RBG]': -1.1309910783005725, 'ogtt': 0.0020722924010383526}"
l_721,8.97919316697673e-14,1.4550753789890161e-07,3.0730596720554824e-05,1.5507066599368812e-11,4.602408753688701e-07,0.0007847134741095326,-76.50175554077823,-106.54303681219274,-92.24479348558972,-85.18779940663681,"{'Intercept': 19.962495267824792, 'bg_type[T.RBG]': -4.537397277305625, 'ogtt': 0.0011112580444655345, 'ogtt:bg_type[T.RBG]': 0.002154108301775388}","{'Intercept': 21.771451119217758, 'bg_type[T.RBG]': -1.030842848801707}","{'Intercept': 17.693796629171665, 'ogtt': 0.0021883121953535133}","{'Intercept': 18.20921805357244, 'bg_type[T.RBG]': -1.0308428488017038, 'ogtt': 0.0021883121953533264}"
l_722,5.075164475392323e-13,4.0855333294455675e-06,6.840567673748325e-05,6.077023565093398e-11,1.1146470868803309e-05,0.0010863650818996042,-75.45159539341697,-103.76084266899257,-87.85965367358742,-83.37881777549399,"{'Intercept': 19.742667778652088, 'bg_type[T.RBG]': -4.0496156965764545, 'ogtt': 0.0010512851779728683, 'ogtt:bg_type[T.RBG]': 0.0020088286531822}","{'Intercept': 21.45399709918946, 'bg_type[T.RBG]': -0.7795540176366758}","{'Intercept': 17.717859930363577, 'ogtt': 0.0020556995045643467}","{'Intercept': 18.10763693918185, 'bg_type[T.RBG]': -0.7795540176366726, 'ogtt': 0.0020556995045641507}"
l_723,7.692224068084579e-11,9.09469683211913e-06,2.0987902001091814e-05,3.2401148696541627e-09,2.4016118393072993e-05,0.00059419847140796,-72.12687926444482,-95.41510533006087,-83.73469834446142,-81.17561924410515,"{'Intercept': 19.85734688941011, 'bg_type[T.RBG]': -3.8965976589426496, 'ogtt': 0.0005407018351364691, 'ogtt:bg_type[T.RBG]': 0.002050507590419059}","{'Intercept': 20.737525668228038, 'bg_type[T.RBG]': -0.5586891304165076}","{'Intercept': 17.909048059938517, 'ogtt': 0.0015659556303464187}","{'Intercept': 18.188392625146733, 'bg_type[T.RBG]': -0.5586891304165031, 'ogtt': 0.0015659556303462133}"
l_725,0.00016976017165309433,1.0949509164685544e-06,3.089780905584726e-05,0.0007838925573392884,3.178118038220493e-06,0.0007847134741095326,-84.6682543260925,-93.34937819804001,-98.39305534693585,-93.34914150923663,"{'Intercept': 20.443752117498633, 'bg_type[T.RBG]': -3.0351390953410604, 'ogtt': -0.0012405861730582027, 'ogtt:bg_type[T.RBG]': 0.002467346303463949}","{'Intercept': 18.424270118617272, 'bg_type[T.RBG]': 0.9813182480217533}","{'Intercept': 18.926182569827894, 'ogtt': -6.91302132558593e-06}","{'Intercept': 18.435523445817097, 'bg_type[T.RBG]': 0.9813182480217564, 'ogtt': -6.913021325850258e-06}"
l_724,0.0013184716822243461,7.85615978580699e-09,0.0002887213967345244,0.00420249075041852,2.856334305281825e-08,0.0027197068203437067,-90.56118131786239,-97.19246334753029,-109.2231492446296,-97.1322724120222,"{'Intercept': 19.64035341378615, 'bg_type[T.RBG]': -2.064190766775635, 'ogtt': -0.0010451309634680775, 'ogtt:bg_type[T.RBG]': 0.002325211583541628}","{'Intercept': 17.939042200560316, 'bg_type[T.RBG]': 1.7208932834353021}","{'Intercept': 18.608258030398197, 'ogtt': 0.00011747482830353666}","{'Intercept': 17.747811388680677, 'bg_type[T.RBG]': 1.7208932834353023, 'ogtt': 0.00011747482830325477}"
l_726,2.8074190476227246e-09,5.841591765388123e-19,0.004638826470943404,6.07319827464801e-08,9.988543543391374e-18,0.01921163864584954,-38.42088651564059,-58.11188677970076,-80.40499996025929,-42.428449156979745,"{'Intercept': 20.40150739852978, 'bg_type[T.RBG]': -2.7788765544032326, 'ogtt': 0.0005003936244047959, 'ogtt:bg_type[T.RBG]': 0.0007449543465207335}","{'Intercept': 21.216070658049652, 'bg_type[T.RBG]': -1.5662063461906186}","{'Intercept': 19.01206912132798, 'ogtt': 0.0008728707976658549}","{'Intercept': 19.79517229442316, 'bg_type[T.RBG]': -1.566206346190616, 'ogtt': 0.0008728707976656659}"
l_727,0.00814586845184707,0.009975809863782843,0.2287479108297794,0.0191660964800271,0.016758972407347247,0.37303837771768555,-90.1625739672038,-94.97281838589356,-94.77016609735402,-90.88688895793722,"{'Intercept': 22.179037913847232, 'bg_type[T.RBG]': -2.0060816927293694, 'ogtt': 0.0005374707211482552, 'ogtt:bg_type[T.RBG]': 0.000729681655462749}","{'Intercept': 23.05395693991591, 'bg_type[T.RBG]': -0.8182730582918749}","{'Intercept': 21.175997067482424, 'ogtt': 0.0009023115488806044}","{'Intercept': 21.585133596628303, 'bg_type[T.RBG]': -0.8182730582918767, 'ogtt': 0.0009023115488803661}"
l_728,4.450404420663165e-05,4.325282889952122e-08,0.0017521744267980993,0.00025365836417443185,1.4504395244557893e-07,0.00948951130859335,-79.79753531901945,-89.81746581089305,-96.75373851664557,-84.69382535594931,"{'Intercept': 18.998378848745737, 'bg_type[T.RBG]': -1.2951839663645572, 'ogtt': 9.267665766256344e-05, 'ogtt:bg_type[T.RBG]': 0.0016535341587980061}","{'Intercept': 19.149242082539544, 'bg_type[T.RBG]': 1.3965133463646584}","{'Intercept': 18.350786865563382, 'ogtt': 0.0009194437370624939}","{'Intercept': 17.652530192381157, 'bg_type[T.RBG]': 1.396513346364662, 'ogtt': 0.000919443737062224}"
l_729,0.010837771186076107,0.7962159599930717,0.8569835330733624,0.024498469683708685,0.8333727047927484,0.9074252370433458,-55.537484368961344,-60.062202283213225,-55.7653691923721,-55.553723149431406,"{'Intercept': 22.381530114265466, 'bg_type[T.RBG]': -0.2020626510760528, 'ogtt': 0.0004973934637987371, 'ogtt:bg_type[T.RBG]': 6.098931505028361e-05}","{'Intercept': 23.19120957734469, 'bg_type[T.RBG]': -0.1027814995170786}","{'Intercept': 22.280498788727442, 'ogtt': 0.0005278881213252576}","{'Intercept': 22.331889538485974, 'bg_type[T.RBG]': -0.10278149951707949, 'ogtt': 0.0005278881213249848}"
l_730,0.0038722861619565857,0.8218986399449811,0.6871204836940981,0.01030421910893532,0.8538898720919649,0.7982982354308187,-66.32558887511028,-71.87949908194497,-66.5217270757088,-66.4066990412918,"{'Intercept': 22.706172905768742, 'bg_type[T.RBG]': -0.35645861276605206, 'ogtt': 0.0006210860192647061, 'ogtt:bg_type[T.RBG]': 0.00016324370438692854}","{'Intercept': 23.717204676800442, 'bg_type[T.RBG]': -0.09072316479737141}","{'Intercept': 22.52794359938571, 'ogtt': 0.0007027078714595374}","{'Intercept': 22.573305181784384, 'bg_type[T.RBG]': -0.09072316479736742, 'ogtt': 0.000702707871459261}"
l_731,2.368096827808486e-10,1.2569483981805445e-16,2.201062986350237e-06,7.864813887740877e-09,1.57300716207087e-15,0.00017278344442849358,-50.123339010389714,-72.28710333402256,-86.73601362109576,-61.32885411511966,"{'Intercept': 24.585888582010533, 'bg_type[T.RBG]': -4.175933195198417, 'ogtt': 0.000152586707857469, 'ogtt:bg_type[T.RBG]': 0.0016116111059467251}","{'Intercept': 24.834276091463256, 'bg_type[T.RBG]': -1.5524801144379752}","{'Intercept': 22.497921984411036, 'ogtt': 0.000958392260831489}","{'Intercept': 23.274162041629904, 'bg_type[T.RBG]': -1.552480114437973, 'ogtt': 0.0009583922608312563}"
l_732,0.0006887871773591408,3.341786738469139e-14,0.008586597621424013,0.00249378502159169,2.6843096266680013e-13,0.03155117891957292,-40.27928146005255,-47.55985968098956,-71.30896714637873,-43.73270809362552,"{'Intercept': 22.985107623388735, 'bg_type[T.RBG]': -2.387185126039001, 'ogtt': 4.21124865660113e-05, 'ogtt:bg_type[T.RBG]': 0.0007099358196660402}","{'Intercept': 23.053660224083792, 'bg_type[T.RBG]': -1.2315196516740126}","{'Intercept': 21.791515060369072, 'ogtt': 0.0003970803963999751}","{'Intercept': 22.407274886205986, 'bg_type[T.RBG]': -1.2315196516740095, 'ogtt': 0.00039708039639974155}"
l_733,1.433654329634082e-08,5.1042364491123954e-17,1.2486550699506206e-05,2.6062326602926944e-07,6.729020112684814e-16,0.0004366840470488846,-47.49239481992888,-65.5528489040156,-85.00627052962145,-57.036102767644536,"{'Intercept': 22.911800048053884, 'bg_type[T.RBG]': -3.8375804095649935, 'ogtt': 6.847663662944424e-05, 'ogtt:bg_type[T.RBG]': 0.0014028113447063955}","{'Intercept': 23.02326939860841, 'bg_type[T.RBG]': -1.5540209761408499}","{'Intercept': 20.99300984327112, 'ogtt': 0.000769882308983266}","{'Intercept': 21.770020331341428, 'bg_type[T.RBG]': -1.554020976140845, 'ogtt': 0.0007698823089830515}"
