TraceFinder Compound Database Export,,,,,,,,,Schema Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,PEAK 1,,,,,,,,,,PEAK 1 CONFIRMINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Fragment,Fragment,Fragment,Fragment,Fragment,Fragment,Fragment
GMP,XIC,eTargetCompound,,,,ESI,5000,,0,,362.049987792969,,-,1,8.2949291,60,30,,,362.049987792969,78.9579784490131,30,100,eAbsolute,10,0.1,362.049987792969,362.050115999049,30,42.8761137779179,eAbsolute,10,0.1,362.049987792969,211.000435615269,30,17.1404283071982,eAbsolute,10,0.1,362.049987792969,96.9685448857636,30,8.23618050535959,eAbsolute,10,0.1,362.049987792969,150.041079196317,30,5.09395623641387,eAbsolute,10,0.1,362.049987792969,218.488880213538,30,1.4818612872642,eAbsolute,10,0.1,362.049987792969,150.979282367672,30,0.875169209781233,eAbsolute,10,0.1,78.9579784490131,362.050115999049,211.000435615269,96.9685448857636,150.041079196317,218.488880213538,150.979282367672
Gluconic acid,XIC,eTargetCompound,,,,ESI,5000,,0,,194.904937744141,,-,1,6.5392499,60,30,,,194.904937744141,195.049960346958,30,100,eAbsolute,10,0.1,194.904937744141,75.0076208026702,30,65.6717044519867,eAbsolute,10,0.1,194.904937744141,129.018139291313,30,59.2319715025259,eAbsolute,10,0.1,194.904937744141,99.0076240421368,30,18.1018589442614,eAbsolute,10,0.1,194.904937744141,87.0076788315416,30,15.2791324976095,eAbsolute,10,0.1,194.904937744141,59.0127333821304,30,10.0712824969185,eAbsolute,10,0.1,194.904937744141,78.9579243096494,30,7.43505382467175,eAbsolute,10,0.1,195.049960346958,75.0076208026702,129.018139291313,99.0076240421368,87.0076788315416,59.0127333821304,78.9579243096494
Glyceric acid,XIC,eTargetCompound,,,,ESI,5000,,0,,105.01815032959,,-,1,3.8503281,60,30,,,105.01815032959,105.018203279241,30,100,eAbsolute,10,0.1,105.01815032959,72.9920297365671,30,53.1998062530526,eAbsolute,10,0.1,105.01815032959,75.0076164478565,30,35.2093239427221,eAbsolute,10,0.1,105.01815032959,59.012741801178,30,25.2704280487924,eAbsolute,10,0.1,105.01815032959,67.0014478304416,30,1.00986803382801,eAbsolute,10,0.1,105.01815032959,80.6770467265277,30,0.946003925209901,eAbsolute,10,0.1,105.01815032959,78.3526335260552,30,0.9364077828057,eAbsolute,10,0.1,105.018203279241,72.9920297365671,75.0076164478565,59.012741801178,67.0014478304416,80.6770467265277,78.3526335260552
Pyruvic acid,XIC,eTargetCompound,,,,ESI,5000,,0,,87.0076522827148,,-,1,2.7286599,60,30,,,87.0076522827148,87.0076370239258,30,100,eAbsolute,10,0.1,87.0076522827148,59.0126647949219,30,7.7864152371806,eAbsolute,10,0.1,87.0076522827148,62.4556884765625,30,6.37593975911269,eAbsolute,10,0.1,87.0076522827148,84.4148330688477,30,5.78786489805977,eAbsolute,10,0.1,,,,,,,,,,,,,,,,,,,,,,87.0076370239258,59.0126647949219,62.4556884765625,84.4148330688477,,,
Creatinine,XIC,eTargetCompound,,,,ESI,5000,,0,,112.050514221191,,-,1,2.4901284,60,30,,,112.050514221191,112.050565566764,30,100,eAbsolute,10,0.1,112.050514221191,69.0082127746127,30,0.619356954070847,eAbsolute,10,0.1,112.050514221191,110.03486329876,30,0.618431045805271,eAbsolute,10,0.1,112.050514221191,68.0006690815372,30,0.543348723343021,eAbsolute,10,0.1,112.050514221191,58.0288237087943,30,0.536612624581651,eAbsolute,10,0.1,112.050514221191,56.0005263240858,30,0.499135431630719,eAbsolute,10,0.1,112.050514221191,55.6519841475577,30,0.411822079862049,eAbsolute,10,0.1,112.050565566764,69.0082127746127,110.03486329876,68.0006690815372,58.0288237087943,56.0005263240858,55.6519841475577
D-Galactosamine,XIC,eTargetCompound,C6H13NO5,,,ESI,5000,,0,,180.086395263672,,+,1,5.6965446,60,30,,,180.086395263672,72.0449905395508,30,100,eAbsolute,10,0.1,180.086395263672,96.0448837280273,30,67.415637716251,eAbsolute,10,0.1,180.086395263672,162.075973510742,30,49.7891993116955,eAbsolute,10,0.1,180.086395263672,144.065719604492,30,36.9911039113735,eAbsolute,10,0.1,180.086395263672,126.055252075195,30,35.7781093749655,eAbsolute,10,0.1,180.086395263672,98.0604095458984,30,22.1649928748906,eAbsolute,10,0.1,180.086395263672,84.0449295043945,30,13.1484624867625,eAbsolute,10,0.1,72.0449905395508,96.0448837280273,162.075973510742,144.065719604492,126.055252075195,98.0604095458984,84.0449295043945
D-Galactosamine,XIC,eTargetCompound,C6H13NO5,,,ESI,5000,,0,,180.086395263672,,+,1,5.6965446,60,30,,,180.086395263672,72.0449905395508,30,100,eAbsolute,10,0.1,180.086395263672,96.0448837280273,30,67.415637716251,eAbsolute,10,0.1,180.086395263672,162.075973510742,30,49.7891993116955,eAbsolute,10,0.1,180.086395263672,144.065719604492,30,36.9911039113735,eAbsolute,10,0.1,180.086395263672,126.055252075195,30,35.7781093749655,eAbsolute,10,0.1,180.086395263672,98.0604095458984,30,22.1649928748906,eAbsolute,10,0.1,180.086395263672,84.0449295043945,30,13.1484624867625,eAbsolute,10,0.1,72.0449905395508,96.0448837280273,162.075973510742,144.065719604492,126.055252075195,98.0604095458984,84.0449295043945
Nicotinamide,XIC,eTargetCompound,,,,ESI,5000,,0,,123.055435180664,,+,1,0.84381143,60,30,,,123.055435180664,123.055328815125,30,100,eAbsolute,10,0.1,123.055435180664,80.0499995992887,30,21.0828593682465,eAbsolute,10,0.1,123.055435180664,96.0447430876101,30,5.67002997812589,eAbsolute,10,0.1,123.055435180664,106.02885436534,30,1.63201871337276,eAbsolute,10,0.1,123.055435180664,124.039487698741,30,1.49654455008891,eAbsolute,10,0.1,123.055435180664,78.0343616964968,30,1.02311513391566,eAbsolute,10,0.1,123.055435180664,123.100233470002,30,0.294319983563931,eAbsolute,10,0.1,123.055328815125,80.0499995992887,96.0447430876101,106.02885436534,124.039487698741,78.0343616964968,123.100233470002
Nicotinic acid,XIC,eTargetCompound,C6H5NO2,,,ESI,5000,,0,,122.023643493652,,-,1,3.8295265,60,30,,,122.023643493652,122.02365492,30,100,eAbsolute,10,0.1,122.023643493652,78.03382572,30,23.2626394507997,eAbsolute,10,0.1,122.023643493652,94.02874032,30,8.98565174100542,eAbsolute,10,0.1,122.023643493652,122.033054334063,30,8.5366407777034,eAbsolute,10,0.1,122.023643493652,102.241965685276,30,6.28351668828442,eAbsolute,10,0.1,122.023643493652,66.4931672260909,30,5.86580150467152,eAbsolute,10,0.1,122.023643493652,56.2367674337418,30,5.52658575422566,eAbsolute,10,0.1,122.02365492,78.03382572,94.02874032,122.033054334063,102.241965685276,66.4931672260909,56.2367674337418
Coenzyme A,XIC,eTargetCompound,C21H36N7O16P3S,,,ESI,5000,,0,,766.107055664063,,-,1,7.9451787,60,30,,,766.107055664063,408.01016577,30,100,eAbsolute,10,0.1,766.107055664063,78.9579569,30,73.4012155488118,eAbsolute,10,0.1,766.107055664063,419.04375033,30,68.3814439714598,eAbsolute,10,0.1,766.107055664063,218.20877032,30,65.9468796685114,eAbsolute,10,0.1,766.107055664063,158.92428723,30,60.2143828470511,eAbsolute,10,0.1,766.107055664063,766.10683445,30,59.7063767689069,eAbsolute,10,0.1,766.107055664063,426.02111052,30,49.6815607480263,eAbsolute,10,0.1,408.01016577,78.9579569,419.04375033,218.20877032,158.92428723,766.10683445,426.02111052
